,name,start_pos,end_pos,tag,score
0,summer,409,415,DATE,1
1,second,1085,1091,ORDINAL,1
2,first,1127,1132,ORDINAL,1
3,"Ah,”she",1211,1218,ORG,1
4,"No,”she",1368,1375,PERSON,1
5,Long Island,2757,2768,GPE,1
6,Three weeks,3125,3136,DATE,1
7,the stormy night,3208,3224,TIME,1
8,the next morning 's,3302,3321,TIME,1
9,about fifteen hundred dollars,4898,4927,MONEY,1
10,Californian,5067,5078,NORP,1
11,New York,5318,5326,GPE,1
12,first,5533,5538,ORDINAL,1
13,Fate,6071,6075,ORG,1
14,One,6602,6605,CARDINAL,1
15,every other day,6632,6647,DATE,1
16,Sarah,6754,6759,PERSON,1
17,the week,6860,6868,DATE,1
18,Dysart,6913,6919,PERSON,1
19,Dysart,7123,7129,PERSON,1
20,first,7878,7883,ORDINAL,1
21,day,8036,8039,DATE,1
22,two,8043,8046,CARDINAL,1
23,the day,8168,8175,DATE,1
24,Glencarleon,8294,8305,ORG,1
25,Sarah,8928,8933,PERSON,1
26,her leisure hours,9078,9095,TIME,1
27,The next day,9098,9110,DATE,1
28,you?”he,9276,9283,ORG,1
29,Columbine,9312,9321,ORG,1
30,Columbine Dysart,9326,9342,PERSON,1
31,Columbine,9432,9441,PERSON,1
32,"us,”she",9517,9524,ORG,1
33,"No,”she returned,“there",9692,9715,PERSON,1
34,"But,”he",9760,9767,PERSON,1
35,you?”she,10022,10030,ORG,1
36,Columbine,10613,10622,ORG,1
37,the days,10828,10836,DATE,1
38,Columbine,11215,11224,ORG,1
39,first,11325,11330,ORDINAL,1
40,Columbine,11420,11429,ORG,1
41,one,11691,11694,CARDINAL,1
42,Sarah,11720,11725,PERSON,1
43,Dysart,11948,11954,PERSON,1
44,summer,12204,12210,DATE,1
45,Dysart,12254,12260,PERSON,1
46,Sarah,12268,12273,PERSON,1
47,a beautiful day,12320,12335,DATE,1
48,the beginning of September,12339,12365,DATE,1
49,clairvoyancy,13114,13126,PERSON,1
50,Columbine,13197,13206,ORG,1
51,inly,13283,13287,ORG,1
52,"pity,”he",13956,13964,ORG,1
53,Dysart,14327,14333,PERSON,1
54,two or three,14516,14528,CARDINAL,1
55,Columbine,15827,15836,ORG,1
56,"right,”he",16524,16533,PERSON,1
57,china,16696,16701,GPE,1
58,two or three generations old,16702,16730,DATE,1
59,Sarah,16732,16737,PERSON,1
60,one,16924,16927,CARDINAL,1
61,"pitcher,”he",16975,16986,PERSON,1
62,"cream,“ought",17031,17043,LOC,1
63,Tom,17221,17224,PERSON,1
64,see?”he,17636,17643,PERSON,1
65,Tom,17713,17716,PERSON,1
66,Columbine,17837,17846,ORG,1
67,Tom,17862,17865,PERSON,1
68,half,18105,18109,CARDINAL,1
69,Tom,18447,18450,PERSON,1
70,a few stray bits,18475,18491,TIME,1
71,"beginnings,”he",18650,18664,PERSON,1
72,the day,18689,18696,DATE,1
73,first,18719,18724,ORDINAL,1
74,one,19140,19143,CARDINAL,1
75,one,19163,19166,CARDINAL,1
76,the day,19403,19410,DATE,1
77,Miss Dysart,19530,19541,PERSON,1
78,"me,”was",19758,19765,ORG,1
79,each morning,19883,19895,TIME,1
80,the previous day,19954,19970,DATE,1
81,Columbine,20216,20225,ORG,1
82,each day,20677,20685,DATE,1
83,Tom,20763,20766,PERSON,1
84,days,20791,20795,DATE,1
85,Tom,21013,21016,PERSON,1
86,the first week,21062,21076,DATE,1
87,India,21233,21238,GPE,1
88,Tom,21342,21345,PERSON,1
89,Dysart,21735,21741,PERSON,1
90,one afternoon,21742,21755,TIME,1
91,Tom,22018,22021,PERSON,1
92,Tommy,22023,22028,PERSON,1
93,Thomas,22030,22036,PERSON,1
94,Tom Titmouse,22069,22081,PERSON,1
95,Tom Tattamus,22103,22115,PERSON,1
96,"no,”he",23019,23025,DATE,1
97,"me,”she",23633,23640,ORG,1
98,Dysart,23957,23963,PERSON,1
99,Dysart,24077,24083,PERSON,1
100,Columbine,24792,24801,ORG,1
101,Sarah,24810,24815,PERSON,1
102,Dysarts,24951,24958,PERSON,1
103,the Van Rensselaers,24963,24982,PERSON,1
104,two,24986,24989,CARDINAL,1
105,Tom,25153,25156,PERSON,1
106,Dysart,25176,25182,PERSON,1
107,his first days,25291,25305,DATE,1
108,one,25321,25324,CARDINAL,1
109,Dysart,25570,25576,PERSON,1
110,Columbine,25662,25671,ORG,1
111,two,25908,25911,CARDINAL,1
112,every day,25917,25926,DATE,1
113,Columbine,26005,26014,ORG,1
114,Columbine,26176,26185,ORG,1
115,Tom,26274,26277,PERSON,1
116,a day,26525,26530,DATE,1
117,two,26613,26616,CARDINAL,1
118,Columbine,26664,26673,ORG,1
119,Tom lay,26704,26711,PERSON,1
120,The summer,27085,27095,DATE,1
121,"Yes,”he echoed,“the summer",27178,27204,WORK_OF_ART,1
122,Tom,27700,27703,PERSON,1
123,Columbine,28256,28265,ORG,1
124,"Besides,”Columbine",28464,28482,PERSON,1
125,Tom,29283,29286,PERSON,1
126,from day to day,29507,29522,DATE,1
127,Columbine,29679,29688,ORG,1
128,Columbine,30049,30058,ORG,1
129,Columbine,30435,30444,ORG,1
130,Columbine,30628,30637,ORG,1
131,"Come,”she",30650,30659,ORG,1
132,Sarah,30862,30867,PERSON,1
133,Tom,30919,30922,PERSON,1
134,Columbine,30977,30986,ORG,1
135,"story,”he",31216,31225,PERSON,1
136,first,31327,31332,ORDINAL,1
137,Columbine,32056,32065,ORG,1
138,Tom,32153,32156,PERSON,1
139,yesterday,32410,32419,DATE,1
140,this morning,32506,32518,TIME,1
141,second,32562,32568,ORDINAL,1
142,Dysart,32679,32685,PERSON,1
143,Tom,32737,32740,PERSON,1
144,Columbine,32782,32791,ORG,1
145,this morning,33096,33108,TIME,1
146,three years before,33257,33275,DATE,1
147,India,33308,33313,GPE,1
148,British,33492,33499,NORP,1
149,Indiaman,33558,33566,NORP,1
150,the Dysart mansion,33728,33746,FAC,1
151,Sarah,33770,33775,PERSON,1
152,Columbine,33968,33977,ORG,1
153,Each day,34092,34100,DATE,1
154,that morning,34547,34559,TIME,1
155,Tom,34655,34658,PERSON,1
156,"here,”she",34738,34747,PERSON,1
157,Sarah,34791,34796,PERSON,1
158,thirty years,34869,34881,DATE,1
159,thirty years,35004,35016,DATE,1
160,Calcutta,35543,35551,GPE,1
161,moonlight nights,35564,35580,TIME,1
162,the Indian ocean,35584,35600,LOC,1
163,Southern seas,35697,35710,LOC,1
164,Grant,35719,35724,PERSON,1
165,October,35806,35813,DATE,1
166,Columbine,36055,36064,ORG,1
167,Dysart,36206,36212,PERSON,1
168,"that,”he",36241,36249,ORG,1
169,Tom,36533,36536,PERSON,1
170,Tom,36736,36739,PERSON,1
171,"sentiment,”he",36820,36833,LAW,1
172,season,37385,37391,DATE,1
173,two,37447,37450,CARDINAL,1
