,name,lemma,Type,Tag,Shape,Alpha,Stop
0,Illustration,illustration,NOUN,NN,Xxxxx,True,False
1,"","",SPACE,_SP,"",False,False
2,He,-PRON-,PRON,PRP,Xx,True,True
3,lay,lie,VERB,VBD,xxx,True,False
4,upon,upon,SCONJ,IN,xxxx,True,True
5,an,an,DET,DT,xx,True,True
6,old,old,ADJ,JJ,xxx,True,False
7,-,-,PUNCT,HYPH,-,False,False
8,fashioned,fashioned,ADJ,JJ,xxxx,True,False
9,bedstead,bedstead,NOUN,NN,xxxx,True,False
10,whose,whose,DET,WP$,xxxx,True,True
11,carved,carve,VERB,VBN,xxxx,True,False
12,quaintness,quaintness,NOUN,NN,xxxx,True,False
13,would,would,VERB,MD,xxxx,True,True
14,once,once,ADV,RB,xxxx,True,True
15,have,have,AUX,VB,xxxx,True,True
16,pleased,please,VERB,VBN,xxxx,True,False
17,him,-PRON-,PRON,PRP,xxx,True,True
18,",",",",PUNCT,",",",",False,False
19,but,but,CCONJ,CC,xxx,True,True
20,to,to,PART,TO,xx,True,True
21,which,which,DET,WDT,xxxx,True,True
22,he,-PRON-,PRON,PRP,xx,True,True
23,was,be,AUX,VBD,xxx,True,True
24,now,now,ADV,RB,xxx,True,True
25,indifferent,indifferent,ADJ,JJ,xxxx,True,False
26,.,.,PUNCT,.,.,False,False
27,He,-PRON-,PRON,PRP,Xx,True,True
28,rested,rest,VERB,VBD,xxxx,True,False
29,upon,upon,SCONJ,IN,xxxx,True,True
30,his,-PRON-,DET,PRP$,xxx,True,True
31,back,back,NOUN,NN,xxxx,True,True
32,",",",",PUNCT,",",",",False,False
33,staring,stare,VERB,VBG,xxxx,True,False
34,at,at,ADP,IN,xx,True,True
35,the,the,DET,DT,xxx,True,True
36,ceiling,ceiling,NOUN,NN,xxxx,True,False
37,",",",",PUNCT,",",",",False,False
38,on,on,ADP,IN,xx,True,True
39,whose,whose,DET,WP$,xxxx,True,True
40,white,white,ADJ,JJ,xxxx,True,False
41,surface,surface,NOUN,NN,xxxx,True,False
42,were,be,AUX,VBD,xxxx,True,True
43,twinkling,twinkle,VERB,VBG,xxxx,True,False
44,golden,golden,ADJ,JJ,xxxx,True,False
45,dots,dot,NOUN,NNS,xxxx,True,False
46,and,and,CCONJ,CC,xxx,True,True
47,lines,line,NOUN,NNS,xxxx,True,False
48,in,in,ADP,IN,xx,True,True
49,a,a,DET,DT,x,True,True
50,network,network,NOUN,NN,xxxx,True,False
51,which,which,DET,WDT,xxxx,True,True
52,even,even,ADV,RB,xxxx,True,True
53,his,-PRON-,DET,PRP$,xxx,True,True
54,broken,broken,ADJ,JJ,xxxx,True,False
55,mind,mind,NOUN,NN,xxxx,True,False
56,knew,know,VERB,VBD,xxxx,True,False
57,must,must,VERB,MD,xxxx,True,True
58,be,be,AUX,VB,xx,True,True
59,the,the,DET,DT,xxx,True,True
60,sunlight,sunlight,NOUN,NN,xxxx,True,False
61,reflected,reflect,VERB,VBN,xxxx,True,False
62,from,from,ADP,IN,xxxx,True,True
63,off,off,ADP,IN,xxx,True,True
64,the,the,DET,DT,xxx,True,True
65,water,water,NOUN,NN,xxxx,True,False
66,somewhere,somewhere,ADV,RB,xxxx,True,True
67,.,.,PUNCT,.,.,False,False
68,The,the,DET,DT,Xxx,True,True
69,windows,window,NOUN,NNS,xxxx,True,False
70,of,of,ADP,IN,xx,True,True
71,the,the,DET,DT,xxx,True,True
72,chamber,chamber,NOUN,NN,xxxx,True,False
73,were,be,AUX,VBD,xxxx,True,True
74,open,open,ADJ,JJ,xxxx,True,False
75,",",",",PUNCT,",",",",False,False
76,and,and,CCONJ,CC,xxx,True,True
77,the,the,DET,DT,xxx,True,True
78,sweet,sweet,ADJ,JJ,xxxx,True,False
79,summer,summer,NOUN,NN,xxxx,True,False
80,air,air,NOUN,NN,xxx,True,False
81,came,come,VERB,VBD,xxxx,True,False
82,in,in,ADP,IN,xx,True,True
83,laden,laden,PROPN,NNP,xxxx,True,False
84,with,with,ADP,IN,xxxx,True,True
85,the,the,DET,DT,xxx,True,True
86,perfume,perfume,NOUN,NN,xxxx,True,False
87,of,of,ADP,IN,xx,True,True
88,flowers,flower,NOUN,NNS,xxxx,True,False
89,piquantly,piquantly,ADV,RB,xxxx,True,False
90,mingled,mingle,VERB,VBN,xxxx,True,False
91,with,with,ADP,IN,xxxx,True,True
92,pungent,pungent,ADJ,JJ,xxxx,True,False
93,sea,sea,NOUN,NN,xxx,True,False
94,odors,odor,NOUN,NNS,xxxx,True,False
95,.,.,PUNCT,.,.,False,False
96,Now,now,ADV,RB,Xxx,True,True
