,name,start_pos,end_pos,tag,score
0,Jerry,145,150,PERSON,1
1,Mary Lee,208,216,PERSON,1
2,one,232,235,CARDINAL,1
3,There!”she exclaimed,249,269,WORK_OF_ART,1
4,Geraldine White,299,314,PERSON,1
5,Jerry,470,475,PERSON,1
6,"n't,”protested Mary",531,550,PERSON,1
7,Beth Burton,624,635,PERSON,1
8,Beth,699,703,PERSON,1
9,Mary,766,770,PERSON,1
10,Jerry,803,808,PERSON,1
11,Beth,890,894,PERSON,1
12,two,987,990,CARDINAL,1
13,Beth,1020,1024,PERSON,1
14,Billy,1116,1121,PERSON,1
15,Jerry,1259,1264,PERSON,1
16,one,1331,1334,CARDINAL,1
17,Jerry,1348,1353,PERSON,1
18,Mary,1415,1419,PERSON,1
19,Beth,1454,1458,PERSON,1
20,half,1501,1505,CARDINAL,1
21,Uncle Billy,1579,1590,PERSON,1
22,Jerry,1612,1617,PERSON,1
23,"Mary Lee,”she",1646,1659,PERSON,1
24,Beth,1722,1726,PERSON,1
25,eleven o'clock,1851,1865,TIME,1
26,Uncle Billy,1871,1882,PERSON,1
27,six o'clock,1923,1934,TIME,1
28,Mary,2081,2085,PERSON,1
29,"Beth,“but",2227,2236,ORG,1
30,Jerry,2238,2243,PERSON,1
31,Jerry,2332,2337,PERSON,1
32,Beth,2543,2547,PERSON,1
33,Jerry,2552,2557,PERSON,1
34,Beth,2816,2820,PERSON,1
35,Jerry,2991,2996,PERSON,1
36,"Beth dear,”she",3078,3092,PERSON,1
37,eleven,3172,3178,CARDINAL,1
38,Five minutes,3200,3212,TIME,1
39,eleven,3216,3222,QUANTITY,1
40,Jerry,3260,3265,PERSON,1
41,"it,”answered Mary",3372,3389,PERSON,1
42,ten minutes,3407,3418,TIME,1
43,Jerry hunt,3447,3457,PERSON,1
44,Jerry,3532,3537,PERSON,1
45,Jerry,3682,3687,PERSON,1
46,another minute,3729,3743,TIME,1
47,Mary,3800,3804,PERSON,1
48,Honk,3828,3832,PERSON,1
49,Beth,3924,3928,PERSON,1
50,White,4004,4009,PERSON,1
51,Uncle Billy,4047,4058,PERSON,1
52,Jerry,4120,4125,PERSON,1
53,Uncle,4161,4166,PERSON,1
54,Jerry,4330,4335,PERSON,1
55,Mary,4368,4372,PERSON,1
56,Beth,4377,4381,PERSON,1
57,White,4523,4528,PERSON,1
58,the beautiful month of September,4590,4622,DATE,1
59,Uncle Billy,4835,4846,PERSON,1
60,Merryvale,4937,4946,ORG,1
61,woodlands,5000,5009,FAC,1
62,bubbling brooks,5056,5071,PERSON,1
63,Mary,5116,5120,PERSON,1
64,night,5191,5196,TIME,1
65,Jerry,5416,5421,PERSON,1
66,two,5438,5441,CARDINAL,1
67,Jerry,5466,5471,PERSON,1
68,Beth,5548,5552,PERSON,1
69,Uncle Billy,5556,5567,PERSON,1
70,Beth,5712,5716,PERSON,1
71,half,5736,5740,CARDINAL,1
72,Mary,5909,5913,PERSON,1
73,Uncle Billy,5985,5996,PERSON,1
74,Jerry,6053,6058,PERSON,1
75,Jerry,6272,6277,PERSON,1
76,"Geraldine White,”interrupted Beth",6363,6396,PERSON,1
77,Mary,6409,6413,PERSON,1
78,Jerry,6497,6502,PERSON,1
79,Billy?”asked Beth,6575,6592,PERSON,1
80,Uncle Billy,6646,6657,PERSON,1
81,Jerry,6786,6791,PERSON,1
82,Uncle Billy,6936,6947,PERSON,1
83,"up,”said Uncle Billy",7171,7191,PERSON,1
84,Beth,7308,7312,PERSON,1
85,"said,“let",7381,7390,ORG,1
86,Martha,7727,7733,PERSON,1
87,Beth,7808,7812,PERSON,1
88,Uncle Billy,7816,7827,PERSON,1
89,one,7908,7911,CARDINAL,1
90,Mary,7942,7946,PERSON,1
91,first,7965,7970,ORDINAL,1
92,Uncle Billy,8096,8107,PERSON,1
93,one,8541,8544,CARDINAL,1
94,one,8548,8551,CARDINAL,1
95,Uncle Billy,8581,8592,PERSON,1
96,hundreds,8837,8845,CARDINAL,1
97,Jerry,8864,8869,PERSON,1
98,Uncle Billy,8998,9009,PERSON,1
99,it?”questioned Mary,9075,9094,PERSON,1
100,Uncle Billy,9216,9227,PERSON,1
101,"here,”he",9242,9250,PERSON,1
102,a few minutes later,9266,9285,TIME,1
103,the great entrance gate,9547,9570,FAC,1
104,me?”said,9705,9713,ORG,1
105,Uncle Billy,9714,9725,PERSON,1
106,Mary,9924,9928,PERSON,1
107,one,9977,9980,CARDINAL,1
108,"Uncle Billy,“look",10046,10063,PERSON,1
109,three,10149,10154,CARDINAL,1
110,Uncle Billy,10190,10201,PERSON,1
111,Jerry,10452,10457,PERSON,1
112,Mary,10520,10524,PERSON,1
113,Beth,10529,10533,PERSON,1
114,two,10545,10548,CARDINAL,1
115,Uncle Billy,10790,10801,PERSON,1
116,it?”asked Jerry,10939,10954,PERSON,1
117,Uncle Billy,11016,11027,PERSON,1
118,"Beth,“and",11356,11365,PERSON,1
119,Uncle,11439,11444,PERSON,1
120,Jerry,11684,11689,PERSON,1
121,Beth,11756,11760,PERSON,1
122,Mary,11846,11850,PERSON,1
123,Beth,12352,12356,PERSON,1
124,Mary,12360,12364,PERSON,1
125,Jerry,12437,12442,PERSON,1
126,"it,”declared Jerry",12687,12705,PERSON,1
127,every day,12872,12881,DATE,1
128,Jerry,12921,12926,PERSON,1
129,Jerry,12995,13000,PERSON,1
130,Uncle Billy,13091,13102,PERSON,1
131,Beth,13135,13139,PERSON,1
132,Cinderella,13299,13309,PERSON,1
133,Mary,13357,13361,PERSON,1
134,one,13493,13496,CARDINAL,1
135,two,13621,13624,CARDINAL,1
136,poles,13625,13630,NORP,1
137,Mary,13812,13816,PERSON,1
138,"Billy replied,“it 's",13836,13856,PERSON,1
139,France,13882,13888,GPE,1
140,poles,14206,14211,NORP,1
141,Jerry,14315,14320,PERSON,1
142,one,14491,14494,CARDINAL,1
143,sonny,14612,14617,PERSON,1
144,"long,”he",14838,14846,PERSON,1
145,"Beth,“but",15054,15063,ORG,1
146,Uncle Billy,15084,15095,PERSON,1
147,Jerry,15214,15219,PERSON,1
148,"back,”he",15331,15339,PERSON,1
149,Ride on the merry-go-,15412,15433,WORK_OF_ART,1
150,a few minutes,15490,15503,TIME,1
151,Beth,15582,15586,PERSON,1
152,Uncle Billy,15636,15647,PERSON,1
153,do?”asked Jerry,15687,15702,PERSON,1
154,Uncle Billy,15745,15756,PERSON,1
155,"something,”he",15807,15820,PERSON,1
156,Uncle Billy,16001,16012,PERSON,1
157,"No, Jerry",16128,16137,WORK_OF_ART,1
158,first,16222,16227,ORDINAL,1
159,Jerry,16312,16317,PERSON,1
160,earth,16433,16438,LOC,1
161,Uncle Billy,16563,16574,PERSON,1
162,two,16725,16728,CARDINAL,1
163,Only fifty cents,16792,16808,MONEY,1
164,ten minutes,16813,16824,TIME,1
165,earth,16906,16911,LOC,1
166,he?”laughed Jerry,16949,16966,PERSON,1
167,Jerry,17230,17235,PERSON,1
168,Jerry,17305,17310,PERSON,1
169,Uncle Billy,17391,17402,PERSON,1
170,Jerry,17424,17429,PERSON,1
171,Mary,17661,17665,PERSON,1
172,Beth,17670,17674,PERSON,1
173,Jerry squeezed Uncle Billy 's,18110,18139,PERSON,1
174,Uncle Billy?”she,18228,18244,PERSON,1
175,two,18299,18302,CARDINAL,1
176,Atlantic,18375,18383,LOC,1
177,Europe,18435,18441,LOC,1
178,Uncle Billy,18454,18465,PERSON,1
179,"there,”he",18526,18535,PERSON,1
