,name,start_pos,end_pos,tag,score
0,Buffalo Bill,5,17,PERSON,1
1,two hundred pounds,108,126,QUANTITY,1
2,over six feet,266,279,QUANTITY,1
3,dozens,926,932,CARDINAL,1
4,eighty-one miles,967,983,QUANTITY,1
5,"fifty, day",1046,1056,DATE,1
6,thousands and thousands,1162,1185,CARDINAL,1
7,the Rocky Mountains,1349,1368,LOC,1
8,the Great Plains,1373,1389,LOC,1
9,Scouts,1461,1467,ORG,1
10,Army,1475,1479,ORG,1
11,Frontier,1487,1495,ORG,1
12,hippodrome,1731,1741,FAC,1
13,Buffalo Bill,1858,1870,PERSON,1
14,moccasins,1975,1984,NORP,1
15,Pawnee,1997,2003,GPE,1
16,Sioux,2005,2010,GPE,1
17,Shoshone,2012,2020,GPE,1
18,Cheyenne,2022,2030,GPE,1
19,Blackfoot,2032,2041,GPE,1
20,American,2196,2204,NORP,1
21,Indian,2242,2248,NORP,1
22,night,2318,2323,TIME,1
23,Buffalo Bill,2353,2365,PERSON,1
24,Buffalo Bill,2875,2887,PERSON,1
25,all night,2973,2982,TIME,1
26,Boy,3027,3030,PERSON,1
27,American,3220,3228,NORP,1
28,Kentucky,3304,3312,GPE,1
29,the Tenth Dragoons,3565,3583,ORG,1
30,two,3778,3781,CARDINAL,1
31,bronco,4088,4094,PRODUCT,1
32,Marsh,4227,4232,PERSON,1
33,Yale University,4278,4293,ORG,1
34,two million years old,4473,4494,DATE,1
35,Kentucky,4530,4538,GPE,1
36,years ago,4683,4692,DATE,1
37,Marsh,4838,4843,PERSON,1
38,the Four Hundred,5003,5019,LAW,1
39,Fort Paxton,5134,5145,FAC,1
40,forty-day,5165,5174,DATE,1
41,the Big Horn,5200,5212,LOC,1
42,Blackfeet,5242,5251,NORP,1
43,The Seventh Cavalry,5329,5348,ORG,1
44,the Ninth Dragoons,5379,5397,ORG,1
45,two,5399,5402,CARDINAL,1
46,Alison,5481,5487,PERSON,1
47,Drake,5583,5588,PERSON,1
48,Seventh Cavalry,5590,5605,ORG,1
49,Drake,5639,5644,PERSON,1
50,Marsh,5691,5696,PERSON,1
51,Seventh Cavalry,5709,5724,ORG,1
52,Tommy Drake,5840,5851,PERSON,1
53,Fanny Marsh,5856,5867,PERSON,1
54,France,5986,5992,GPE,1
55,Alison,6052,6058,PERSON,1
56,Spanish,6097,6104,NORP,1
57,ten years ago,6110,6123,DATE,1
58,America,6147,6154,GPE,1
59,Spain,6176,6181,GPE,1
60,year,6184,6188,DATE,1
61,two,6192,6195,CARDINAL,1
62,France,6210,6216,GPE,1
63,some months ago,6228,6243,DATE,1
64,Alison,6304,6310,PERSON,1
65,about a year,6445,6457,DATE,1
66,nine years old,6556,6570,DATE,1
67,Buffalo Bill,6670,6682,PERSON,1
68,Potter,6800,6806,PERSON,1
69,Potter,6828,6834,PERSON,1
70,Dane,6848,6852,PERSON,1
71,Shekels,6896,6903,PERSON,1
72,the Seventh Cavalry 's,6905,6927,ORG,1
73,Potter,7025,7031,PERSON,1
74,Shekels,7240,7247,PERSON,1
75,Spanish,7356,7363,LANGUAGE,1
76,English,7383,7390,LANGUAGE,1
77,the Military Academy of the United States,7475,7516,ORG,1
78,Catherine,7710,7719,PERSON,1
79,California,7878,7888,GPE,1
80,Andalusian,8100,8110,NORP,1
81,Spanish,8419,8426,NORP,1
82,all these years,8432,8447,DATE,1
83,Spain,8484,8489,GPE,1
84,Spain,8543,8548,GPE,1
85,Cathy,8717,8722,PERSON,1
86,her nine years,8766,8780,DATE,1
87,Spanish,8804,8811,LANGUAGE,1
88,English,8947,8954,LANGUAGE,1
89,French,9021,9027,NORP,1
90,more than seven years,9061,9082,DATE,1
91,German,9151,9157,NORP,1
