,name,start_pos,end_pos,tag,score
0,3,7,8,CARDINAL,1
1,late November,18,31,DATE,1
2,Honora,40,46,PERSON,1
3,Uncle Tom 's,526,538,PERSON,1
4,Peter Erwin,758,769,PERSON,1
5,Ewing,885,890,PERSON,1
6,Honora,1015,1021,PERSON,1
7,the Hanbury mansion,2070,2089,FAC,1
8,Wayland Square,2093,2107,FAC,1
9,summer,2430,2436,DATE,1
10,winter,2441,2447,DATE,1
11,so many years,2453,2466,DATE,1
12,Honora,2842,2848,PERSON,1
13,hour,2936,2940,TIME,1
14,one,3114,3117,CARDINAL,1
15,one,3121,3124,CARDINAL,1
16,Eleanor,3407,3414,PERSON,1
17,those summer days,3512,3529,DATE,1
18,Mary,3622,3626,PERSON,1
19,H. L. S.,3754,3762,PERSON,1
20,Honora Leffingwell Spence,3764,3789,PERSON,1
21,Catherine,3801,3810,PERSON,1
22,Honora,3878,3884,PERSON,1
23,"Catherine,”she said;“I 'll",3978,4004,PERSON,1
24,Will ye,4075,4082,PERSON,1
25,darlint,4084,4091,GPE,1
26,ye,4199,4201,PERSON,1
27,Croesus,4328,4335,PERSON,1
28,Aunt Mary,4395,4404,PERSON,1
29,Mary,4595,4599,PERSON,1
30,Uncle Tom,4677,4686,PERSON,1
31,Peter,4799,4804,PERSON,1
32,Peter,4875,4880,PERSON,1
33,Honora,5261,5267,PERSON,1
34,Howard,5346,5352,PERSON,1
35,one,5424,5427,CARDINAL,1
36,the long summer days,5455,5475,DATE,1
37,New York,5526,5534,GPE,1
38,Silverdale,5540,5550,GPE,1
39,Honora,5552,5558,PERSON,1
40,St. Louis,5716,5725,GPE,1
41,Edith Hanbury,5982,5995,PERSON,1
42,Wayland Square,6027,6041,FAC,1
43,Honora,6107,6113,PERSON,1
44,Julius Caesar,6149,6162,PERSON,1
45,George Washington,6166,6183,PERSON,1
46,Honora,6510,6516,PERSON,1
47,Howard,7016,7022,PERSON,1
48,Honora,7178,7184,PERSON,1
49,Pullman,7265,7272,PERSON,1
50,Howard,7381,7387,PERSON,1
51,New Orleans,7462,7473,GPE,1
52,Chicago,7500,7507,GPE,1
53,New York Limited,7512,7528,GPE,1
54,Howard Spence,7675,7688,PERSON,1
55,Honora,7877,7883,PERSON,1
56,Howard,7902,7908,PERSON,1
57,"me,”he",8273,8279,DATE,1
58,"last,”he",8299,8307,DATE,1
59,Honora,8404,8410,PERSON,1
60,Howard,8566,8572,PERSON,1
61,It'shYpppHeNit,8592,8606,PERSON,1
62,day,9290,9293,DATE,1
63,two,9297,9300,CARDINAL,1
64,American,9354,9362,NORP,1
65,Honora,9534,9540,PERSON,1
66,New Orleans,9664,9675,GPE,1
67,American,9698,9706,NORP,1
68,French,9744,9750,NORP,1
69,Honora,9763,9769,PERSON,1
70,Creole,9939,9945,NORP,1
71,a quarter of an hour,9986,10006,QUANTITY,1
72,Alphonse,10022,10030,PERSON,1
73,Madame,10115,10121,WORK_OF_ART,1
74,New York,10234,10242,GPE,1
75,one,10268,10271,CARDINAL,1
76,Howard,10327,10333,PERSON,1
77,Honora,10369,10375,PERSON,1
78,Alphonse,10460,10468,PERSON,1
79,Howard,10496,10502,PERSON,1
80,Spanish,10667,10674,NORP,1
81,George W. Cable,10708,10723,PERSON,1
82,Honora,10731,10737,PERSON,1
83,New Orleans,10835,10846,GPE,1
84,Spanish,10981,10988,NORP,1
85,Honora,11043,11049,PERSON,1
86,Howard,11109,11115,PERSON,1
87,"me,”she",11379,11386,ORG,1
88,"Howard,”she cried,“how mean of you!",11492,11527,WORK_OF_ART,1
89,Honora,11685,11691,PERSON,1
90,the Virginia mountains,11994,12016,LOC,1
91,New York,12034,12042,GPE,1
92,two weeks,12111,12120,DATE,1
93,Honora,12141,12147,PERSON,1
94,Indian summer,12300,12313,DATE,1
95,Honora,12575,12581,PERSON,1
96,the Warm Springs,12725,12741,GPE,1
97,one day,12810,12817,DATE,1
98,Howard,12880,12886,PERSON,1
99,Howard,13042,13048,PERSON,1
100,season,13150,13156,DATE,1
101,Honora,13231,13237,PERSON,1
102,Howard,13302,13308,PERSON,1
103,four or five,13502,13514,CARDINAL,1
104,Honora,13578,13584,PERSON,1
105,two,13631,13634,CARDINAL,1
106,One evening,13721,13732,TIME,1
107,Howard,13769,13775,PERSON,1
108,Bowker,13836,13842,PERSON,1
109,the Faith Insurance Company,13868,13895,ORG,1
110,Tyler,13901,13906,PERSON,1
111,the Gotham Trust,13923,13939,ORG,1
112,Honora,14057,14063,PERSON,1
113,"harm,”he",14082,14090,PERSON,1
114,Honora,14154,14160,PERSON,1
115,Howard!”she,14177,14188,PERSON,1
116,"Well,”he",14234,14242,PERSON,1
117,"polite,”she",14351,14362,PERSON,1
118,Honora,14513,14519,PERSON,1
119,Peter,14678,14683,PERSON,1
120,George Hanbury,14688,14702,PERSON,1
121,some days,14835,14844,DATE,1
122,six,15043,15046,CARDINAL,1
123,New York,15081,15089,GPE,1
124,Howard,15200,15206,PERSON,1
125,One,15452,15455,CARDINAL,1
126,the next day,15926,15938,DATE,1
127,Tyler,15985,15990,PERSON,1
128,Honora,16024,16030,PERSON,1
129,Tyler,16077,16082,PERSON,1
130,Honora,16241,16247,PERSON,1
131,Tyler,16306,16311,PERSON,1
132,Honora,16480,16486,PERSON,1
133,Tyler,16803,16808,PERSON,1
134,New York,16856,16864,GPE,1
135,one,17063,17066,CARDINAL,1
136,Honora,17224,17230,PERSON,1
137,Tyler,17271,17276,PERSON,1
138,Who?”asked Honora,17379,17396,PERSON,1
139,Freddy Maitland,17416,17431,PERSON,1
140,New York,17481,17489,GPE,1
141,Honora,17553,17559,PERSON,1
142,Tyler,17614,17619,PERSON,1
143,Tyler,17704,17709,PERSON,1
144,Honora,18089,18095,PERSON,1
145,Maitland,18175,18183,PERSON,1
146,Tyler,18198,18203,PERSON,1
147,"twice,”she",18260,18270,PERSON,1
148,Toots Cuthbert,18415,18429,PERSON,1
149,New York,18490,18498,GPE,1
150,Newport,18503,18510,GPE,1
151,Jimmy Wing,18588,18598,PERSON,1
152,James Wing,18617,18627,PERSON,1
153,Sutcliffe,18667,18676,PERSON,1
154,Honora,18699,18705,PERSON,1
155,Honora,18721,18727,PERSON,1
156,Tyler,18738,18743,PERSON,1
157,"My dear,”she exclaimed,“did",18776,18803,ORG,1
158,Sutcliffe,18814,18823,PERSON,1
159,Louise,18891,18897,PERSON,1
160,Honora,18947,18953,PERSON,1
161,Howard,19050,19056,PERSON,1
162,Sid Dallam,19208,19218,PERSON,1
163,New York,19261,19269,GPE,1
164,"Howard,”she",19365,19376,PERSON,1
165,New Orleans,19431,19442,GPE,1
166,"girl,”he",19552,19560,PERSON,1
167,Rome,19618,19622,GPE,1
168,Palatine,19719,19727,GPE,1
169,Ostia,19789,19794,LOC,1
170,Honora,19800,19806,PERSON,1
171,New York,19864,19872,GPE,1
172,second,19881,19887,ORDINAL,1
173,December,19966,19974,DATE,1
174,morning,19975,19982,TIME,1
