,name,start_pos,end_pos,tag,score
0,B. L. FARJEON,3,16,PERSON,1
1,GREAT PORTER SQUARE,30,49,WORK_OF_ART,1
2,IN A SILVER SEA,53,68,WORK_OF_ART,1
3,THE HOUSE OF WHITE SHADOWS,72,98,WORK_OF_ART,1
4,THREE,110,115,CARDINAL,1
5,London,199,205,GPE,1
6,Fortress,260,268,PERSON,1
7,twenty-four,307,318,CARDINAL,1
8,first,514,519,ORDINAL,1
9,weeks,727,732,DATE,1
10,a penny,1495,1502,MONEY,1
11,the years,1928,1937,DATE,1
12,two,2153,2156,CARDINAL,1
13,one,2213,2216,CARDINAL,1
14,Fortress,2236,2244,PERSON,1
15,the day,2327,2334,DATE,1
16,Fortress,2491,2499,PERSON,1
17,Fortress,2708,2716,PERSON,1
18,the River Thames,2789,2805,LOC,1
19,all our days,4036,4048,DATE,1
20,more than one,4053,4066,CARDINAL,1
21,evening,4790,4797,TIME,1
22,Gabriel,4864,4871,PERSON,1
23,London,5240,5246,GPE,1
24,"place,”my",5444,5453,ORG,1
25,One morning,6025,6036,TIME,1
26,London,6145,6151,GPE,1
27,Fortress,6162,6170,PERSON,1
28,"No,”he replied,“good",6473,6493,WORK_OF_ART,1
29,Mildred,6557,6564,PERSON,1
30,"Yes,”said",6591,6600,PERSON,1
31,"more,”my",6653,6661,ORG,1
32,seven or eight weeks,7141,7161,DATE,1
33,second,7598,7604,ORDINAL,1
34,"Yes,”she",8566,8574,PERSON,1
35,twenty,9768,9774,CARDINAL,1
36,one,9784,9787,CARDINAL,1
37,the wrong century,11690,11707,DATE,1
38,Rosemullion,12165,12176,ORG,1
39,Rochester,12235,12244,GPE,1
40,half a hundred yards,12378,12398,QUANTITY,1
41,the great house,12402,12417,FAC,1
42,six,12435,12438,CARDINAL,1
43,embosomed,12459,12468,PERSON,1
44,"yours,”he",12867,12876,DATE,1
45,weeks,13530,13535,DATE,1
46,Fortress,13602,13610,PERSON,1
47,Fortress,13822,13830,PERSON,1
48,one,14596,14599,CARDINAL,1
49,Fortress,14767,14775,PERSON,1
50,"Gabriel,”she",15297,15309,PERSON,1
51,Fortress,15418,15426,PERSON,1
52,Fortress,16089,16097,PERSON,1
53,one last year,17545,17558,DATE,1
54,hundreds,17575,17583,CARDINAL,1
55,life?”She,17695,17704,PERSON,1
56,"me,”she",17930,17937,ORG,1
57,the day,18985,18992,DATE,1
58,millions,19064,19072,CARDINAL,1
59,thousands,19336,19345,CARDINAL,1
60,millions,19389,19397,CARDINAL,1
61,eight feet,20025,20035,QUANTITY,1
62,those years,20489,20500,DATE,1
63,day,20824,20827,DATE,1
64,night,20832,20837,TIME,1
65,the nights,21117,21127,DATE,1
66,hours,21263,21268,TIME,1
67,one,21948,21951,CARDINAL,1
68,winter,22043,22049,DATE,1
69,a stormy night,22871,22885,TIME,1
70,September,22889,22898,DATE,1
71,Gabriel,23579,23586,PERSON,1
72,the morning,24094,24105,TIME,1
73,one,24498,24501,CARDINAL,1
74,Purvis,24645,24651,PERSON,1
75,Jim,24672,24675,PERSON,1
76,Purvis,24869,24875,PERSON,1
77,Purvis,24948,24954,PERSON,1
78,before night,25017,25029,TIME,1
79,Jim!”said,25302,25311,PERSON,1
80,Jim,25679,25682,PERSON,1
81,One,25814,25817,CARDINAL,1
82,Five,25849,25853,CARDINAL,1
83,Jim,25906,25909,PERSON,1
84,Jim,26170,26173,PERSON,1
85,God,26518,26521,PERSON,1
86,seven,26657,26662,CARDINAL,1
87,five,26688,26692,CARDINAL,1
88,two,27397,27400,CARDINAL,1
89,three,27404,27409,CARDINAL,1
90,less than three minutes,28368,28391,TIME,1
91,four good days,28651,28665,DATE,1
92,Jim,28667,28670,PERSON,1
93,two,28944,28947,CARDINAL,1
94,First,29011,29016,ORDINAL,1
95,four or five weeks,29189,29207,DATE,1
96,one,29213,29216,CARDINAL,1
97,Fortress,29331,29339,PERSON,1
98,several days,29501,29513,DATE,1
99,Fortress,29538,29546,PERSON,1
100,this morning,29698,29710,TIME,1
101,Fortress,29818,29826,PERSON,1
102,Fortress,29906,29914,PERSON,1
103,"mother,”I",30245,30254,PERSON,1
104,"Gabriel,”she",30268,30280,PERSON,1
105,"Kiss me, Gabriel",30372,30388,WORK_OF_ART,1
106,Fortress,30515,30523,PERSON,1
107,you?”she,30529,30537,ORG,1
108,Gabriel,30716,30723,PERSON,1
109,Gabriel,30787,30794,PERSON,1
110,Wales,30975,30980,GPE,1
111,two or three days,31202,31219,DATE,1
112,yesterday,31735,31744,DATE,1
113,the evening,31753,31764,TIME,1
114,ten o'clock,31794,31805,TIME,1
115,five o'clock this morning,32070,32095,TIME,1
116,Carew,32166,32171,PERSON,1
117,Rosemullion,32758,32769,ORG,1
118,twenty minutes to seven this morning,33034,33070,TIME,1
119,Two,33257,33260,CARDINAL,1
120,three,33264,33269,CARDINAL,1
121,Fortress,33649,33657,PERSON,1
122,Fortress,33814,33822,PERSON,1
123,Fortress,34049,34057,PERSON,1
124,two,34418,34421,CARDINAL,1
125,one,34611,34614,CARDINAL,1
126,good day,34755,34763,DATE,1
127,dolour,34819,34825,PERSON,1
128,many years,35506,35516,DATE,1
129,Wales,35686,35691,GPE,1
130,two,35787,35790,CARDINAL,1
131,Rosemullion,36158,36169,PERSON,1
132,one,36775,36778,CARDINAL,1
133,Spendthrift,36810,36821,ORG,1
134,"cough,“are",37565,37575,ORG,1
135,three,38199,38204,CARDINAL,1
136,Brahmah,38538,38545,ORG,1
137,secret?”I,38727,38736,ORG,1
138,Rosemullion,38889,38900,ORG,1
139,twenty,39702,39708,CARDINAL,1
140,twenty,39739,39745,CARDINAL,1
141,four hundred,39754,39766,CARDINAL,1
142,one,39796,39799,CARDINAL,1
143,four hundred,39809,39821,CARDINAL,1
144,only one,39878,39886,CARDINAL,1
145,Kneel,39992,39997,PERSON,1
146,second,40372,40378,ORDINAL,1
147,third,40634,40639,ORDINAL,1
148,one,40695,40698,CARDINAL,1
149,One,40809,40812,CARDINAL,1
150,some two feet,41547,41560,QUANTITY,1
151,one,41606,41609,CARDINAL,1
152,Fortress,42236,42244,PERSON,1
153,Fortress,42474,42482,PERSON,1
154,Rosemullion,42575,42586,PERSON,1
155,"want,”she",42793,42802,PERSON,1
156,Gabriel,42869,42876,PERSON,1
157,Gabriel,43072,43079,PERSON,1
158,Fortress,43166,43174,PERSON,1
159,"Yes,”she muttered,“it",43512,43533,WORK_OF_ART,1
160,Fortress,43663,43671,PERSON,1
161,Fortress;“I,44169,44180,PERSON,1
162,Fortress,44302,44310,PERSON,1
163,Fortress,44386,44394,PERSON,1
164,Rosemullion,44587,44598,PERSON,1
165,Fortress,44761,44769,PERSON,1
166,"you,”she",45377,45385,PERSON,1
167,"safe,”he",45958,45966,PERSON,1
168,Will,46307,46311,PERSON,1
169,Fortress,47245,47253,PERSON,1
170,twelve months,48176,48189,DATE,1
171,summer,48416,48422,DATE,1
172,night,48423,48428,TIME,1
173,Nature,48840,48846,WORK_OF_ART,1
174,Midnight,48933,48941,TIME,1
175,That hour,48950,48959,TIME,1
176,that day,49098,49106,DATE,1
177,mine?”If,49843,49851,PERSON,1
178,Gabriel,50043,50050,PERSON,1
179,Fortress,50066,50074,PERSON,1
180,Fortress,50181,50189,PERSON,1
181,Fortress,50505,50513,PERSON,1
182,Gabriel,50664,50671,PERSON,1
183,"mother,”I",51127,51136,PERSON,1
184,that day,51465,51473,DATE,1
185,nearly an hour,51904,51918,TIME,1
186,one,52005,52008,CARDINAL,1
187,Gabriel,52198,52205,PERSON,1
188,find?”She,52239,52248,ORG,1
189,"Gabriel,”she",52381,52393,PERSON,1
190,years,52459,52464,DATE,1
191,Fortress,53286,53294,PERSON,1
192,the evening,53480,53491,TIME,1
193,one,54201,54204,CARDINAL,1
194,Fortress,54325,54333,PERSON,1
195,Gabriel,54412,54419,PERSON,1
196,Fortress,54725,54733,PERSON,1
197,"Fortress,“within",54836,54852,PERSON,1
198,the next twenty-four hours,54853,54879,DATE,1
199,the Angel of Death,55049,55067,WORK_OF_ART,1
200,Fortress,55199,55207,PERSON,1
201,Fortress,55362,55370,PERSON,1
202,years,55844,55849,DATE,1
203,Fortress,56391,56399,PERSON,1
204,Fortress,56659,56667,PERSON,1
205,her a few minutes ago,57114,57135,TIME,1
206,Rosemullion,57378,57389,PERSON,1
207,Three days,57422,57432,DATE,1
208,Fortress,57465,57473,PERSON,1
209,hours,57848,57853,TIME,1
210,first,57873,57878,ORDINAL,1
211,Fortress?”I,57925,57936,PERSON,1
212,first,57992,57997,ORDINAL,1
213,Cornwall,58515,58523,GPE,1
214,Fortress,58938,58946,PERSON,1
215,"Fortress,”I",59441,59452,PERSON,1
216,the many years,59536,59550,DATE,1
