,name,start_pos,end_pos,tag,score
0,Baby Jane,30,39,PRODUCT,1
1,40,45,47,CARDINAL,1
2,Jane Frontispiece,87,104,PERSON,1
3,Bear,110,114,ORG,1
4,6,156,157,CARDINAL,1
5,8,190,191,CARDINAL,1
6,Lion,197,201,PERSON,1
7,11,232,234,CARDINAL,1
8,Lion 12,265,272,ORG,1
9,13,306,308,CARDINAL,1
10,Crocodile,339,348,PERSON,1
11,14,360,362,CARDINAL,1
12,The Washington Post,400,419,ORG,1
13,Lion,453,457,ORG,1
14,24,466,468,CARDINAL,1
15,Baby Jane,470,479,PERSON,1
16,27,567,569,CARDINAL,1
17,30,599,601,CARDINAL,1
18,Baby Jane 40,633,645,PRODUCT,1
19,44,696,698,CARDINAL,1
20,Crocodile,705,714,PERSON,1
21,45,775,777,CARDINAL,1
22,49,801,803,CARDINAL,1
23,68,869,871,CARDINAL,1
24,Sammy,873,878,PERSON,1
25,69,917,919,CARDINAL,1
26,Three,921,926,CARDINAL,1
27,72,965,967,CARDINAL,1
28,74,996,998,CARDINAL,1
29,77,1021,1023,CARDINAL,1
30,79,1054,1056,CARDINAL,1
31,Mary Carmichael,1058,1073,PERSON,1
32,84,1107,1109,CARDINAL,1
33,Mary,1111,1115,PERSON,1
34,89,1166,1168,CARDINAL,1
35,102,1195,1198,CARDINAL,1
36,106,1275,1278,CARDINAL,1
37,Two,1280,1283,CARDINAL,1
38,107,1324,1327,CARDINAL,1
39,110,1363,1366,CARDINAL,1
40,Baby Jane,1368,1377,PERSON,1
41,112,1408,1411,CARDINAL,1
42,113,1455,1458,CARDINAL,1
43,Jane,1465,1469,PERSON,1
44,119,1497,1500,CARDINAL,1
45,122,1548,1551,CARDINAL,1
46,123,1586,1589,CARDINAL,1
47,131,1614,1617,CARDINAL,1
48,132,1642,1645,CARDINAL,1
49,Black Mountain,1663,1677,LOC,1
50,134,1695,1698,CARDINAL,1
51,135,1740,1743,CARDINAL,1
52,Mary,1745,1749,PERSON,1
53,136,1764,1767,CARDINAL,1
54,141,1805,1808,CARDINAL,1
55,144,1837,1840,CARDINAL,1
56,Markham,1855,1862,GPE,1
57,146,1865,1868,CARDINAL,1
58,Baby Jane,1915,1924,PERSON,1
59,eight years old,1928,1943,DATE,1
60,Pat,2483,2486,PERSON,1
61,one,2618,2621,CARDINAL,1
62,Patagonia,2700,2709,GPE,1
63,one,3148,3151,CARDINAL,1
64,more than eight years old,3916,3941,DATE,1
65,Baby Jane,3980,3989,PERSON,1
66,African,4088,4095,NORP,1
67,night,4579,4584,TIME,1
68,Baby Jane,5010,5019,PERSON,1
69,Africa,5028,5034,LOC,1
70,Baby Jane,5188,5197,PERSON,1
71,German,5543,5549,NORP,1
72,Baby Jane,5677,5686,PERSON,1
73,Bear,5753,5757,ORG,1
74,Baby Jane,6010,6019,PERSON,1
75,Bear,6072,6076,ORG,1
76,Baby Jane,6205,6214,PERSON,1
77,Bear,6232,6236,ORG,1
78,German,6322,6328,NORP,1
79,Baby Jane,6425,6434,PERSON,1
80,Bear,6497,6501,ORG,1
81,Jane,6551,6555,PERSON,1
82,Bear,6725,6729,ORG,1
83,Baby Jane,6798,6807,PERSON,1
84,Bear,6889,6893,ORG,1
85,one,7125,7128,CARDINAL,1
86,two,7333,7336,CARDINAL,1
87,Bear,7497,7501,ORG,1
88,a bad day,7730,7739,DATE,1
89,Fluffie,7857,7864,PERSON,1
90,Baby Jane,8076,8085,PERSON,1
91,Bear,8129,8133,ORG,1
92,Bear,8312,8316,ORG,1
93,Baby Jane,8617,8626,PERSON,1
94,Bear,8770,8774,ORG,1
95,Lion,8997,9001,ORG,1
96,Bear,9045,9049,ORG,1
97,Here we go Round the Mulberry Bush,9173,9207,WORK_OF_ART,1
98,Roger de Coverley,9232,9249,PERSON,1
99,Lion,9260,9264,ORG,1
100,Lion,9470,9474,PERSON,1
101,Bear,9526,9530,ORG,1
102,two,9534,9537,CARDINAL,1
103,Bear,9568,9572,ORG,1
104,Lion,9606,9610,ORG,1
105,about thirty yards,9639,9657,QUANTITY,1
106,Bear,9734,9738,ORG,1
107,Lion,9796,9800,ORG,1
108,some twenty yards,9840,9857,QUANTITY,1
109,Bear,9898,9902,ORG,1
110,Baby Jane,9955,9964,PERSON,1
111,Lion,10012,10016,PERSON,1
112,Bear,10045,10049,ORG,1
113,Lion,10089,10093,PERSON,1
114,Bear,10186,10190,ORG,1
115,Lion,10355,10359,ORG,1
116,Baby Jane,10416,10425,PERSON,1
117,Lion,10455,10459,ORG,1
118,Lion,10492,10496,ORG,1
119,Bear,10543,10547,ORG,1
120,Bear,10598,10602,ORG,1
121,Baby Jane,10611,10620,PERSON,1
122,Bear,10661,10665,ORG,1
123,Lion,10686,10690,ORG,1
124,Baby Jane,10752,10761,PERSON,1
125,Bear,10847,10851,ORG,1
126,Baby Jane,10955,10964,PERSON,1
127,two,10992,10995,CARDINAL,1
128,Bear,11063,11067,ORG,1
129,Baby Jane 's,11079,11091,PRODUCT,1
130,Crocodile,11203,11212,PERSON,1
131,Crocodile,11265,11274,PERSON,1
132,Baby Jane,11365,11374,PERSON,1
133,Bear,11480,11484,ORG,1
134,Crocodile,11627,11636,PERSON,1
135,Baby Jane,11650,11659,PERSON,1
136,six,11804,11807,CARDINAL,1
137,Bear,11940,11944,ORG,1
138,first,11956,11961,ORDINAL,1
139,Gavotte,11990,11997,PERSON,1
140,Bear,12118,12122,ORG,1
141,Piccaninny,12440,12450,PRODUCT,1
142,Baby Jane,12548,12557,PERSON,1
143,Bear,12565,12569,FAC,1
144,Gavotte,12645,12652,PERSON,1
145,One,12669,12672,CARDINAL,1
146,two,12675,12678,CARDINAL,1
147,three,12681,12686,CARDINAL,1
148,Bear,12728,12732,ORG,1
149,Baby Jane,12924,12933,PERSON,1
150,Jane,13016,13020,PERSON,1
151,Bear,13057,13061,ORG,1
152,Bear,13265,13269,ORG,1
153,Piccaninny,13469,13479,PRODUCT,1
154,Baby Jane,13513,13522,PERSON,1
155,Highland Schottische,13616,13636,ORG,1
156,Lion,13722,13726,ORG,1
157,Scot,13848,13852,PERSON,1
158,Highlands,13978,13987,GPE,1
159,Bear,14004,14008,ORG,1
160,Crocodile,14054,14063,ORG,1
161,Porcupine,14107,14116,NORP,1
162,Porcupine,14230,14239,NORP,1
163,Bear,14336,14340,ORG,1
164,Baby Jane,14521,14530,PERSON,1
165,Lion,14601,14605,PERSON,1
166,the Washington Post,14622,14641,ORG,1
167,The Washington Post,14644,14663,ORG,1
168,Baby Jane,14800,14809,PERSON,1
169,Lion,14852,14856,PERSON,1
170,Baby Jane,14878,14887,PERSON,1
171,Baby Jane,15051,15060,PERSON,1
172,Lion,15090,15094,ORG,1
173,Bear,15103,15107,ORG,1
174,Piccaninny,15158,15168,PRODUCT,1
175,Baby Jane,15382,15391,PERSON,1
176,Lion,15412,15416,ORG,1
177,Baby Jane,15460,15469,PERSON,1
178,Baby Jane,15651,15660,PERSON,1
179,the African Desert,15894,15912,LOC,1
180,Bear,16083,16087,PERSON,1
181,Piccaninny,16117,16127,PERSON,1
182,yesterday,16142,16151,DATE,1
183,the night,16318,16327,TIME,1
184,Baby Jane,16567,16576,PERSON,1
185,Crocodile,16656,16665,ORG,1
186,Baby Jane,16745,16754,PERSON,1
187,African,17156,17163,NORP,1
188,Baby Jane,17328,17337,PERSON,1
189,this sunshiny morning,17446,17467,TIME,1
190,Cat and Mouse,17928,17941,WORK_OF_ART,1
191,Baby Jane,17951,17960,PERSON,1
192,Lion,17990,17994,PERSON,1
193,Rabbit,18018,18024,PERSON,1
194,two,18052,18055,CARDINAL,1
195,Bear,18078,18082,ORG,1
196,Baby Jane,18150,18159,PERSON,1
197,half,18237,18241,CARDINAL,1
198,Lion,18271,18275,ORG,1
199,three,18313,18318,CARDINAL,1
200,Lion,18373,18377,ORG,1
201,first,18404,18409,ORDINAL,1
202,Baby Jane,18745,18754,PERSON,1
203,Baby Jane,19010,19019,PERSON,1
204,Rabbit,19174,19180,PRODUCT,1
205,four,19578,19582,CARDINAL,1
206,Lion,19629,19633,ORG,1
207,Lion,19648,19652,PERSON,1
208,Lion,19818,19822,ORG,1
209,three,19966,19971,CARDINAL,1
210,Baby Jane,19991,20000,PERSON,1
211,Baby Jane,20122,20131,PERSON,1
212,Piccaninny,20140,20150,PRODUCT,1
213,three,20164,20169,CARDINAL,1
214,Bear,20209,20213,ORG,1
215,Baby Jane,20237,20246,PERSON,1
216,Piccaninny,20255,20265,PRODUCT,1
217,Bear,20272,20276,ORG,1
218,Baby Jane 's,20321,20333,PRODUCT,1
219,Bear,20346,20350,ORG,1
220,Crocodile,20396,20405,ORG,1
221,two yards,20497,20506,QUANTITY,1
222,Lion,20520,20524,ORG,1
223,half,20566,20570,CARDINAL,1
224,Lion,20636,20640,PERSON,1
225,May,20722,20725,DATE,1
226,Baby Jane,20904,20913,PERSON,1
227,Piccaninny,20950,20960,PRODUCT,1
228,May,21114,21117,DATE,1
229,May,21127,21130,DATE,1
230,May,21140,21143,DATE,1
231,Bunny,21181,21186,PERSON,1
232,Crocodile,21328,21337,ORG,1
233,Piccaninny,21355,21365,PRODUCT,1
234,Rabbit,21385,21391,PRODUCT,1
235,Crocodile,21478,21487,PERSON,1
236,Rabbit,21550,21556,PRODUCT,1
237,Crocodile,21672,21681,PERSON,1
238,Baby Jane,21918,21927,PERSON,1
239,sixty,22056,22061,CARDINAL,1
240,first,22513,22518,ORDINAL,1
241,one,22738,22741,CARDINAL,1
242,Cannibal,23001,23009,PRODUCT,1
243,Bear,23525,23529,ORG,1
244,Baby Jane,23554,23563,PERSON,1
245,Lion,24027,24031,ORG,1
246,Lion,24106,24110,ORG,1
247,Piccaninny,24126,24136,PRODUCT,1
248,Crocodile,24299,24308,PERSON,1
249,Lion,24402,24406,ORG,1
250,Bear,24418,24422,ORG,1
251,Baby Jane,24693,24702,PERSON,1
252,Baby Jane,24995,25004,PRODUCT,1
253,Bear,25071,25075,ORG,1
254,the Cannibal Light-Horsemen,25185,25212,PRODUCT,1
255,Crocodile,25314,25323,NORP,1
256,Baby Jane,25391,25400,PERSON,1
257,Bear,25417,25421,ORG,1
258,Baby Jane,25570,25579,PERSON,1
259,Bear,25733,25737,ORG,1
260,a “Tableau Vivant,25991,26008,WORK_OF_ART,1
261,Bear,26112,26116,ORG,1
262,The Execution of Mary,26205,26226,WORK_OF_ART,1
263,Scots,26237,26242,NORP,1
264,Bear,26340,26344,ORG,1
265,Queen Mary,26349,26359,PERSON,1
266,Queen Elizabeth 's,26484,26502,PERSON,1
267,Crocodile,26564,26573,ORG,1
268,Queen Elizabeth,26578,26593,PERSON,1
269,Piccaninny,26740,26750,PERSON,1
270,Queen,26816,26821,PERSON,1
271,Maries,26862,26868,PERSON,1
272,Baby Jane,26872,26881,PERSON,1
273,Lion,26887,26891,PERSON,1
274,Maries,26933,26939,PERSON,1
275,Lion,26947,26951,PERSON,1
276,Mary Beaton,27026,27037,PERSON,1
277,Mary Carmichael,27063,27078,PERSON,1
278,a quarter of an hour,27124,27144,QUANTITY,1
279,Lion,27473,27477,ORG,1
280,Baby Jane 's,27757,27769,PRODUCT,1
281,that day,27782,27790,DATE,1
282,Baby Jane,27949,27958,PERSON,1
283,Christmas Eve,28000,28013,DATE,1
284,Christmas Eve,28218,28231,DATE,1
285,Santa Claus,28281,28292,PERSON,1
286,Baby Jane,28443,28452,PERSON,1
287,Baby Jane,28691,28700,PERSON,1
288,Santa Claus,28817,28828,PERSON,1
289,one,29310,29313,CARDINAL,1
290,Baby Jane,29479,29488,PERSON,1
291,Baby Jane,29621,29630,PERSON,1
