,name,start_pos,end_pos,tag,score
0,Griffith,40,48,ORG,1
1,Farran,53,59,ORG,1
2,Newbery,75,82,PERSON,1
3,Harris,87,93,PERSON,1
4,St. Paul 's Churchyard,105,127,FAC,1
5,Walbrook & Co.,133,147,ORG,1
6,52,149,151,CARDINAL,1
7,Fleet Street,153,165,FAC,1
8,"E. C.",167,173,PERSON,1
9,To M. Antoine D'Abbadie,174,197,PERSON,1
10,Abbadia,202,209,ORG,1
11,the Institute of France,221,244,ORG,1
12,one,512,515,CARDINAL,1
13,first,1087,1092,ORDINAL,1
14,The dawn,1611,1619,WORK_OF_ART,1
15,Daphne,1668,1674,PERSON,1
16,Apollo,1679,1685,ORG,1
17,Western Europe,2320,2334,LOC,1
18,Basques,2340,2347,NORP,1
19,European,2501,2509,NORP,1
20,1,2610,2611,CARDINAL,1
21,European,2702,2710,NORP,1
22,one,2882,2885,CARDINAL,1
23,the last two years,3003,3021,DATE,1
24,M. d'Abbadie,3028,3040,PERSON,1
25,Tartaro,3064,3071,GPE,1
26,the Societe des Sciences et des Arts de Bayonne,3079,3126,ORG,1
27,M. Cerquand,3132,3143,PERSON,1
28,Legendes et Recits Populaires,3149,3178,ORG,1
29,Basque,3187,3193,NORP,1
30,Pau,3225,3228,ORG,1
31,2,3231,3232,CARDINAL,1
32,Campbell,3668,3676,ORG,1
33,Tales of the West Highlands,3681,3708,WORK_OF_ART,1
34,kirk,3750,3754,PERSON,1
35,Basque,3827,3833,NORP,1
36,3,4195,4196,CARDINAL,1
37,Basque,4945,4951,NORP,1
38,American,5033,5041,NORP,1
39,one,5174,5177,CARDINAL,1
40,two,5181,5184,CARDINAL,1
41,the long nights,5308,5323,TIME,1
42,Basque,5410,5416,NORP,1
43,Basque,5990,5996,NORP,1
44,Glendower,6042,6051,ORG,1
45,Hotspur,6056,6063,ORG,1
46,at least nine hours,6083,6102,TIME,1
47,La Soule,6174,6182,PERSON,1
48,Pastorales,6188,6198,WORK_OF_ART,1
49,Basque,6204,6210,NORP,1
50,six to eight hours,6235,6253,TIME,1
51,winter,6351,6357,DATE,1
52,Bible,6643,6648,WORK_OF_ART,1
53,Lives of the Saints,6657,6676,WORK_OF_ART,1
54,Bible,6843,6848,WORK_OF_ART,1
55,Church,6860,6866,ORG,1
56,Bible,6940,6945,WORK_OF_ART,1
57,Adam,6964,6968,PERSON,1
