,name,start_pos,end_pos,tag,score
0,JOSEPH II,10,19,PERSON,1
1,FREDERICK THE GREAT,36,55,PERSON,1
2,MERCHANT OF BERLIN,71,89,ORG,1
3,GERMAN,116,122,NORP,1
4,CHAPMAN COLEMAN,131,146,PERSON,1
5,Two,173,176,CARDINAL,1
6,The Wedding-Festival of,206,229,EVENT,1
7,First,303,308,ORDINAL,1
8,Rendezvous VII,309,323,PRODUCT,1
9,The Balcony VIII,328,344,WORK_OF_ART,1
10,The First Cloud IX,346,364,WORK_OF_ART,1
11,The Council of War X.,366,387,ORG,1
12,The King,415,423,PERSON,1
13,the Abbot XII,428,441,PERSON,1
14,Abbot XIII,455,465,PERSON,1
15,Halle II,617,625,GPE,1
16,Lupinus III,639,650,PERSON,1
17,The Friends V.,687,701,WORK_OF_ART,1
18,The Battle of Sohr VII,728,750,EVENT,1
19,The Return,807,817,PERSON,1
20,The Undeceived XII,847,865,LAW,1
21,Trenck,867,873,PERSON,1
22,First Flight XIII,877,894,WORK_OF_ART,1
23,The Flight XIV,896,910,WORK_OF_ART,1
24,The Last Struggle for Power XVI,925,956,WORK_OF_ART,1
25,the Theatre XVII,977,993,LOC,1
26,Sans-Souci,995,1005,LOC,1
27,Voltaire,1026,1034,PERSON,1
28,Royal Friend III,1043,1059,WORK_OF_ART,1
29,A Woman 's Heart VII,1129,1149,PERSON,1
30,Voltaire IX,1176,1187,PERSON,1
31,A Day,1189,1194,DATE,1
32,Barbarina XII,1237,1250,PERSON,1
33,XIII,1262,1266,PERSON,1
34,BERLIN,1287,1293,GPE,1
35,SANS-SOUCI,1298,1308,ORG,1
36,FREDERICK THE GREAT,1315,1334,PERSON,1
37,May morning,1369,1380,TIME,1
38,Charlottenburg,1481,1495,ORG,1
39,laurel,1645,1651,GPE,1
40,the great avenue,2134,2150,FAC,1
41,the garden gate,2166,2181,FAC,1
42,burgher,2503,2510,PERSON,1
43,wan,2829,2832,PERSON,1
44,Fredersdorf,2847,2858,PERSON,1
45,"Joseph,”said",3095,3107,PERSON,1
46,Joseph,3222,3228,PERSON,1
47,"himself,”he",3272,3283,PERSON,1
48,daily,3557,3562,DATE,1
49,hourly,3567,3573,TIME,1
50,last!”cried Joseph,3736,3754,PERSON,1
51,this night,3865,3875,TIME,1
52,one,3938,3941,CARDINAL,1
53,Fredersdorf,4048,4059,PERSON,1
54,one,4446,4449,CARDINAL,1
55,Another month,4531,4544,DATE,1
56,Fredersdorf,4595,4606,WORK_OF_ART,1
57,every quarter,4765,4778,DATE,1
58,we?”asked Fredersdorf,4964,4985,PERSON,1
59,Captain Kleist,5230,5244,PERSON,1
60,Madame Kleist,5604,5617,PERSON,1
61,Louise von Schwerin,5668,5687,PERSON,1
62,Kleist,5866,5872,ORG,1
63,Cupid,6231,6236,ORG,1
64,Fredersdorf,7126,7137,ORG,1
65,An artist!”cried Fredersdorf,7698,7726,WORK_OF_ART,1
66,Eckhof,7814,7820,ORG,1
67,Eckhof,7857,7863,PERSON,1
68,Eckhof,7873,7879,PERSON,1
69,Eckhof,7904,7910,PERSON,1
70,some weeks,7982,7992,DATE,1
71,German,8038,8044,NORP,1
72,a few days,8099,8109,DATE,1
73,Golsched,8119,8127,GPE,1
74,Cato,8131,8135,WORK_OF_ART,1
75,GERMAN,8536,8542,NORP,1
76,French,8843,8849,NORP,1
77,German,8880,8886,NORP,1
78,Cinderella,8911,8921,PERSON,1
79,French,9096,9102,NORP,1
80,Schonemein,9173,9183,ORG,1
81,German,9205,9211,NORP,1
82,Council,9235,9242,ORG,1
83,German,9334,9340,NORP,1
84,German,9350,9356,NORP,1
85,German,9720,9726,NORP,1
86,first,9780,9785,ORDINAL,1
87,earth,10001,10006,LOC,1
88,first,10469,10474,ORDINAL,1
