,name,start_pos,end_pos,tag,score
0,Latin,180,185,NORP,1
1,Two,194,197,CARDINAL,1
2,Russian,228,235,NORP,1
3,two,336,339,CARDINAL,1
4,one,352,355,CARDINAL,1
5,two,450,453,CARDINAL,1
6,Europe,751,757,LOC,1
7,Australia,856,865,GPE,1
8,Koala,881,886,PERSON,1
9,Pouchskin,989,998,PERSON,1
10,Pouchskin,1148,1157,PERSON,1
11,BRUIN,1181,1186,ORG,1
12,MAYNE REID,1199,1209,PERSON,1
13,Neva,1232,1236,PERSON,1
14,Saint Petersburg,1261,1277,GPE,1
15,the Palace Grodonoff,1314,1334,FAC,1
16,Russian,1360,1367,NORP,1
17,this grand palace,1471,1488,FAC,1
18,haft,1690,1694,ORG,1
19,two,1824,1827,CARDINAL,1
20,ten,1947,1950,CARDINAL,1
21,one,1962,1965,CARDINAL,1
22,Grodonoff,2470,2479,PERSON,1
23,haft,2569,2573,ORG,1
24,Grodonoff,2722,2731,ORG,1
25,three,3182,3187,CARDINAL,1
26,two,3197,3200,CARDINAL,1
27,two,3241,3244,CARDINAL,1
28,Bruin,3353,3358,ORG,1
29,earth,3995,4000,LOC,1
30,two,4027,4030,CARDINAL,1
31,white doeskin,4412,4425,LOC,1
32,German,4926,4932,NORP,1
33,Sclavonian,4936,4946,PERSON,1
34,Lithuania,5012,5021,GPE,1
35,German,5116,5122,NORP,1
36,Russian,5139,5146,NORP,1
37,Russian,5168,5175,NORP,1
38,Russia,5835,5841,GPE,1
39,Russian,6504,6511,NORP,1
40,Bruin,7109,7114,ORG,1
41,one,7604,7607,CARDINAL,1
42,Russia,7714,7720,GPE,1
43,third,7779,7784,ORDINAL,1
44,hunter,7978,7984,PERSON,1
45,hunter,8168,8174,PERSON,1
46,scathless,8355,8364,ORG,1
47,hunter,8900,8906,PERSON,1
48,the Imperial Guard,8923,8941,ORG,1
49,Grodonoff,9034,9043,ORG,1
50,one,9106,9109,CARDINAL,1
51,Grodonoff,9142,9151,ORG,1
52,three,9569,9574,CARDINAL,1
53,Yauban,10271,10277,ORG,1
54,Suwarrow,10345,10353,GPE,1
55,Diebitsch,10355,10364,ORG,1
56,Paskiewitch,10366,10377,GPE,1
57,Potemkin,10381,10389,PERSON,1
58,early years,10555,10566,DATE,1
59,begot,10591,10596,PERSON,1
60,A few minutes,11536,11549,TIME,1
61,two,11557,11560,CARDINAL,1
62,sixteen and eighteen,11637,11657,DATE,1
63,One,11659,11662,CARDINAL,1
64,hazel,11743,11748,PERSON,1
65,Russia,12072,12078,GPE,1
66,Alexis,12089,12095,PERSON,1
67,Alexis,12238,12244,PERSON,1
68,Ivan,12318,12322,PERSON,1
69,Sclavonic,12533,12542,ORG,1
70,Ivan,12602,12606,PERSON,1
71,Ivan stole,12849,12859,PERSON,1
72,two,13035,13038,CARDINAL,1
73,more than ten years,13153,13172,DATE,1
74,Russia,13243,13249,GPE,1
75,Alexis,13446,13452,PERSON,1
76,Ivan,13520,13524,PERSON,1
77,each day,13865,13873,DATE,1
