,name,start_pos,end_pos,tag,score
0,Bengal Peasant Life,12,31,WORK_OF_ART,1
1,32,45,47,CARDINAL,1
2,Warwick Goble,75,88,PERSON,1
3,RICHARD CARNAC,93,107,PERSON,1
4,BENGAL STAFF CORPS,124,142,ORG,1
5,F. R. G. S.,143,154,PERSON,1
6,M. R. A. S.,156,167,PERSON,1
7,M. A. I.,169,177,PERSON,1
8,FIRST,188,193,ORDINAL,1
9,INDIAN,294,300,NORP,1
10,Bengal,364,370,GPE,1
11,Govinda,394,401,PERSON,1
12,Sambhu,494,500,PERSON,1
13,R. C. Temple,595,607,PERSON,1
14,the Bengal Staff Corps,612,634,ORG,1
15,Indian,661,667,NORP,1
16,Richard Temple,686,700,PERSON,1
17,India,815,820,GPE,1
18,Norse,987,992,NORP,1
19,Dasent,1020,1026,ORG,1
20,Arnason,1031,1038,PERSON,1
21,Icelandic,1042,1051,NORP,1
22,Powell,1074,1080,PERSON,1
23,the Highland Stories,1085,1105,ORG,1
24,English,1116,1123,LANGUAGE,1
25,Campbell,1127,1135,PERSON,1
26,daily,1287,1292,DATE,1
27,half,1418,1422,CARDINAL,1
28,Ganges,1457,1463,ORG,1
29,hundredth,1491,1500,ORDINAL,1
30,Englishman,1546,1556,NORP,1
31,Thames,1577,1583,GPE,1
32,hundreds,1735,1743,CARDINAL,1
33,thousands,1781,1790,CARDINAL,1
34,Sambhu,1834,1840,PERSON,1
35,one,2043,2046,CARDINAL,1
36,third,2108,2113,ORDINAL,1
37,fourth,2131,2137,ORDINAL,1
38,Sambhu,2162,2168,PERSON,1
39,bourne,2236,2242,PERSON,1
40,Sambhu,2288,2294,PERSON,1
41,Gammer Grethel,2367,2381,PERSON,1
42,half,2395,2399,CARDINAL,1
43,Hesse-Cassel,2434,2446,ORG,1
44,Bengali,2468,2475,NORP,1
45,Christian,2476,2485,NORP,1
46,two,2753,2756,CARDINAL,1
47,three,2781,2786,CARDINAL,1
48,two,2819,2822,CARDINAL,1
49,Brahman,2862,2869,WORK_OF_ART,1
50,English,2899,2906,LANGUAGE,1
51,Bengali,2937,2944,LANGUAGE,1
52,English,2973,2980,LANGUAGE,1
53,Bengali,3323,3330,NORP,1
54,age to age,3342,3352,DATE,1
55,a hundred,3361,3370,CARDINAL,1
56,Sambhu,3385,3391,PERSON,1
57,Bengali,3467,3474,NORP,1
58,Natiya,3570,3576,PERSON,1
59,dost thou bite,3968,3982,PERSON,1
60,Koot!,3985,3990,ORG,1
61,koot,3997,4001,PERSON,1
62,26,4313,4315,CARDINAL,1
63,The Suo queen went to the door with a handful of rice” 1,4332,4388,WORK_OF_ART,1
64,9,4464,4465,CARDINAL,1
65,22,4561,4563,CARDINAL,1
66,43,4623,4625,CARDINAL,1
67,56,4674,4676,CARDINAL,1
68,62,4733,4735,CARDINAL,1
69,The Girl of the Wall-Almirah,4829,4857,WORK_OF_ART,1
70,95,4931,4933,CARDINAL,1
71,117,5031,5034,CARDINAL,1
72,Hundreds,5036,5044,CARDINAL,1
73,khai,5111,5115,GPE,1
74,123,5117,5120,CARDINAL,1
75,141,5237,5240,CARDINAL,1
76,145,5322,5325,CARDINAL,1
77,162,5398,5401,CARDINAL,1
78,170,5487,5490,CARDINAL,1
79,174,5539,5542,CARDINAL,1
80,181,5591,5594,CARDINAL,1
81,Sankchinni,5681,5691,ORG,1
82,188,5693,5696,CARDINAL,1
83,first,5713,5718,ORDINAL,1
