,name,start_pos,end_pos,tag,score
0,HARPER,0,6,ORG,1
1,ALPENSTOCK,45,55,ORG,1
2,the day,131,138,DATE,1
3,Walter,144,150,PERSON,1
4,second,170,176,ORDINAL,1
5,valley,342,348,LOC,1
6,Engelhorn,514,523,LOC,1
7,Wellborn,528,536,LOC,1
8,half an hour,961,973,TIME,1
9,Walter,2334,2340,PERSON,1
10,Lämmergeier,2423,2434,PERSON,1
11,Alps,2442,2446,LOC,1
12,ten,3101,3104,CARDINAL,1
13,twenty,3108,3114,CARDINAL,1
14,two or three thousand feet,3506,3532,QUANTITY,1
15,Walter,3745,3751,PERSON,1
16,first,5988,5993,ORDINAL,1
17,first,6281,6286,ORDINAL,1
18,eyrie,6569,6574,ORG,1
19,cragsman,6913,6921,PERSON,1
20,one or two,7560,7570,CARDINAL,1
21,saved!”murmured Walter,7872,7894,PERSON,1
22,hundreds of feet,8445,8461,QUANTITY,1
23,several minutes,9009,9024,TIME,1
24,only about fifty,9193,9209,CARDINAL,1
25,a few minutes,9243,9256,TIME,1
26,about eight feet,9610,9626,QUANTITY,1
27,Walter,9848,9854,PERSON,1
28,one,10711,10714,CARDINAL,1
29,a precipice two thousand feet,11055,11084,QUANTITY,1
30,native valley,11478,11491,LOC,1
31,one,12152,12155,CARDINAL,1
32,Walter,12689,12695,PERSON,1
33,first,12757,12762,ORDINAL,1
34,third,13579,13584,ORDINAL,1
35,Walter,13812,13818,PERSON,1
36,several minutes,13893,13908,TIME,1
37,about half,14065,14075,CARDINAL,1
38,Florida,14531,14538,GPE,1
39,"WILLIE J. H.",14810,14823,PERSON,1
40,every morning,15331,15344,TIME,1
41,five,15536,15540,CARDINAL,1
42,Christmas,15598,15607,DATE,1
43,One,15725,15728,CARDINAL,1
44,last summer,15796,15807,DATE,1
45,"LULU W.",15932,15940,PERSON,1
46,one,16049,16052,CARDINAL,1
47,14,16061,16063,CARDINAL,1
48,J. J. WAIT,16317,16327,PERSON,1
49,B. C. FULLER,16329,16341,PERSON,1
50,J. J. CRAWLEY,16343,16356,PERSON,1
51,MARY,16381,16385,PERSON,1
52,PACH,16420,16424,EVENT,1
53,St. Mary 's,16476,16487,GPE,1
54,Mercury,16532,16539,ORG,1
55,American,16678,16686,NORP,1
56,St. Mary 's,16903,16914,GPE,1
57,annual,16939,16945,DATE,1
58,first,16989,16994,ORDINAL,1
59,second,17105,17111,ORDINAL,1
60,i. e.,17145,17150,PERSON,1
61,Royal,17407,17412,WORK_OF_ART,1
62,Smith,17448,17453,PERSON,1
63,night,17822,17827,TIME,1
64,every half hour,17945,17960,TIME,1
65,Light,18152,18157,WORK_OF_ART,1
66,Where away?,18187,18198,WORK_OF_ART,1
67,everybody!”On,18541,18554,GPE,1
68,Egyptian,18560,18568,NORP,1
