,name,start_pos,end_pos,tag,score
0,Zertho,5,11,PERSON,1
1,Liane,29,34,PERSON,1
2,Brooker,67,74,PERSON,1
3,Erle Brooker,196,208,PERSON,1
4,English,398,405,LANGUAGE,1
5,Erle Brooker,739,751,PERSON,1
6,Japanese,816,824,NORP,1
7,the five years,879,893,DATE,1
8,England,1060,1067,GPE,1
9,evil days,1243,1252,DATE,1
10,Nice,1367,1371,GPE,1
11,Brooker,1557,1564,PERSON,1
12,second,1658,1664,ORDINAL,1
13,Liane,1706,1711,PERSON,1
14,Brooker,1975,1982,ORG,1
15,Zertho,2229,2235,PERSON,1
16,Two,2554,2557,CARDINAL,1
17,Liane,3291,3296,PERSON,1
18,Stratfield Mortimer,3765,3784,PERSON,1
19,A year ago,4079,4089,DATE,1
20,a quarter of a century,4136,4158,DATE,1
21,Erle Brooker,4296,4308,PERSON,1
22,Liane,4323,4328,PERSON,1
23,Nellie Bridson,4334,4348,PERSON,1
24,Jack Bridson,4392,4404,PERSON,1
25,Brooker,4427,4434,ORG,1
26,nine years of age,4457,4474,DATE,1
27,Liane,4554,4559,PERSON,1
28,Frenchwoman,4772,4783,NORP,1
29,two,4832,4835,CARDINAL,1
30,French,4859,4865,NORP,1
31,English,4898,4905,LANGUAGE,1
32,finnikin,4945,4953,PERSON,1
33,Beech Hill,5026,5036,LOC,1
34,Silchester,5045,5055,PERSON,1
35,Brooker,5328,5335,PERSON,1
36,London,5452,5458,GPE,1
37,first,5465,5470,ORDINAL,1
38,secondly,5499,5507,ORDINAL,1
39,Zertho,5730,5736,PERSON,1
40,Stratfield Mortimer,5759,5778,PERSON,1
41,Ostend,5808,5814,ORG,1
42,Riviera,5822,5829,ORG,1
43,half,5875,5879,CARDINAL,1
44,one,5997,6000,CARDINAL,1
45,long nights,6302,6313,DATE,1
46,Europe,6486,6492,LOC,1
47,fifty years,6529,6540,DATE,1
48,twenty years,6732,6744,DATE,1
49,thirty thousand,7162,7177,CARDINAL,1
50,two,7240,7243,CARDINAL,1
51,last louis,7404,7414,DATE,1
52,the National Sporting Club,7531,7557,ORG,1
53,London,7578,7584,GPE,1
54,my offer!”observed Zertho,7914,7939,PERSON,1
55,Brooker,7970,7977,PERSON,1
56,Zertho d'Auzac,8098,8112,PERSON,1
57,Liane,8218,8223,PERSON,1
58,Brooker,8249,8256,PERSON,1
59,Zertho,8458,8464,PERSON,1
60,a hundred thousand pounds,8566,8591,QUANTITY,1
61,two,8882,8885,CARDINAL,1
62,Liane Brooker,9219,9232,PERSON,1
63,Frenchwomen,9526,9537,PERSON,1
64,Hundreds,10163,10171,CARDINAL,1
65,Zertho d'Auzac,10401,10415,PERSON,1
66,Luxembourg,10548,10558,GPE,1
67,Berlin,10617,10623,GPE,1
68,St Petersburg,10627,10640,GPE,1
69,England,10699,10706,GPE,1
70,Liane Brooker,10766,10779,PERSON,1
71,Europe,10924,10930,LOC,1
72,Nelly,11090,11095,PERSON,1
73,Liane,11132,11137,PERSON,1
74,English,11178,11185,NORP,1
75,chin,11509,11513,PERSON,1
76,Zertho,11639,11645,PERSON,1
77,That day,11717,11725,DATE,1
78,the old days,11842,11854,DATE,1
79,Liane,12164,12169,PERSON,1
80,Nice,12483,12487,GPE,1
81,Riviera,12567,12574,LOC,1
82,Zertho,12623,12629,PERSON,1
83,Liane,12662,12667,PERSON,1
84,years,12960,12965,DATE,1
85,Liane,13213,13218,PERSON,1
86,M'sieur,13405,13412,PERSON,1
87,English,13487,13494,LANGUAGE,1
88,Continent,13680,13689,LOC,1
89,one,13717,13720,CARDINAL,1
90,Nellie,13764,13770,ORG,1
91,English,13989,13996,NORP,1
92,third,14045,14050,ORDINAL,1
93,the Rue Dalpozzo,14060,14076,FAC,1
94,Nice,14080,14084,GPE,1
95,Sunday School,14175,14188,DATE,1
96,Zertho,14209,14215,PERSON,1
97,a thousand,14580,14590,CARDINAL,1
98,one,14647,14650,CARDINAL,1
99,Zertho,14739,14745,PERSON,1
100,Prince,14990,14996,PERSON,1
101,Liane,15026,15031,PERSON,1
102,second,15220,15226,ORDINAL,1
103,Ten minutes,15265,15276,TIME,1
104,London,15308,15314,GPE,1
105,Liane,15381,15386,PERSON,1
