,name,start_pos,end_pos,tag,score
0,STACKPOLE,49,58,ORG,1
1,FIRST,68,73,ORDINAL,1
2,pantaloon,113,122,PERSON,1
3,Thousands,307,316,CARDINAL,1
4,thousands,977,986,CARDINAL,1
5,"on,“and",1480,1487,ORG,1
6,millions,2350,2358,CARDINAL,1
7,all these years,3152,3167,DATE,1
8,a penny,3184,3191,MONEY,1
9,first,3279,3284,ORDINAL,1
10,second,3427,3433,ORDINAL,1
11,four,4920,4924,CARDINAL,1
12,Lafe Gorgett,5006,5018,PERSON,1
13,"Gorgett,”of",5040,5051,PERSON,1
14,Lafe,5207,5211,PERSON,1
15,fourth,5274,5280,ORDINAL,1
16,Lafe,5449,5453,PERSON,1
17,Lafe,5710,5714,PERSON,1
18,four,5903,5907,CARDINAL,1
19,Farwell Knowles,5967,5982,PERSON,1
20,Gorgett,6231,6238,PERSON,1
21,darkeys,6274,6281,PERSON,1
22,one,7114,7117,CARDINAL,1
23,State,7280,7285,ORG,1
24,two,7450,7453,CARDINAL,1
25,Aristocrat,7486,7496,PERSON,1
26,two,7756,7759,CARDINAL,1
27,Farwell Knowles,7975,7990,PERSON,1
28,Knowles,8123,8130,PERSON,1
29,Gorgett,8161,8168,PERSON,1
30,Farwell Knowles,8210,8225,PERSON,1
31,about thirty-two,8243,8259,CARDINAL,1
32,Herald,8288,8294,ORG,1
33,Farwell,8424,8431,PERSON,1
34,Lafe Gorgett,9093,9105,PERSON,1
35,Lafe,9155,9159,PERSON,1
36,Boodler Gorgett”,9192,9208,PERSON,1
37,one year 's end,9239,9254,DATE,1
38,Farwell,9384,9391,PERSON,1
39,one,9611,9614,CARDINAL,1
40,Harvard,9884,9891,ORG,1
41,one,9904,9907,CARDINAL,1
42,Parkhurstian,10315,10327,NORP,1
43,One day,10365,10372,DATE,1
44,about five,10520,10530,CARDINAL,1
45,afternoon,10538,10547,TIME,1
46,General Buskirk 's,10825,10843,ORG,1
47,Buskirk,10894,10901,PERSON,1
48,Bella,10915,10920,PERSON,1
49,Buskirk,11042,11049,PERSON,1
50,Bella,11103,11108,PERSON,1
51,Farwell,11495,11502,PERSON,1
52,Farwell,11668,11675,PERSON,1
53,Knowles,11719,11726,PERSON,1
54,Bella,11746,11751,PERSON,1
55,Farwell,12505,12512,PERSON,1
56,Knowles,12618,12625,PERSON,1
57,Farwell,12705,12712,PERSON,1
58,first,12722,12727,ORDINAL,1
59,Roland,13198,13204,PERSON,1
60,Farwell,13364,13371,PERSON,1
61,one,13433,13436,CARDINAL,1
62,darkey,13524,13530,ORG,1
63,Gorgett,13554,13561,PERSON,1
64,Gorgett,13563,13570,PERSON,1
65,Farwell,13599,13606,PERSON,1
66,Knowles,13772,13779,PERSON,1
67,Bella,13818,13823,PERSON,1
68,Farwell,14150,14157,PERSON,1
69,Bella,14202,14207,PERSON,1
70,Buskirk,14447,14454,PERSON,1
71,Farwell Knowles,14595,14610,PERSON,1
72,a week,14909,14915,DATE,1
73,Gorgett,14985,14992,PERSON,1
74,one,15085,15088,CARDINAL,1
75,Lafe,15092,15096,ORG,1
76,one,15137,15140,CARDINAL,1
77,Farwell Knowles,15231,15246,PERSON,1
78,Knowles,15362,15369,PERSON,1
79,one,15496,15499,CARDINAL,1
80,Hayes and Wheeler times,15572,15595,ORG,1
81,six o'clock,15626,15637,TIME,1
82,one,15784,15787,CARDINAL,1
83,Gorgett,16101,16108,PERSON,1
84,Gorgett,16245,16252,PERSON,1
85,Gorgett,16494,16501,PERSON,1
86,every Tom-Dick-and-Harry,16700,16724,PERSON,1
87,Bob Crowder,16734,16745,PERSON,1
88,Genz,16840,16844,PERSON,1
89,it?”says,16897,16905,ORG,1
90,Bob,16906,16909,PERSON,1
91,Genz,16916,16920,PERSON,1
92,Knowles,17300,17307,PERSON,1
93,Genz,17408,17412,PERSON,1
94,Farwell Knowles 's,17453,17471,PERSON,1
95,hustle Genz,17643,17654,PERSON,1
96,Farwell,17763,17770,PERSON,1
97,person!”he,17832,17842,PERSON,1
98,Genz,17861,17865,ORG,1
99,Crowder,17904,17911,PERSON,1
100,half an hour ago,17953,17969,TIME,1
101,Gorgett,18182,18189,PERSON,1
102,"explanation,”he",18736,18751,DATE,1
103,Gorgett,18837,18844,PERSON,1
104,"No,”said I,“I wo n't",18857,18877,WORK_OF_ART,1
105,Bob Crowder,19178,19189,PERSON,1
106,“He,19217,19220,PERSON,1
107,Bob,19327,19330,PERSON,1
108,Genz,19346,19350,PERSON,1
109,Knowles,19444,19451,PERSON,1
110,"politics,”he",19515,19527,PERSON,1
