,name,start_pos,end_pos,tag,score
0,WASHINGTON,15,25,GPE,1
1,the first week,89,103,DATE,1
2,"February, 1778",107,121,DATE,1
3,Cornelius De Vries,155,173,PERSON,1
4,Green Street,190,202,FAC,1
5,Philadelphia,204,216,GPE,1
6,the Northern Liberties,256,278,LOC,1
7,Agatha De Vries,280,295,PERSON,1
8,Cornelius,330,339,PERSON,1
9,two,455,458,CARDINAL,1
10,one,547,550,CARDINAL,1
11,china,728,733,GPE,1
12,Cornelius De Vries,865,883,PERSON,1
13,one,952,955,CARDINAL,1
14,sixty,1051,1056,CARDINAL,1
15,Dutch,1221,1226,NORP,1
16,Holland,1302,1309,GPE,1
17,Nathan Stanbury,1372,1387,PERSON,1
18,seventeen years,1500,1515,DATE,1
19,Nathan,1617,1623,PERSON,1
20,the College of Philadelphia,1641,1668,ORG,1
21,Latin,1706,1711,NORP,1
22,Cornelius De Vries,1869,1887,PERSON,1
23,evening,1962,1969,TIME,1
24,“The Royal Gazette,1977,1995,WORK_OF_ART,1
25,nearly six months,2284,2301,DATE,1
26,British,2306,2313,NORP,1
27,Howe,2334,2338,PERSON,1
28,Philadelphia,2353,2365,GPE,1
29,Valley Forge,2396,2408,ORG,1
30,the United American Colonies,2659,2687,GPE,1
31,twentieth,2798,2807,ORDINAL,1
32,Nathan,2830,2836,PERSON,1
33,Latin,2912,2917,LANGUAGE,1
34,"De Vries,”he",2935,2947,PERSON,1
35,third,3162,3167,ORDINAL,1
36,Nathan,3428,3434,PERSON,1
37,Nathan,3684,3690,ORG,1
38,Indian,3877,3883,NORP,1
39,Queen,3884,3889,PERSON,1
40,"Valley Forge,”he",4040,4056,ORG,1
41,De Vries,4151,4159,PERSON,1
42,hostler,4369,4376,PERSON,1
43,night,4729,4734,TIME,1
44,morning,4885,4892,TIME,1
45,De Vries,5067,5075,PERSON,1
46,ten,5315,5318,CARDINAL,1
47,Nathan,5340,5346,PERSON,1
48,De Vries,5472,5480,PERSON,1
49,night,5543,5548,TIME,1
50,"me,”replied Nathan",5607,5625,ORG,1
51,day,5875,5878,DATE,1
52,two,5882,5885,CARDINAL,1
53,Richard Stanbury,5959,5975,PERSON,1
54,Nathan,5991,5997,PERSON,1
55,England,6013,6020,GPE,1
56,America,6024,6031,GPE,1
57,1760,6035,6039,DATE,1
58,the age of twenty-six,6044,6065,DATE,1
59,Philadelphia,6145,6157,GPE,1
60,The next year,6159,6172,DATE,1
61,Nathan,6173,6179,PERSON,1
62,five years later,6194,6210,DATE,1
63,Richard Stanbury,6257,6273,PERSON,1
64,Quaker City,6284,6295,GPE,1
65,New England,6353,6364,LOC,1
66,Connecticut,6385,6396,GPE,1
67,the Wyoming Valley,6407,6425,LOC,1
68,Pennsylvania,6429,6441,GPE,1
69,Delaware,6484,6492,GPE,1
70,Indians,6493,6500,NORP,1
71,Pennsylvania,6547,6559,GPE,1
72,Richard Stanbury,6730,6746,PERSON,1
73,Nathan,7170,7176,PERSON,1
74,British,7666,7673,NORP,1
75,Wyoming,7704,7711,GPE,1
76,Washington,7781,7791,GPE,1
77,Richard Stanbury,7793,7809,PERSON,1
78,Captain Stanbury,7833,7849,PERSON,1
79,Nathan,7880,7886,PERSON,1
80,Philadelphia,8059,8071,GPE,1
81,Nathan,8077,8083,PERSON,1
82,Quaker,8126,8132,ORG,1
83,Cornelius De Vries,8177,8195,PERSON,1
84,Richard Stanbury,8336,8352,PERSON,1
85,America,8396,8403,GPE,1
86,Nathan,8409,8415,PERSON,1
87,the first two years,8472,8491,DATE,1
88,adverses,8536,8544,PERSON,1
89,British,8613,8620,NORP,1
90,Philadelphia,8630,8642,GPE,1
91,the fall of 1777,8647,8663,DATE,1
92,British,8824,8831,NORP,1
93,Cornelius De Vries,8868,8886,PERSON,1
94,Nathan,8996,9002,PERSON,1
95,Valley Forge,9058,9070,FAC,1
96,General Washington,9145,9163,ORG,1
97,British,9316,9323,NORP,1
98,Frankford,9351,9360,GPE,1
99,American,9507,9515,NORP,1
100,Nathan,9586,9592,PERSON,1
101,Dutch,9615,9620,NORP,1
102,February,9647,9655,DATE,1
103,evening,9656,9663,TIME,1
104,first,9755,9760,ORDINAL,1
105,"night,”he",9790,9799,PERSON,1
106,British,9957,9964,NORP,1
107,Green Street,9992,10004,FAC,1
108,Second,10010,10016,ORDINAL,1
109,Third,10020,10025,ORDINAL,1
110,Braddock,10057,10065,PERSON,1
111,Howe,10077,10081,PERSON,1
112,Nathan,10187,10193,PERSON,1
113,Fourth Street,10270,10283,FAC,1
114,A few yards,10285,10296,QUANTITY,1
115,Nathan,10569,10575,PERSON,1
116,British,10616,10623,NORP,1
117,"same,”Nathan",10655,10667,GPE,1
118,Godfrey,10749,10756,PERSON,1
119,Nathan,10781,10787,PERSON,1
120,Nathan,11128,11134,PERSON,1
