,name,start_pos,end_pos,tag,score
0,True Grit,188,197,WORK_OF_ART,1
1,Six,211,214,CARDINAL,1
2,London S. W. Partridge,230,252,PERSON,1
3,8,261,262,CARDINAL,1
4,9,267,268,CARDINAL,1
5,Paternoster Row,269,284,WORK_OF_ART,1
6,"E. C.",286,292,PERSON,1
7,CHAP,307,311,ORG,1
8,I. JIMMY 'S DUCK II,314,333,PERSON,1
9,III,347,350,PRODUCT,1
10,WIND VII,421,429,PRODUCT,1
11,SEALER IX,463,472,WORK_OF_ART,1
12,X. HOVE TO XI,491,504,PERSON,1
13,THE HOLLISCHACKIE XII,512,533,WORK_OF_ART,1
14,THE BEACH XIV,565,578,GPE,1
15,XV,590,592,ORG,1
16,XVI,603,606,ORG,1
17,STICKINE,608,616,ORG,1
18,XX,702,704,PERSON,1
19,XXI,723,726,GPE,1
20,VANCOUVER,731,740,GPE,1
21,XXII,741,745,GPE,1
22,Frontispiece,943,955,PERSON,1
23,CHRISS,960,966,PERSON,1
24,‘ ARE YOU TWO LADS GOING OFF TO THE BARQUE OUT THERE,987,1039,WORK_OF_ART,1
25,INDIAN,1082,1088,NORP,1
26,APPLEBY,1163,1170,PERSON,1
27,‘ I 'VE COME FOR THE TWO LADS YOU PICKED UP,1195,1238,WORK_OF_ART,1
28,THE MISTY SEAS,1249,1263,LOC,1
29,JIMMY 'S DUCK,1284,1297,ORG,1
30,The sea!”said Bluey,1302,1321,WORK_OF_ART,1
31,the Nova Scotian,1323,1339,ORG,1
32,two,1504,1507,CARDINAL,1
33,nine o'clock,1575,1587,TIME,1
34,the last night,1603,1617,TIME,1
35,that hour,1650,1659,TIME,1
36,Sandycombe School,1678,1695,ORG,1
37,Pearson,1697,1704,PERSON,1
38,Niven,1946,1951,PERSON,1
39,the hour,2037,2045,TIME,1
40,the morning and evening,2064,2087,TIME,1
41,Niven,2185,2190,PERSON,1
42,Sandycombe,2303,2313,PERSON,1
43,Bluey,2499,2504,ORG,1
44,the Nova Scotian,2520,2536,ORG,1
45,twenty,2893,2899,CARDINAL,1
46,winter,2983,2989,DATE,1
47,Niven,3258,3263,PERSON,1
48,Bluey,3393,3398,ORG,1
49,Niven,3468,3473,PERSON,1
50,the Nova Scotian 's,3499,3518,ORG,1
51,an inch,3579,3586,QUANTITY,1
52,Niven,3612,3617,PERSON,1
53,only one,3923,3931,CARDINAL,1
54,Appleby,3966,3973,PERSON,1
55,Marryat,3988,3995,PERSON,1
56,bush,4030,4034,PERSON,1
57,sunny afternoons,4038,4054,TIME,1
58,Appleby,4175,4182,ORG,1
59,Niven,4199,4204,PERSON,1
60,Appleby,4318,4325,PERSON,1
61,Niven,4332,4337,PERSON,1
62,kennels!”said,4453,4466,ORG,1
63,two,4525,4528,CARDINAL,1
64,Niven swimming,4697,4711,LOC,1
65,Pearson,4915,4922,PERSON,1
66,first,4989,4994,ORDINAL,1
67,here?”he,5353,5361,ORG,1
68,two,5592,5595,CARDINAL,1
69,Appleby,5655,5662,PERSON,1
70,Niven,5667,5672,PERSON,1
71,Pearson,5885,5892,PERSON,1
72,Good-night,6062,6072,WORK_OF_ART,1
73,"morrow,”he",6144,6154,DATE,1
74,Two minutes later,6162,6179,TIME,1
75,Bluey,6286,6291,ORG,1
76,Appleby,6374,6381,PERSON,1
77,Niven,6399,6404,PERSON,1
78,Appleby,6465,6472,PERSON,1
79,Tileworks Jimmy 's,6556,6574,ORG,1
80,Jimmy 's,6757,6765,ORG,1
81,Appleby,6992,6999,PERSON,1
82,the holidays,7027,7039,DATE,1
83,"n't,”said Appleby",7112,7129,PERSON,1
84,Pearson,7154,7161,PERSON,1
85,Tileworks Jimmy 's.,7310,7329,ORG,1
86,Jimmy 's house,7394,7408,ORG,1
87,Jimmy,7410,7415,PERSON,1
88,Appleby,7432,7439,PERSON,1
89,a few days later,7452,7468,DATE,1
90,Jimmy,7469,7474,PERSON,1
91,ten shillings,7514,7527,MONEY,1
92,The Head,7614,7622,PERSON,1
93,five shillings,7665,7679,MONEY,1
94,Appleby,7703,7710,ORG,1
95,Appleby,7732,7739,PERSON,1
96,Jimmy 's,7753,7761,ORG,1
97,Jimmy,7783,7788,PERSON,1
98,Q. E. D. Appleby,7886,7902,PERSON,1
99,Appleby,7906,7913,PERSON,1
100,"me,”he",8024,8030,DATE,1
101,one,8065,8068,CARDINAL,1
102,one-and-six,8075,8086,CARDINAL,1
103,Jimmy,8127,8132,PERSON,1
104,Appleby,8242,8249,PERSON,1
105,Sally,8343,8348,PERSON,1
106,Appleby,8413,8420,PERSON,1
107,Niven,8606,8611,PERSON,1
108,"duck,”he",8722,8730,DATE,1
109,Jimmy,8811,8816,PERSON,1
110,Appleby,8857,8864,PERSON,1
111,Niven,8994,8999,PERSON,1
112,half,9041,9045,CARDINAL,1
113,Sandycombe,9151,9161,PERSON,1
114,two,9304,9307,CARDINAL,1
115,Charley,9356,9363,PERSON,1
116,Niven,9420,9425,PERSON,1
117,first,9459,9464,ORDINAL,1
118,Appleby,9500,9507,PERSON,1
119,Niven,9613,9618,PERSON,1
120,"weight,”he",9692,9702,PERSON,1
121,Appleby,9754,9761,PERSON,1
122,Niven,9825,9830,PERSON,1
123,quaggy,10086,10092,GPE,1
124,Niven,10223,10228,PERSON,1
125,"on,”he",10406,10412,PERSON,1
126,Appleby,10420,10427,ORG,1
127,Niven 's,10529,10537,ORG,1
128,Appleby,10564,10571,PERSON,1
129,Niven,10912,10917,PERSON,1
130,a few shillings,11006,11021,MONEY,1
131,Niven,11040,11045,PERSON,1
132,"me,”said Appleby",11370,11386,PERSON,1
133,half,11591,11595,CARDINAL,1
134,Niven,11766,11771,PERSON,1
135,"Tom,”he",11913,11920,PERSON,1
136,"No,”said Appleby",11929,11945,PERSON,1
137,Niven,12095,12100,PERSON,1
138,"that,”he",12153,12161,ORG,1
139,Niven,12219,12224,PERSON,1
140,"Tom,”he",12313,12320,PERSON,1
141,Appleby,12328,12335,ORG,1
142,Niven,12450,12455,PERSON,1
143,Appleby,12674,12681,PERSON,1
144,Niven,12799,12804,PERSON,1
145,"Tom,”he",12999,13006,PERSON,1
146,"softly,“there",13012,13025,ORG,1
147,Appleby,13135,13142,ORG,1
148,"well,”he",13204,13212,PERSON,1
149,Jimmy,13261,13266,PERSON,1
150,Niven,13436,13441,PERSON,1
151,two,13533,13536,CARDINAL,1
152,second,13608,13614,ORDINAL,1
153,Jimmy,13690,13695,WORK_OF_ART,1
154,Ellen,14071,14076,PERSON,1
155,Niven,14124,14129,PERSON,1
156,two,14174,14177,CARDINAL,1
157,one,14212,14215,CARDINAL,1
158,Jimmy,14241,14246,PERSON,1
159,one,14260,14263,CARDINAL,1
160,Niven,14347,14352,PERSON,1
161,Jimmy,14534,14539,PRODUCT,1
162,first,14689,14694,ORDINAL,1
163,Five minutes,14695,14707,TIME,1
164,Jimmy,14741,14746,PERSON,1
165,One,15043,15046,CARDINAL,1
166,Niven,15072,15077,PERSON,1
167,one foot,15253,15261,QUANTITY,1
168,Jimmy,15263,15268,PERSON,1
169,Niven,15302,15307,PERSON,1
170,Niven,15704,15709,PERSON,1
171,Appleby,16063,16070,PERSON,1
172,Niven,16124,16129,PERSON,1
173,"quiet,”he",16174,16183,PERSON,1
174,course!”said Appleby,16195,16215,PERSON,1
175,Niven,16409,16414,PERSON,1
176,“She,16613,16617,ORG,1
177,Niven,16743,16748,PERSON,1
178,Appleby,16893,16900,ORG,1
179,"could,”he",16929,16938,PERSON,1
180,another minute,17016,17030,TIME,1
181,Niven,17031,17036,PERSON,1
182,Appleby,17141,17148,PERSON,1
183,Niven,17519,17524,PERSON,1
184,"run,”said Appleby",17606,17623,PERSON,1
185,Chriss,17684,17690,PERSON,1
186,Niven,17694,17699,PERSON,1
187,Appleby,17837,17844,PERSON,1
188,"Towser,”he",18005,18015,ORG,1
189,Niven,18082,18087,PERSON,1
190,Niven,18396,18401,PERSON,1
191,"now,”he",18543,18550,ORG,1
192,Appleby,18582,18589,PERSON,1
193,homewards Niven,18684,18699,PERSON,1
194,one foot,18806,18814,QUANTITY,1
195,two,19284,19287,CARDINAL,1
196,Niven,19562,19567,PERSON,1
197,Head,19758,19762,PERSON,1
198,Nettleton,19811,19820,PERSON,1
199,to-morrow,19924,19933,DATE,1
200,Appleby,20070,20077,PERSON,1
201,course!”said,20084,20096,ORG,1
202,third,20099,20104,ORDINAL,1
203,Bluey the Nova Scotian,20296,20318,ORG,1
204,Niven,20420,20425,PERSON,1
205,Tom?”he,20619,20626,ORG,1
206,Appleby,20634,20641,PERSON,1
207,"bed,”he",20681,20688,ORG,1
208,Pearson,20769,20776,WORK_OF_ART,1
209,another two minutes,20800,20819,TIME,1
210,Niven,20828,20833,PERSON,1
211,"We did,”said Niven",20889,20907,PERSON,1
212,Appleby,21153,21160,PERSON,1
213,Ten minutes,21227,21238,TIME,1
214,Niven,21251,21256,PERSON,1
215,Appleby,21471,21478,PERSON,1
216,the morning,21628,21639,TIME,1
217,Niven,21754,21759,PERSON,1
218,Appleby,21764,21771,PERSON,1
219,Niven,21788,21793,PERSON,1
220,"nonsense,”he",22064,22076,DATE,1
221,Sandycombe School,22302,22319,ORG,1
222,"boys,”he",22400,22408,PERSON,1
223,another minute,22424,22438,TIME,1
224,several seconds,22544,22559,TIME,1
225,Niven,22732,22737,PERSON,1
226,one,22784,22787,CARDINAL,1
227,Appleby,22833,22840,PERSON,1
228,Appleby,22997,23004,PERSON,1
229,Niven,23066,23071,PERSON,1
230,Appleby,23254,23261,ORG,1
231,second,23301,23307,ORDINAL,1
232,two,23311,23314,CARDINAL,1
233,Niven,23471,23476,PERSON,1
234,morrow,23510,23516,DATE,1
235,the next ten minutes,23574,23594,TIME,1
236,the last night,23659,23673,TIME,1
237,second,23834,23840,ORDINAL,1
238,Appleby,24071,24078,PERSON,1
239,first,24145,24150,ORDINAL,1
240,One,24157,24160,CARDINAL,1
241,Appleby,24458,24465,PERSON,1
242,another few minutes,24769,24788,TIME,1
243,Tom?”said Niven,24839,24854,PERSON,1
244,Appleby,24987,24994,PERSON,1
245,"bed,”he",25165,25172,ORG,1
246,CHAPTER II,25182,25192,LAW,1
247,Appleby,25213,25220,ORG,1
248,Niven,25236,25241,PERSON,1
249,next morning,25242,25254,TIME,1
250,Niven,25382,25387,PERSON,1
251,Liverpool,25405,25414,GPE,1
252,Chriss Niven,25542,25554,PERSON,1
253,Appleby,25604,25611,PERSON,1
254,more than one,25645,25658,CARDINAL,1
255,a week later,25719,25731,DATE,1
256,Appleby,25737,25744,PERSON,1
257,Niven,26011,26016,PERSON,1
258,Appleby,26115,26122,PERSON,1
259,Niven,26568,26573,PERSON,1
260,Appleby,26608,26615,PERSON,1
261,Chriss,26691,26697,PERSON,1
262,Appleby,26790,26797,PERSON,1
263,Niven,27088,27093,PERSON,1
264,Tom,27157,27160,PERSON,1
265,you?”he,27188,27195,ORG,1
266,Lester,27304,27310,PERSON,1
267,Niven,27488,27493,PERSON,1
268,Chriss,27718,27724,PERSON,1
269,"Yes,”said Appleby",27761,27778,PERSON,1
270,Niven,28139,28144,PERSON,1
271,"sir,”said Appleby",28229,28246,PERSON,1
272,too?”he,28344,28351,ORG,1
273,Appleby,28375,28382,PERSON,1
274,Singapore,28395,28404,GPE,1
275,England,28456,28463,GPE,1
276,Niven,28530,28535,PERSON,1
277,"life,”he",28899,28907,PERSON,1
278,Appleby,28915,28922,ORG,1
279,Niven,29022,29027,PERSON,1
280,Appleby,29143,29150,ORG,1
281,Appleby,29498,29505,ORG,1
282,Niven,29547,29552,PERSON,1
283,Chriss,29766,29772,PERSON,1
284,"him,”she",29823,29831,ORG,1
285,Chriss,29912,29918,PERSON,1
286,Niven,30005,30010,PERSON,1
287,Niven,30154,30159,PERSON,1
288,third,30421,30426,ORDINAL,1
289,Appleby,30438,30445,ORG,1
290,Niven,30590,30595,PERSON,1
291,Chriss,30710,30716,PERSON,1
292,Sandycombe,30728,30738,PERSON,1
293,Chriss,30916,30922,PERSON,1
294,Millicent,30928,30937,PERSON,1
295,Niven,30998,31003,PERSON,1
296,Jimmy 's,31093,31101,ORG,1
297,Chriss 's,31139,31148,ORG,1
298,Appleby,31179,31186,PERSON,1
299,one,31425,31428,CARDINAL,1
300,Niven,31507,31512,PERSON,1
301,"No,”said the lady",31522,31539,WORK_OF_ART,1
302,a night or two ago,31645,31663,TIME,1
303,Niven,32100,32105,PERSON,1
304,Chriss,32163,32169,PERSON,1
305,Appleby,32208,32215,PERSON,1
306,Niven,32285,32290,PERSON,1
307,one,32307,32310,CARDINAL,1
308,Niven,32623,32628,PERSON,1
309,"Yes,”said",32652,32661,PERSON,1
310,Chriss,32688,32694,PERSON,1
311,Chriss,32853,32859,PERSON,1
312,Niven,33013,33018,PERSON,1
313,Appleby,33051,33058,PERSON,1
314,next afternoon,33215,33229,TIME,1
315,Aldebaran,33472,33481,ORG,1
316,Niven,33499,33504,PERSON,1
317,Niven,34043,34048,PERSON,1
318,two,34370,34373,CARDINAL,1
319,Niven,34550,34555,PERSON,1
320,Christmas morning,34610,34627,TIME,1
321,Appleby,34628,34635,PERSON,1
322,"it,”said",34715,34723,PERSON,1
323,Niven,34729,34734,PERSON,1
324,Appleby,34737,34744,ORG,1
325,"appearance,”he",34771,34785,PERSON,1
326,it?”said,34872,34880,ORG,1
327,Niven,34886,34891,PERSON,1
328,Appleby,34950,34957,PERSON,1
329,Aldebaran,35191,35200,ORG,1
330,Chriss,35237,35243,PERSON,1
331,Appleby,35293,35300,PERSON,1
332,Aldebaran,35473,35482,ORG,1
333,Niven,35526,35531,PERSON,1
334,"lad,”he",35548,35555,PERSON,1
335,Appleby,35648,35655,ORG,1
336,"much,”he",35720,35728,CARDINAL,1
337,Niven,35816,35821,PERSON,1
338,Chriss,35914,35920,PERSON,1
339,Chriss,35973,35979,PERSON,1
340,Sandycombe,36038,36048,PERSON,1
341,Tom,36108,36111,PERSON,1
342,jim-bang,36131,36139,PERSON,1
343,Christmas Appleby,36184,36201,PERSON,1
344,that day,36565,36573,DATE,1
345,English,36678,36685,LANGUAGE,1
346,three,37059,37064,CARDINAL,1
347,English,37402,37409,NORP,1
348,Appleby,37467,37474,ORG,1
349,Aldebaran,37567,37576,ORG,1
350,one bleak morning,37592,37609,TIME,1
351,February,37613,37621,DATE,1
352,Indian,37829,37835,NORP,1
353,Niven,37869,37874,PERSON,1
354,one,38146,38149,CARDINAL,1
355,two,38153,38156,CARDINAL,1
356,Appleby,38387,38394,PERSON,1
357,Appleby,38702,38709,PERSON,1
358,Niven,38774,38779,PERSON,1
359,Niven,38886,38891,PERSON,1
360,Niven,39281,39286,PERSON,1
361,Tom,39312,39315,PERSON,1
362,Appleby,39348,39355,PERSON,1
363,first,39412,39417,ORDINAL,1
364,another minute,39506,39520,TIME,1
365,"hand,”he",39662,39670,PERSON,1
366,Niven,39788,39793,PERSON,1
367,one,39878,39881,CARDINAL,1
368,"Dot vas goot,”he",40088,40104,PERSON,1
369,tink der,40113,40121,PERSON,1
370,half,40207,40211,CARDINAL,1
371,Finnish,40324,40331,NORP,1
372,Appleby,40340,40347,PERSON,1
373,Niven,40352,40357,PERSON,1
374,English,40512,40519,LANGUAGE,1
375,Englishmen,40543,40553,NORP,1
376,the previous night,40789,40807,TIME,1
377,Appleby,40853,40860,PERSON,1
378,Aldebaran,41134,41143,ORG,1
379,only a foot,41248,41259,QUANTITY,1
380,two,41263,41266,CARDINAL,1
381,Half,41568,41572,CARDINAL,1
382,three,41653,41658,CARDINAL,1
383,Niven,42168,42173,PERSON,1
384,Appleby,42183,42190,PERSON,1
385,Niven,42266,42271,PERSON,1
386,Niven,42320,42325,PERSON,1
387,Appleby,42429,42436,ORG,1
388,Chriss,42503,42509,PERSON,1
389,two,42858,42861,CARDINAL,1
390,the red ensign,42949,42963,ORG,1
391,Aldebaran,43011,43020,ORG,1
392,Mersey,43039,43045,ORG,1
393,Niven,43223,43228,PERSON,1
394,Appleby,43318,43325,PERSON,1
395,them!”he,43368,43376,PERSON,1
396,Appleby,43578,43585,PERSON,1
397,Niven,43746,43751,PERSON,1
398,Aldebaran,43850,43859,ORG,1
399,CHAPTER III,43872,43883,LAW,1
400,The first day,43905,43918,DATE,1
401,an hour,44085,44092,TIME,1
402,two,44096,44099,CARDINAL,1
403,Lancashire,44218,44228,GPE,1
404,Wales,44607,44612,GPE,1
405,One,45064,45067,CARDINAL,1
406,two,45071,45074,CARDINAL,1
407,Chriss Niven,45147,45159,PERSON,1
408,first,45168,45173,ORDINAL,1
409,Appleby,45562,45569,PERSON,1
410,two,45836,45839,CARDINAL,1
411,One,46129,46132,CARDINAL,1
412,Niven,46175,46180,PERSON,1
413,"long,”he",46264,46272,PERSON,1
414,Aldebaran,46484,46493,ORG,1
415,Appleby,46569,46576,PERSON,1
416,"No,”said one",46604,46616,WORK_OF_ART,1
417,Aldebarans,46630,46640,NORP,1
418,a week,46726,46732,DATE,1
419,two,46736,46739,CARDINAL,1
420,Niven,46970,46975,PERSON,1
421,one,46990,46993,CARDINAL,1
422,Geordie,47202,47209,NORP,1
423,two hours,47313,47322,TIME,1
424,one,47339,47342,CARDINAL,1
425,eight,47505,47510,CARDINAL,1
426,first,47552,47557,ORDINAL,1
427,two,47644,47647,CARDINAL,1
428,Vancouver,47685,47694,GPE,1
