,name,start_pos,end_pos,tag,score
0,JOHN,14,18,PERSON,1
1,DIAN,23,27,PERSON,1
2,WALTER,44,50,PERSON,1
3,THREE,56,61,CARDINAL,1
4,JOHN STEVENS,85,97,PERSON,1
5,the Echo Canyon War,296,315,PRODUCT,1
6,Tullidge,465,473,PERSON,1
7,Whitney,475,482,GPE,1
8,Bancroft,487,495,PERSON,1
9,Utah,538,542,GPE,1
10,the “War,564,572,EVENT,1
11,Vol,620,623,DATE,1
12,the days,737,745,DATE,1
13,Johnston 's Army,750,766,ORG,1
14,the Move,773,781,WORK_OF_ART,1
15,John Stevens,900,912,PERSON,1
16,Aunt Clara,1051,1061,PERSON,1
17,Diantha,1063,1070,PERSON,1
18,daily,1243,1248,DATE,1
19,every-day,1431,1440,DATE,1
20,John Stevens,1498,1510,PERSON,1
21,one,1564,1567,CARDINAL,1
22,pioneer Western,1655,1670,NORP,1
23,Diantha,1680,1687,PERSON,1
24,Ellen,1711,1716,PERSON,1
25,one,1740,1743,CARDINAL,1
26,two,1901,1904,CARDINAL,1
27,Diantha,1950,1957,PERSON,1
28,John Stevens,2285,2297,PERSON,1
29,The pioneer days,2367,2383,DATE,1
30,days,2389,2393,DATE,1
31,Salt Lake City,2549,2563,GPE,1
32,"July 24, 1909",2565,2578,DATE,1
33,John Stevens,2581,2593,PERSON,1
34,Dianthy,2609,2616,PERSON,1
35,Rachel,2711,2717,PERSON,1
36,John Stevens,2741,2753,PERSON,1
37,Henry Boyle,2777,2788,PERSON,1
38,Henry,2866,2871,PERSON,1
39,Rachel,3095,3101,PERSON,1
40,Henry Boyle,3157,3168,PERSON,1
41,Henry,3237,3242,PERSON,1
42,Utah,3417,3421,GPE,1
43,England,3561,3568,GPE,1
44,two years ago,3569,3582,DATE,1
45,less than a year,3628,3644,DATE,1
46,Livingston,3692,3702,GPE,1
47,Kincaid,3707,3714,PERSON,1
48,every day,3804,3813,DATE,1
49,the week,3817,3825,DATE,1
50,Sunday,3877,3883,DATE,1
51,Rachel,3943,3949,PERSON,1
52,one,3975,3978,CARDINAL,1
53,Appleton,4016,4024,GPE,1
54,Henry Boyle,4052,4063,PERSON,1
55,Mormon,4079,4085,NORP,1
56,Dian,4225,4229,PERSON,1
57,John Stevens,4482,4494,PERSON,1
58,John Stevens,4614,4626,PERSON,1
59,John,4655,4659,PERSON,1
60,half,4716,4720,CARDINAL,1
61,Rachel Winthrop,4997,5012,PERSON,1
62,early Utah days,5162,5177,DATE,1
63,"Dianthy,”she",5446,5458,PERSON,1
64,Rachel,5705,5711,PERSON,1
65,half,5823,5827,CARDINAL,1
66,Dianthy,5915,5922,PERSON,1
67,"the evening of the 21st of July, 1857",6098,6135,TIME,1
68,Salt Lake,6141,6150,LOC,1
69,Big Cottonwood Canyon,6204,6225,LOC,1
70,the Twenty-fourth —,6233,6252,EVENT,1
71,one,6618,6621,CARDINAL,1
72,Serviceberry,6646,6658,PERSON,1
73,dutch,6891,6896,NORP,1
74,the Great Salt Lake Valley,6991,7017,LOC,1
75,Rachel Winthrop,7023,7038,PERSON,1
76,July,7562,7566,DATE,1
77,evening,7567,7574,TIME,1
78,Shells of the Ocean,7688,7707,WORK_OF_ART,1
79,"“Rock Me to Sleep, Mother",7713,7738,WORK_OF_ART,1
80,tonight,8004,8011,TIME,1
81,Dian,8073,8077,PERSON,1
82,Young,8111,8116,PERSON,1
83,the Twenty-fourth,8126,8143,ORDINAL,1
84,Big Cottonwood Canyon,8147,8168,LOC,1
85,one,8223,8226,CARDINAL,1
86,Rachel,8254,8260,PERSON,1
87,evening,8270,8277,TIME,1
88,We All Wear Cloaks,8344,8362,WORK_OF_ART,1
89,Ye Saints,8410,8419,PERSON,1
90,first,8473,8478,ORDINAL,1
91,Bishop Winthrop,8512,8527,PERSON,1
92,the sixteen year old,8561,8581,DATE,1
93,Harvey,8582,8588,PERSON,1
94,Rachel,8664,8670,PERSON,1
95,"said,“Let",8735,8744,PERSON,1
96,the hours,8926,8935,TIME,1
97,Great Salt Lake City,8969,8989,GPE,1
98,three thousand,9034,9048,CARDINAL,1
99,the day,9076,9083,DATE,1
100,the morning,9251,9262,TIME,1
101,Winthrop,9268,9276,PERSON,1
102,appletree,9497,9506,ORG,1
103,Winthrop,9609,9617,PERSON,1
104,Diantha,9655,9662,PERSON,1
105,Rachel,9669,9675,PERSON,1
106,Rachel,9900,9906,PERSON,1
107,Appleton,10187,10195,GPE,1
108,Harvey,10486,10492,PERSON,1
109,Rachel,10757,10763,PERSON,1
110,Appleton,10765,10773,GPE,1
111,John Stevens ’,10797,10811,PERSON,1
112,Clara,10829,10834,PERSON,1
113,Ellie Tyler,10839,10850,PERSON,1
114,Dian,10867,10871,PERSON,1
115,Dian,11024,11028,PERSON,1
116,twenty pounds,11039,11052,QUANTITY,1
117,Rachel,11147,11153,PERSON,1
118,three thousand,11220,11234,CARDINAL,1
119,Appleton,11276,11284,GPE,1
120,Rachel,11344,11350,PERSON,1
121,"diversion,“are",11606,11620,ORG,1
122,Two,11664,11667,CARDINAL,1
123,Dian,11677,11681,PERSON,1
124,John Stevens,11782,11794,PERSON,1
125,John,11831,11835,PERSON,1
126,Diantha,12080,12087,PERSON,1
127,"Come, Rachel",12357,12369,WORK_OF_ART,1
128,"Dian,”she",12645,12654,ORG,1
129,the early afternoon,12748,12767,TIME,1
130,Four,12943,12947,CARDINAL,1
131,Bishop Winthrop,13088,13103,PERSON,1
132,Dian,13116,13120,PERSON,1
133,John,13148,13152,PERSON,1
134,Dianthy,13311,13318,PERSON,1
135,John,13394,13398,PERSON,1
136,Diantha,13483,13490,PERSON,1
137,two,13517,13520,QUANTITY,1
138,Ellen Tyler,13581,13592,PERSON,1
139,three,13698,13703,CARDINAL,1
140,Charlie Rose,13718,13730,PERSON,1
141,Ellen,13771,13776,PERSON,1
142,John,13780,13784,PERSON,1
143,Aunt Clara,14263,14273,PERSON,1
144,Tom Allen,14277,14286,PERSON,1
