,name,start_pos,end_pos,tag,score
0,Lady Anselman,0,13,PERSON,1
1,the Ritz Hotel,51,65,ORG,1
2,French,146,152,NORP,1
3,French,247,253,NORP,1
4,Cabinet,390,397,ORG,1
5,Lady Anselman,802,815,PERSON,1
6,for!”she,911,919,PERSON,1
7,one,1037,1040,CARDINAL,1
8,Daniell,1126,1133,PERSON,1
9,Lord Romsey,1180,1191,PERSON,1
10,"Madame Selarne,”he",1201,1219,PERSON,1
11,French,1309,1315,NORP,1
12,Anselman,1330,1338,PERSON,1
13,Thomson,1395,1402,PERSON,1
14,Geraldine Conyers,1518,1535,PERSON,1
15,Seymour Conyers,1561,1576,PERSON,1
16,Olive Moreton,1633,1646,GPE,1
17,last week,1679,1688,DATE,1
18,Lady Patrick,1690,1702,PERSON,1
19,Signor Scobel,1727,1740,PERSON,1
20,Adelaide Cunningham,1746,1765,PERSON,1
21,Daniell,1801,1808,PERSON,1
22,"Eleven including ourselves,”he",1905,1935,WORK_OF_ART,1
23,Anselman,1979,1987,PERSON,1
24,Ronnie,2075,2081,PERSON,1
25,Ronald Granet,2441,2454,PERSON,1
26,Lady Anselman,2500,2513,PERSON,1
27,last Tuesday,2542,2554,DATE,1
28,"front,”she",2580,2590,ORG,1
29,first,2609,2614,ORDINAL,1
30,perhaps?”Madame Selarne,2650,2673,PERSON,1
31,"leg,”Lady Anselman",2729,2747,PERSON,1
32,Romsey,2962,2968,PERSON,1
33,Lady Anselman,2980,2993,PERSON,1
34,august,3009,3015,DATE,1
35,one,3173,3176,CARDINAL,1
36,about three weeks,3275,3292,DATE,1
37,"last,”she",3399,3408,ORG,1
38,a few minutes,3532,3545,TIME,1
39,First,4171,4176,ORDINAL,1
40,French,4208,4214,NORP,1
41,Selarne,4302,4309,PERSON,1
42,Lady Patrick,4311,4323,PERSON,1
43,first,4409,4414,ORDINAL,1
44,Daniell,4443,4450,PERSON,1
45,Cabinet,4561,4568,ORG,1
46,Geraldine Conyers,4598,4615,PERSON,1
47,Lady Anselman,4658,4671,PERSON,1
48,Conyers,4733,4740,PERSON,1
49,Ronnie,4798,4804,PERSON,1
50,Geraldine,4806,4815,PERSON,1
51,"too,”he",5003,5010,ORG,1
52,"man,”Lady Anselman",5113,5131,PERSON,1
53,Olive Moreton,5165,5178,PERSON,1
54,Geraldine,5192,5201,PERSON,1
55,Lieutenant Conyers,5215,5233,PERSON,1
56,two,5241,5244,CARDINAL,1
57,Lady Anselman,5273,5286,PERSON,1
58,Selarne,5487,5494,PERSON,1
59,one,5521,5524,CARDINAL,1
60,"Ronnie,”she said,“I",5655,5674,WORK_OF_ART,1
61,Thomson,5722,5729,PERSON,1
62,France,5733,5739,GPE,1
63,Thomson,5747,5754,PERSON,1
64,Geraldine Conyers,5859,5876,PERSON,1
65,Surgeon,6220,6227,ORG,1
66,Thomson,6234,6241,PERSON,1
67,the Field Hospitals,6284,6303,FAC,1
68,Thomson,6485,6492,PERSON,1
69,Lady Anselman,6693,6706,PERSON,1
70,Cabinet,6855,6862,ORG,1
71,two,6891,6894,CARDINAL,1
72,one,6918,6921,CARDINAL,1
73,Conyers,6958,6965,PERSON,1
74,"Ronnie,”she",6967,6978,GPE,1
75,Olive,7095,7100,ORG,1
76,Ralph,7102,7107,PERSON,1
77,Romsey,7374,7380,PERSON,1
78,Ronnie,7586,7592,PERSON,1
79,Madame,7818,7824,PERSON,1
80,French,7887,7893,NORP,1
81,French,7946,7952,NORP,1
82,Romsey,7990,7996,PERSON,1
83,middle-age,8076,8086,DATE,1
84,"hostess,”he",8196,8207,PERSON,1
85,Selarne,8312,8319,PERSON,1
86,"position,”he",8436,8448,PERSON,1
87,Anselman,8628,8636,PERSON,1
88,Selarne,8673,8680,PERSON,1
89,Manchester,8758,8768,GPE,1
90,Selarne,8812,8819,ORG,1
91,Cunningham,9154,9164,PERSON,1
92,Thomson,9331,9338,PERSON,1
93,more than half,9370,9384,CARDINAL,1
94,one,9419,9422,CARDINAL,1
95,first,9836,9841,ORDINAL,1
96,Ronnie Granet,10667,10680,GPE,1
97,first,10736,10741,ORDINAL,1
98,"me,”he",10968,10974,DATE,1
99,thousands,11056,11065,CARDINAL,1
100,"him,”she",11071,11079,ORG,1
101,British,11111,11118,NORP,1
102,Thomson,11269,11276,PERSON,1
103,Cunningham,11448,11458,PERSON,1
104,Alfred Anselman,11480,11495,PERSON,1
105,Warwickshire,11604,11616,GPE,1
106,Germans,11676,11683,NORP,1
107,Lady Granet,11731,11742,PERSON,1
108,Alsatian,11750,11758,NORP,1
109,America,11817,11824,GPE,1
110,Middlesex,11904,11913,GPE,1
111,Oxford,11955,11961,ORG,1
112,the year,11962,11970,DATE,1
113,"An Admirable Crichton,”Major",11997,12025,WORK_OF_ART,1
114,"fancy,”he",12214,12223,ORG,1
115,Cunningham,12318,12328,PERSON,1
116,Daniell,12468,12475,PERSON,1
117,a few minutes,12480,12493,TIME,1
118,Thomson,12600,12607,PERSON,1
119,Geraldine Conyers,12769,12786,PERSON,1
120,Granet,12934,12940,PERSON,1
121,Tommies,12996,13003,PERSON,1
122,one,13179,13182,CARDINAL,1
123,One,13274,13277,CARDINAL,1
124,"any,”he",13511,13518,PERSON,1
125,months,13563,13569,DATE,1
126,you?”he,13710,13717,ORG,1
127,a few days,13869,13879,DATE,1
128,"back,”he",14089,14097,PERSON,1
129,"impossibility,”he",14644,14661,PERSON,1
130,dodge,14716,14721,ORG,1
131,two,14817,14820,CARDINAL,1
132,Thomson,14952,14959,PERSON,1
133,Geraldine Conyers,15385,15402,PERSON,1
134,Captain Granet,15407,15421,PERSON,1
135,Lady Anselman,15477,15490,PERSON,1
136,Thomson,15519,15526,PERSON,1
137,a few more minutes,15553,15571,TIME,1
138,French,15601,15607,NORP,1
139,Selarne,15779,15786,PERSON,1
140,French,15929,15935,NORP,1
141,"that,”he",16038,16046,ORG,1
142,German,16143,16149,NORP,1
143,Lady Anselman 's,16249,16265,PERSON,1
144,Madame Selarne,16395,16409,PERSON,1
145,Thomson,16417,16424,PERSON,1
146,Geraldine Conyers,16515,16532,PERSON,1
147,"may,”he",16636,16643,ORG,1
148,a few minutes,16680,16693,TIME,1
149,Granet,16819,16825,PERSON,1
150,one,17209,17212,CARDINAL,1
151,half,17354,17358,CARDINAL,1
152,Granet,17415,17421,PERSON,1
153,Thomson,17610,17617,PERSON,1
154,Thomson,17868,17875,PERSON,1
155,Two or three,17893,17905,CARDINAL,1
156,a few seconds,17917,17930,TIME,1
157,d'hotel,18035,18042,PERSON,1
158,Anselman,18247,18255,PERSON,1
159,Belgian,18323,18330,NORP,1
160,Anselman,18484,18492,PERSON,1
161,Geraldine,18670,18679,PERSON,1
162,Captain Granet,18690,18704,PERSON,1
163,"battlefield,”he",19094,19109,LAW,1
164,Thomson,19312,19319,PERSON,1
165,Queer,19496,19501,NORP,1
166,"Thomson,”he",19517,19528,ORG,1
167,Conyers,19585,19592,PERSON,1
168,Thomson,19983,19990,PERSON,1
169,"state,”he",20093,20102,PERSON,1
170,Belgian,20122,20129,NORP,1
171,Thomson,20443,20450,ORG,1
172,yet?”he,20485,20492,ORG,1
173,Thomson,20616,20623,PERSON,1
174,"present,”he",20739,20750,PERSON,1
175,Geraldine,20808,20817,PERSON,1
176,Lady Anselman,20865,20878,PERSON,1
177,Granet,20880,20886,PERSON,1
178,Conyers,20983,20990,PERSON,1
179,Thomson,21055,21062,PERSON,1
180,Lady Anselman,21066,21079,PERSON,1
181,what?”he,21124,21132,PERSON,1
182,Lady Anselman,21152,21165,PERSON,1
183,"Evidently,”she remarked,“your",21200,21229,PERSON,1
184,Thomson,21387,21394,PERSON,1
185,Piccadilly,21473,21483,GPE,1
186,Geraldine,21489,21498,PERSON,1
187,Ritz,21523,21527,ORG,1
188,a few minutes ago,21599,21616,TIME,1
189,morning,21805,21812,TIME,1
190,Hugh,21932,21936,PERSON,1
191,"man,”Thomson",22400,22412,PERSON,1
192,the last few months,22530,22549,DATE,1
193,one,22779,22782,CARDINAL,1
194,Hugh,22865,22869,PERSON,1
195,a hundred and thirty-two,22879,22903,CARDINAL,1
196,Middlesex,22908,22917,GPE,1
197,the day,22918,22925,DATE,1
198,"can,”Major Thomson",23037,23055,PERSON,1
199,one,23226,23229,CARDINAL,1
200,THE IRISH SEA,23387,23400,LOC,1
201,TWENTY-TWO,23402,23412,CARDINAL,1
202,"thing,”she groaned,“which",23447,23472,PERSON,1
203,one,23479,23482,CARDINAL,1
204,one,23883,23886,CARDINAL,1
205,forty knots an hour,23905,23924,QUANTITY,1
206,four-inch,23947,23956,QUANTITY,1
