,name,start_pos,end_pos,tag,score
0,Louis Capet,182,193,PERSON,1
1,today,452,457,DATE,1
2,tomorrow,462,470,DATE,1
3,Louis Capet,498,509,PERSON,1
4,French,660,666,NORP,1
5,the United States,756,773,GPE,1
6,Louis Capet,791,802,PERSON,1
7,France,1196,1202,GPE,1
8,first,1216,1221,ORDINAL,1
9,Europe,1244,1250,LOC,1
10,first,1285,1290,ORDINAL,1
11,republican,1335,1345,NORP,1
12,sublimer,1475,1483,ORG,1
13,Thomas Paine,1502,1514,PERSON,1
14,republican,1641,1651,NORP,1
15,the last grand act,1739,1757,DATE,1
16,Christian,2419,2428,NORP,1
17,two,2557,2560,CARDINAL,1
18,the next day,2700,2712,DATE,1
19,Barlow,2809,2815,PERSON,1
20,American,2821,2829,NORP,1
21,Thomas Paine,3058,3070,PERSON,1
22,the next day,3207,3219,DATE,1
23,Methodist,3259,3268,ORG,1
24,Declaration,3452,3463,WORK_OF_ART,1
25,Thomas Paine,3569,3581,PERSON,1
26,America,6012,6019,GPE,1
27,French,6028,6034,NORP,1
28,arraigns,6482,6490,PERSON,1
29,God,6656,6659,PERSON,1
30,three,7399,7404,CARDINAL,1
31,three,7410,7415,CARDINAL,1
32,one,7422,7425,CARDINAL,1
33,one,7429,7432,CARDINAL,1
34,Paine,7629,7634,PERSON,1
35,one,8100,8103,CARDINAL,1
36,first,8598,8603,ORDINAL,1
37,Unitarians,9264,9274,NORP,1
38,Christians,9316,9326,NORP,1
39,Bible,9395,9400,WORK_OF_ART,1
40,Bible,9698,9703,WORK_OF_ART,1
41,Bible,9815,9820,WORK_OF_ART,1
42,Thomas Paine,9949,9961,PERSON,1
43,today,10001,10006,DATE,1
44,Bible,10149,10154,WORK_OF_ART,1
45,Jonah,10169,10174,PERSON,1
46,Sampson,10336,10343,PERSON,1
47,Egypt,10401,10406,GPE,1
48,Paine,10574,10579,PERSON,1
49,Paine,10646,10651,ORG,1
50,Bible,10883,10888,WORK_OF_ART,1
51,Paine,10977,10982,PERSON,1
52,Bible,10996,11001,WORK_OF_ART,1
53,Holy of Holies,11184,11198,WORK_OF_ART,1
54,Christianity,11601,11613,ORG,1
55,Thomas Paine,11855,11867,PERSON,1
56,Paine,12082,12087,PERSON,1
57,Moses,13300,13305,PERSON,1
58,Sinai,13403,13408,GPE,1
59,first,14559,14564,ORDINAL,1
60,Christians,14868,14878,NORP,1
61,hundreds of thousands,15432,15453,CARDINAL,1
62,midnight,16030,16038,TIME,1
63,Paine,16108,16113,ORG,1
64,Hebrew,16334,16340,LANGUAGE,1
65,Greek,16560,16565,NORP,1
66,Latin,16693,16698,LANGUAGE,1
67,Paine,16923,16928,PERSON,1
68,Bible,16942,16947,WORK_OF_ART,1
69,Paine,17049,17054,ORG,1
70,Christianity,17073,17085,NORP,1
71,One hundred and fifty years ago,17192,17223,CARDINAL,1
72,John Calvin,17366,17377,PERSON,1
73,Universalist,17495,17507,NORP,1
74,England,17542,17549,GPE,1
75,Scotland,17551,17559,GPE,1
76,America,17565,17572,GPE,1
77,Unitarians,17574,17584,NORP,1
78,Less than one hundred,17763,17784,CARDINAL,1
79,Maryland,17839,17847,GPE,1
80,Savior,18210,18216,PERSON,1
81,Jesus Christ,18218,18230,PERSON,1
82,the Holy Trinity,18268,18284,ORG,1
83,Son,18298,18301,PERSON,1
84,the Holy Ghost,18307,18321,FAC,1
85,three,18353,18358,CARDINAL,1
86,the Holy Trinity,18442,18458,WORK_OF_ART,1
87,L20,18597,18600,ORG,1
88,second,18639,18645,ORDINAL,1
89,third,18762,18767,ORDINAL,1
90,the District of Columbia,18932,18956,GPE,1
91,1875,18963,18967,DATE,1
92,the Old Testament,19075,19092,WORK_OF_ART,1
93,hundreds,19124,19132,CARDINAL,1
94,Christian,19174,19183,NORP,1
95,Today,19195,19200,DATE,1
96,the days,19390,19398,DATE,1
97,Thomas Paine,19402,19414,PERSON,1
98,Scotland,19467,19475,GPE,1
99,kirk,19481,19485,PERSON,1
100,the Spanish Inquisition,19543,19566,EVENT,1
101,kirk,19818,19822,PERSON,1
102,Sunday,20036,20042,DATE,1
103,Sunday,20124,20130,DATE,1
104,One,20478,20481,CARDINAL,1
105,Scotch,20501,20507,ORG,1
106,said:“The kirk,20516,20530,PERSON,1
107,Scotch kirk,20604,20615,PERSON,1
108,"say,“The world",20681,20695,ORG,1
109,kirk,20753,20757,PERSON,1
110,About the beginning of the nineteenth century,21078,21123,DATE,1
111,Thomas Aikenhead,21145,21161,PERSON,1
112,Edinburgh,21188,21197,GPE,1
113,Christian,22047,22056,NORP,1
114,England,22223,22230,GPE,1
115,Puritan,22247,22254,ORG,1
116,Episcopal,22265,22274,ORG,1
117,Milton,22362,22368,PERSON,1
118,Christianity,22381,22393,ORG,1
119,Protestant,22512,22522,NORP,1
120,Protestants,22746,22757,NORP,1
121,Bible,22782,22787,WORK_OF_ART,1
