,name,start_pos,end_pos,tag,score
0,I 'VE SPILT THE SOUP,1,21,WORK_OF_ART,1
1,Brothers in Arms,59,75,WORK_OF_ART,1
2,Battlefield Treasure,79,99,WORK_OF_ART,1
3,Missy,103,108,PERSON,1
4,July,144,148,DATE,1
5,winter,234,240,DATE,1
6,Edward Rowles,329,342,PERSON,1
7,an hour,383,390,TIME,1
8,two,394,397,CARDINAL,1
9,England,435,442,GPE,1
10,Thames,452,458,GPE,1
11,night,698,703,TIME,1
12,Edward Rowles,1066,1079,PERSON,1
13,Philip,1122,1128,PERSON,1
14,Philip,1271,1277,ORG,1
15,a few minutes,1322,1335,TIME,1
16,Rowles,1384,1390,PERSON,1
17,the morning,1547,1558,TIME,1
18,Emily,1606,1611,PERSON,1
19,Emily,1865,1870,PERSON,1
20,Philip,1879,1885,ORG,1
21,Rowles,1929,1935,PERSON,1
22,Rowles;“nor,2088,2099,PERSON,1
23,London,2182,2188,GPE,1
24,London,2304,2310,GPE,1
25,this hot day,2311,2323,DATE,1
26,Philip,2365,2371,PERSON,1
27,London,2383,2389,GPE,1
28,Millions,2506,2514,CARDINAL,1
29,Philip,2526,2532,PERSON,1
30,million,2547,2554,CARDINAL,1
31,Philip,2577,2583,ORG,1
32,1,2623,2624,CARDINAL,1
33,000,2626,2629,CARDINAL,1
34,000,2631,2634,CARDINAL,1
35,London,2738,2744,GPE,1
36,millions,2760,2768,CARDINAL,1
37,a million,2848,2857,CARDINAL,1
38,a million,2889,2898,CARDINAL,1
39,a million,2919,2928,CARDINAL,1
40,"Mother,”said Emily,“does",2996,3020,PERSON,1
41,London,3039,3045,GPE,1
42,Albert,3051,3057,PERSON,1
43,Juliet,3062,3068,PERSON,1
44,Florry,3073,3079,PERSON,1
45,Neddy,3084,3089,PERSON,1
46,London,3152,3158,GPE,1
47,hot days,3184,3192,DATE,1
48,London,3196,3202,GPE,1
49,Hot days,3207,3215,DATE,1
50,"Rowles,”and",3254,3265,PERSON,1
51,Mary,3372,3376,PERSON,1
52,"me,”Mrs",3562,3569,CARDINAL,1
53,Mary,3705,3709,PERSON,1
54,London,3849,3855,GPE,1
55,all night,3875,3884,TIME,1
56,morning,3890,3897,TIME,1
57,Thomas Mitchell,4213,4228,PERSON,1
58,morning,4272,4279,TIME,1
59,day,4334,4337,DATE,1
60,night,4351,4356,TIME,1
61,Mary,4390,4394,PERSON,1
62,Londoner,4429,4437,NORP,1
63,Tom,4534,4537,PERSON,1
64,eight,4575,4580,CARDINAL,1
65,two,4602,4605,CARDINAL,1
66,London,4739,4745,GPE,1
67,Rowles,5040,5046,PERSON,1
68,10,5089,5091,CARDINAL,1
69,two,5324,5327,CARDINAL,1
70,two,5352,5355,CARDINAL,1
71,Philip,5476,5482,PERSON,1
72,Emily,5487,5492,PERSON,1
73,Philip,5750,5756,ORG,1
74,one,5968,5971,CARDINAL,1
75,Philip,6183,6189,PERSON,1
76,Emily,6194,6199,PERSON,1
77,Littlebourne,6236,6248,GPE,1
78,London,6362,6368,GPE,1
79,two,6375,6378,CARDINAL,1
80,Rowles,6425,6431,NORP,1
81,the upper gate,6595,6609,FAC,1
82,Philip,6612,6618,ORG,1
83,Emily,6646,6651,PERSON,1
84,Emily,6891,6896,PERSON,1
85,the bank of the island,7007,7029,ORG,1
86,first,7104,7109,ORDINAL,1
87,two,7607,7610,CARDINAL,1
88,a couple of minutes,8409,8428,TIME,1
89,Philip,8480,8486,ORG,1
90,Emily,8525,8530,PERSON,1
91,Philip,8561,8567,ORG,1
92,Emily,8607,8612,PERSON,1
93,Rowles,9106,9112,GPE,1
94,Philip,9117,9123,ORG,1
95,Rowles,9387,9393,PERSON,1
96,Rowles,10251,10257,PERSON,1
97,Phil,10361,10365,PERSON,1
98,Philip,10465,10471,PERSON,1
99,Rowles,10572,10578,PERSON,1
100,Phil,10695,10699,PERSON,1
101,Philip,10755,10761,ORG,1
102,Emily,10812,10817,PERSON,1
103,four o'clock,11004,11016,TIME,1
104,Rowles;“but,11136,11147,PERSON,1
105,Edward Rowles,11769,11782,PERSON,1
106,Channel,11953,11960,ORG,1
107,Burnet,11970,11976,PERSON,1
108,ten,12188,12191,CARDINAL,1
109,"No,”said Rowles,“you can n't go up the weir-stream",12320,12370,WORK_OF_ART,1
110,"by,”said",12536,12544,PERSON,1
111,Roberts,13082,13089,PERSON,1
112,Burnet,13100,13106,PERSON,1
113,Roberts,13232,13239,PERSON,1
114,half,13340,13344,CARDINAL,1
115,Roberts,13401,13408,PERSON,1
116,rapids,13503,13509,GPE,1
117,Rowles,13568,13574,GPE,1
118,this summer,13653,13664,DATE,1
119,Rowles,13708,13714,PERSON,1
120,Sunday,13748,13754,DATE,1
121,Littlebourne,13832,13844,GPE,1
122,London,13849,13855,GPE,1
123,three,13970,13975,CARDINAL,1
124,Ned,14009,14012,PERSON,1
125,Rowles,14056,14062,PERSON,1
126,Ned,14208,14211,PERSON,1
127,Londoners,14224,14233,NORP,1
128,Mary,14304,14308,PERSON,1
129,six months,14483,14493,DATE,1
130,six months,14598,14608,DATE,1
131,Australia,14654,14663,GPE,1
132,London,14973,14979,GPE,1
133,Emma,15028,15032,PERSON,1
134,Thomas Mitchell,15097,15112,PERSON,1
135,night,15161,15166,TIME,1
136,day,15183,15186,DATE,1
137,ten o'clock P. M.,15244,15261,TIME,1
138,three minutes,15299,15312,TIME,1
139,five minutes,15400,15412,TIME,1
140,this evening,15597,15609,TIME,1
141,Thames,15894,15900,GPE,1
142,Rowles,15911,15917,PERSON,1
143,Littlebourne,15937,15949,GPE,1
144,Paddington,16011,16021,GPE,1
145,one,16080,16083,CARDINAL,1
146,London,16130,16136,GPE,1
147,second,16450,16456,ORDINAL,1
148,Mary Mitchell,16623,16636,PERSON,1
149,London,16649,16655,GPE,1
150,Rowles,16696,16702,PERSON,1
151,Rowles,16901,16907,PERSON,1
152,Mary,17063,17067,PERSON,1
153,Mary,17104,17108,PERSON,1
154,Mary Mitchell,17247,17260,PERSON,1
155,Mitchell,17324,17332,PERSON,1
156,Mitchell,17452,17460,PERSON,1
157,six months ago,17481,17495,DATE,1
158,Rowles,17514,17520,PERSON,1
159,Australia,17743,17752,GPE,1
160,Australia,17769,17778,GPE,1
161,103,17842,17845,CARDINAL,1
162,three weeks,17887,17898,DATE,1
163,four,17913,17917,CARDINAL,1
164,Rowles,17991,17997,PERSON,1
165,Mitchells,18063,18072,ORG,1
166,Mitchell,18164,18172,PERSON,1
167,103,18215,18218,CARDINAL,1
168,only 42,18232,18239,CARDINAL,1
169,Rowles,18474,18480,PERSON,1
170,half,18828,18832,CARDINAL,1
171,103,18993,18996,CARDINAL,1
172,99,19002,19004,CARDINAL,1
173,Edward Rowles 's,19142,19158,PERSON,1
174,Littlebourne,19222,19234,GPE,1
175,103,19264,19267,CARDINAL,1
176,Mary Mitchell,19483,19496,PERSON,1
177,Rowles,19512,19518,PERSON,1
178,Mitchell,19589,19597,PERSON,1
179,Rowles,19807,19813,PERSON,1
180,first,19826,19831,ORDINAL,1
181,the next half-open,20186,20204,DATE,1
182,five,20341,20345,CARDINAL,1
183,Rowles,20397,20403,PERSON,1
184,Emma Rowles,20802,20813,PERSON,1
185,103,20982,20985,CARDINAL,1
186,Mary Mitchell,21027,21040,PERSON,1
187,Mary,21095,21099,PERSON,1
188,Emma Rowles,21115,21126,PERSON,1
189,Rowles,21206,21212,PERSON,1
190,Rowles,21303,21309,PERSON,1
191,Emma Rowles 's,21545,21559,PERSON,1
192,haggard man,21991,22002,PERSON,1
193,Rowles,22014,22020,PERSON,1
194,Thomas Mitchell,22036,22051,PERSON,1
195,Rowles,22362,22368,PERSON,1
196,"Tom,”she began,“I 'm",22438,22458,ORG,1
197,two,22497,22500,CARDINAL,1
198,Mitchell,22559,22567,PERSON,1
199,Tom,22678,22681,PERSON,1
200,Rowles,22701,22707,PERSON,1
201,Mitchell,22740,22748,PERSON,1
202,one,22856,22859,CARDINAL,1
203,"Rowles,“though",22987,23001,PERSON,1
204,Mitchell,23068,23076,PERSON,1
205,Six months,23241,23251,DATE,1
206,First,23271,23276,ORDINAL,1
207,Rowles,23492,23498,PERSON,1
208,half,23642,23646,CARDINAL,1
209,Albert,23690,23696,PERSON,1
210,Tom,23764,23767,PERSON,1
211,Juliet,23802,23808,PERSON,1
212,Florry,23949,23955,PERSON,1
213,Tommy,23960,23965,PERSON,1
214,Willie,23970,23976,PERSON,1
215,Neddy,23981,23986,PERSON,1
216,the other day,24061,24074,DATE,1
217,Amy,24239,24242,PERSON,1
218,Thomas,24285,24291,PERSON,1
219,Rowles,24340,24346,PERSON,1
220,Edward,24517,24523,PERSON,1
221,Mitchell,24683,24691,PERSON,1
222,Rowles,24875,24881,PERSON,1
223,Rowles,25137,25143,PERSON,1
224,Mitchell,25161,25169,PERSON,1
225,Thomas,25181,25187,PERSON,1
226,Mitchell,25335,25343,PERSON,1
227,Juliet,25362,25368,PERSON,1
228,Rowles,25577,25583,PERSON,1
229,about thirteen,25652,25666,CARDINAL,1
230,half,25697,25701,CARDINAL,1
231,Juliet,25972,25978,LAW,1
232,Rowles,26502,26508,PERSON,1
233,Juliet,26654,26660,LAW,1
234,Mitchell,26916,26924,PERSON,1
235,me?”retorted Juliet,27060,27079,PERSON,1
236,Littlebourne,27220,27232,GPE,1
237,Juliet,27308,27314,LANGUAGE,1
238,Rowles,27332,27338,PERSON,1
239,Mitchell,27573,27581,PERSON,1
240,Rowles,27717,27723,PERSON,1
241,Juliet,27862,27868,LAW,1
242,Rowles,27998,28004,PERSON,1
243,Juliet,28242,28248,LAW,1
244,five,28377,28381,CARDINAL,1
245,Mitchells,28393,28402,ORG,1
246,Amy,28408,28411,PERSON,1
247,Albert,28468,28474,PERSON,1
248,Mitchell,28691,28699,PERSON,1
249,Rowles,28789,28795,PERSON,1
250,Mitchell,28891,28899,PERSON,1
251,Thomas,29080,29086,PERSON,1
252,one,29124,29127,CARDINAL,1
253,Sutton,29281,29287,PERSON,1
254,Mary Mitchell,29309,29322,PERSON,1
255,Rowles,29359,29365,PERSON,1
256,one,29523,29526,CARDINAL,1
257,Nearly two o'clock,29616,29634,TIME,1
258,Mitchell,29641,29649,PERSON,1
259,only ten minutes,29745,29761,TIME,1
260,Juliet,29877,29883,PERSON,1
261,Rowles;“I,29933,29942,PERSON,1
262,Sutton,30125,30131,PERSON,1
263,Juliet,30214,30220,PERSON,1
264,"so,”put",30266,30273,ORG,1
265,Sutton,30282,30288,PERSON,1
266,Rowles,30361,30367,PERSON,1
267,Juliet,30400,30406,WORK_OF_ART,1
268,Rowles,30523,30529,PERSON,1
269,Juliet,30547,30553,PERSON,1
270,three minutes,30630,30643,TIME,1
271,"Now,”said Miss",30647,30661,WORK_OF_ART,1
272,Littlebourne,30725,30737,GPE,1
273,"London,”said Miss",30851,30868,ORG,1
274,Thomas Mitchell,30974,30989,PERSON,1
275,twenty-three,30996,31008,DATE,1
276,Mary Rowles,31064,31075,PERSON,1
277,fifty pounds,31143,31155,QUANTITY,1
278,twenty-one,31169,31179,CARDINAL,1
279,ten,31257,31260,CARDINAL,1
280,Thomas,31273,31279,PERSON,1
281,ten,31361,31364,CARDINAL,1
282,eight,31380,31385,CARDINAL,1
283,a hundred and fifty pounds,31439,31465,QUANTITY,1
284,ten,31505,31508,CARDINAL,1
285,Rowles,31554,31560,PERSON,1
286,Mary Mitchell,31660,31673,PERSON,1
287,Sutton,31705,31711,PERSON,1
288,“He,31712,31715,PERSON,1
289,Mitchell,31858,31866,PERSON,1
290,ten,32197,32200,CARDINAL,1
291,gentlefolks,32263,32274,PERSON,1
292,Mitchell,32430,32438,PERSON,1
293,Sutton,32486,32492,PERSON,1
294,ten,32511,32514,CARDINAL,1
295,two,32533,32536,CARDINAL,1
296,half,32609,32613,CARDINAL,1
297,Mitchell,32690,32698,PERSON,1
298,West,32708,32712,LOC,1
299,two guineas and a half,32796,32818,QUANTITY,1
300,Mitchell,32940,32948,PERSON,1
301,ninepence,32992,33001,PERSON,1
302,Rowles,33059,33065,PERSON,1
303,ninepence,33106,33115,PERSON,1
304,Mitchell,33353,33361,PERSON,1
305,hundreds,33442,33450,CARDINAL,1
306,dozens,33525,33531,CARDINAL,1
307,about eight shillings,33710,33731,MONEY,1
308,three yards,33754,33765,QUANTITY,1
309,twenty-four shillings,33772,33793,MONEY,1
310,six yards,33841,33850,QUANTITY,1
311,two shillings,33854,33867,MONEY,1
312,twelve,33877,33883,CARDINAL,1
313,twenty-four and twelve,33885,33907,CARDINAL,1
314,thirty-six,33912,33922,DATE,1
315,five shillings,33956,33970,MONEY,1
316,thirty-six and five,33972,33991,DATE,1
317,forty-one,33996,34005,QUANTITY,1
318,seven shillings,34024,34039,MONEY,1
319,two pounds eight shillings,34093,34119,QUANTITY,1
320,ninepence,34133,34142,PERSON,1
321,Sutton,34206,34212,PERSON,1
322,us,34278,34280,GPE,1
323,Sutton,34355,34361,PERSON,1
324,Mitchell,34715,34723,PERSON,1
325,Juliet,34738,34744,PERSON,1
326,Mitchell;“but,34968,34981,PERSON,1
327,nine thousand,35038,35051,CARDINAL,1
328,Rowles,35185,35191,PERSON,1
329,laundresses,35247,35258,PERSON,1
330,Sutton;“I,35377,35386,PERSON,1
331,London,35424,35430,GPE,1
332,Rowles,35555,35561,PERSON,1
333,Hyde Park,35625,35634,LOC,1
334,Emma Rowles,35828,35839,PERSON,1
335,a few minutes,35859,35872,TIME,1
336,Mary Mitchell,35880,35893,PERSON,1
337,Thomas Mitchell,35910,35925,PERSON,1
338,Emma Rowles,36032,36043,PERSON,1
339,Tom,36091,36094,PERSON,1
340,Mitchell,36591,36599,PERSON,1
341,Juliet,36789,36795,LAW,1
342,Mitchell,36958,36966,PERSON,1
343,Rowles,37147,37153,PERSON,1
344,Juliet,37223,37229,LAW,1
345,Rowles,37339,37345,PERSON,1
346,"Nothing,”was Juliet 's",37371,37393,WORK_OF_ART,1
347,Sutton,37455,37461,PERSON,1
348,Rowles,37638,37644,PERSON,1
349,Juliet,37934,37940,LANGUAGE,1
350,Rowles,38151,38157,PERSON,1
351,the Crystal Palace,38530,38548,ORG,1
352,Emma Rowles,38689,38700,PERSON,1
353,Juliet,38820,38826,PERSON,1
354,Rowles,38864,38870,PERSON,1
355,Thomas,39068,39074,PERSON,1
356,Ned,39156,39159,PERSON,1
357,night,39202,39207,TIME,1
358,day,39229,39232,DATE,1
359,"Emma Rowles,”was Mitchell 's",39246,39274,PERSON,1
360,Ned,39302,39305,PERSON,1
361,every day,39342,39351,DATE,1
362,Telegraph,39414,39423,PRODUCT,1
363,evening,39516,39523,TIME,1
364,better hours,39555,39567,TIME,1
365,Rowles,39593,39599,PERSON,1
366,morning,39670,39677,TIME,1
367,Mitchell,39755,39763,PERSON,1
368,Juliet,39940,39946,LAW,1
369,Emma Rowles,39968,39979,PERSON,1
370,Thomas,40114,40120,PERSON,1
371,Mary,40123,40127,PERSON,1
372,Thomas,40212,40218,PERSON,1
373,one,40239,40242,CARDINAL,1
374,Mary,40310,40314,PERSON,1
375,“He,40342,40345,PERSON,1
376,one,40434,40437,CARDINAL,1
377,Mitchell,40472,40480,PERSON,1
378,"Take me,”said Juliet",40494,40514,WORK_OF_ART,1
379,Rowles,40941,40947,PERSON,1
380,Juliet,41006,41012,PERSON,1
381,Florry,41190,41196,PERSON,1
382,Amy,41227,41230,PERSON,1
383,Juliet,41236,41242,PERSON,1
384,Mitchell,41283,41291,PERSON,1
385,Juliet,41372,41378,WORK_OF_ART,1
386,Mitchell,41466,41474,PERSON,1
387,Emma,41556,41560,PERSON,1
388,Emma Rowles,41807,41818,PERSON,1
389,Monday night,41852,41864,TIME,1
390,Rowles,41914,41920,PERSON,1
391,some three hours,41997,42013,TIME,1
392,one,42083,42086,CARDINAL,1
393,Juliet,42324,42330,WORK_OF_ART,1
394,Rowles,42369,42375,PERSON,1
395,London,42393,42399,GPE,1
396,Londoner,42437,42445,NORP,1
397,the day,42490,42497,DATE,1
398,Littlebourne,42557,42569,GPE,1
399,Rowles,42576,42582,PERSON,1
400,eight o'clock,42648,42661,TIME,1
401,Juliet;“I,42767,42776,NORP,1
402,Juliet,42847,42853,LAW,1
403,the Crystal Palace,42923,42941,ORG,1
404,Juliet,42965,42971,PERSON,1
405,Juliet,43059,43065,LAW,1
406,the Crystal Palace,43143,43161,FAC,1
407,only three,43330,43340,CARDINAL,1
408,Rowles,43668,43674,PERSON,1
409,Juliet,43736,43742,WORK_OF_ART,1
410,London,43835,43841,GPE,1
411,Littlebourne,43871,43883,GPE,1
412,Rowles,44039,44045,PERSON,1
413,Mitchell,44224,44232,PERSON,1
414,Rowles,44266,44272,PERSON,1
415,Mitchell,44369,44377,PERSON,1
416,two,44447,44450,CARDINAL,1
417,Rowles,44466,44472,PERSON,1
418,this day,44565,44573,DATE,1
419,Juliet,44618,44624,WORK_OF_ART,1
420,Juliet,44682,44688,PERSON,1
421,first,44897,44902,ORDINAL,1
422,Juliet,44961,44967,PERSON,1
423,Rowles,45012,45018,PERSON,1
424,Pretty churchyard!”said Juliet,45120,45150,WORK_OF_ART,1
425,London,45322,45328,GPE,1
426,Rowles,45377,45383,PERSON,1
427,Juliet,45435,45441,PERSON,1
428,London,45512,45518,GPE,1
429,Juliet,45782,45788,LAW,1
430,Littlebourne,46425,46437,ORG,1
