,name,start_pos,end_pos,tag,score
0,Michelangelo,0,12,PERSON,1
1,Georgia,43,50,GPE,1
2,Don,52,55,PERSON,1
3,Renoir,296,302,WORK_OF_ART,1
4,Michelangelo,562,574,PERSON,1
5,every day,774,783,DATE,1
6,the next day,822,834,DATE,1
7,Don,862,865,PERSON,1
8,one,1029,1032,CARDINAL,1
9,A week later,1104,1116,DATE,1
10,Don,1133,1136,PERSON,1
11,Ruby,1338,1342,WORK_OF_ART,1
12,Ruby,1347,1351,PERSON,1
13,tomorrow,1402,1410,DATE,1
14,“O. K.,1423,1429,PERSON,1
15,Spanish,1576,1583,NORP,1
16,Ruby,1635,1639,ORG,1
17,Savannah,1912,1920,GPE,1
18,Portland,1942,1950,GPE,1
19,Lorna,1966,1971,PERSON,1
20,Lorna,1974,1979,PERSON,1
21,The Art Students League,1981,2004,ORG,1
22,last week,2021,2030,DATE,1
23,Painter,2174,2181,PERSON,1
24,one,2276,2279,CARDINAL,1
25,the Glasco Turnpike,2424,2443,FAC,1
26,Lad Charles,2457,2468,PERSON,1
27,Lorna,2546,2551,PERSON,1
28,Don Delahanty,2601,2614,PERSON,1
29,Lorna,2863,2868,PERSON,1
30,New York,3088,3096,GPE,1
31,Don,3303,3306,PERSON,1
32,Ruby,3359,3363,PERSON,1
33,Ruby,3482,3486,PERSON,1
34,Lorna,3537,3542,PERSON,1
35,Lorna,3544,3549,PERSON,1
36,Pike,3556,3560,FAC,1
37,Molly,3578,3583,PERSON,1
38,Molly,3601,3606,PERSON,1
39,Cleary,3874,3880,PERSON,1
40,s. Tide,3882,3889,WORK_OF_ART,1
41,Thursdays,3923,3932,DATE,1
42,Riles,3963,3968,PERSON,1
43,Kai,3973,3976,PERSON,1
44,Thursdays,3978,3987,DATE,1
45,weekends,3997,4005,DATE,1
46,six,4040,4043,CARDINAL,1
47,Cleary,4054,4060,PERSON,1
48,Riles,4105,4110,PERSON,1
49,Kai,4121,4124,PERSON,1
50,winters,4197,4204,DATE,1
51,Riles,4344,4349,PERSON,1
52,Cleary,4470,4476,PERSON,1
53,Midnight,4504,4512,TIME,1
54,the Garden of Good and Evil T,4516,4545,FAC,1
55,Pecan waffle,4670,4682,WORK_OF_ART,1
56,Don,4684,4687,PERSON,1
57,Jilly,4910,4915,PERSON,1
58,Yankees,4922,4929,ORG,1
59,hour,5134,5138,TIME,1
60,"Don,”Kai",5641,5649,PERSON,1
61,Riles,5714,5719,PERSON,1
62,Maine,5746,5751,GPE,1
63,tomorrow,5752,5760,DATE,1
64,Riles,5765,5770,PERSON,1
65,Riles,5943,5948,PERSON,1
66,Kai,5991,5994,PERSON,1
67,Don,6121,6124,PERSON,1
68,Don,6200,6203,PERSON,1
69,Don,6231,6234,PERSON,1
70,the seasons,6304,6315,DATE,1
71,Sherman 's Retreat,6368,6386,ORG,1
72,Don,6430,6433,PERSON,1
73,"Honk,”Don",6476,6485,ORG,1
74,Jesus,6528,6533,PERSON,1
75,a Riles Blaster,6561,6576,PRODUCT,1
76,Don,6578,6581,PERSON,1
77,Riles,6787,6792,PERSON,1
78,A Riles Blaster,6873,6888,PRODUCT,1
79,one,7100,7103,CARDINAL,1
80,two,7120,7123,CARDINAL,1
81,virtue:“A,7212,7221,ORG,1
82,Riles,7376,7381,PERSON,1
83,Don,7395,7398,PERSON,1
84,yours?”Kai,7476,7486,PERSON,1
85,Riles,7673,7678,PERSON,1
86,Don,7871,7874,PERSON,1
87,"long,”she",8046,8055,ORG,1
88,ten,8159,8162,CARDINAL,1
89,Riles,8293,8298,PERSON,1
90,Kai,8303,8306,PERSON,1
91,Don,8429,8432,PERSON,1
92,Redmond,8495,8502,PERSON,1
93,An hour later,8505,8518,TIME,1
94,Don,8519,8522,PERSON,1
95,The next day,8642,8654,DATE,1
96,Ruby,8694,8698,ORG,1
97,Morning,8703,8710,TIME,1
98,late today,8723,8733,TIME,1
99,Don,8804,8807,PERSON,1
100,Don Dela,9022,9030,PERSON,1
101,Delehanty,9064,9073,ORG,1
102,Ruby,9256,9260,ORG,1
103,"So,”Don",9330,9337,GPE,1
104,5,9565,9566,CARDINAL,1
105,50,9568,9570,CARDINAL,1
106,Don,9573,9576,PERSON,1
107,Lorna,9593,9598,PERSON,1
108,that summer,9599,9610,DATE,1
109,Lorna,9759,9764,PERSON,1
110,The days,9833,9841,DATE,1
111,the summer,9869,9879,DATE,1
112,New York,9938,9946,GPE,1
113,Lorna,10010,10015,PERSON,1
114,October,10327,10334,DATE,1
115,Lorna,10351,10356,PERSON,1
116,Molly,10413,10418,PERSON,1
117,The next morning,10473,10489,TIME,1
118,Don,10534,10537,PERSON,1
119,the Greyhound for Boston,10641,10665,ORG,1
120,Three,10667,10672,CARDINAL,1
121,Maine,10839,10844,GPE,1
122,Charlie Garrett,11144,11159,PERSON,1
123,Allen,11268,11273,PERSON,1
124,Charlie,11280,11287,PERSON,1
125,Orson,11368,11373,PERSON,1
126,Orson,11376,11381,PERSON,1
127,Charlie,11457,11464,PERSON,1
128,Cessna,11471,11477,ORG,1
129,Charlie,11553,11560,PERSON,1
130,one,11611,11614,CARDINAL,1
131,two,11621,11624,CARDINAL,1
132,three,11632,11637,CARDINAL,1
133,catboat:“A,11740,11750,ORG,1
134,Marshall,11764,11772,PERSON,1
135,Charlie,11774,11781,PERSON,1
136,Putter,11783,11789,PERSON,1
137,Orson,12136,12141,PERSON,1
138,press?”Orson,12211,12223,PERSON,1
139,Orson,12336,12341,PERSON,1
140,Charlie,12367,12374,PERSON,1
141,ten o'clock,12412,12423,TIME,1
142,Peaks Island,12435,12447,LOC,1
143,a few dozen,12477,12488,CARDINAL,1
144,one,12573,12576,CARDINAL,1
145,Margery,12621,12628,PERSON,1
146,Charlie,12993,13000,PERSON,1
147,Standard Baking Company,13420,13443,ORG,1
148,Charlie,13555,13562,PERSON,1
149,Volvo,13602,13607,ORG,1
150,Tolstoy,13806,13813,PERSON,1
151,Russians,13819,13827,NORP,1
152,Dostoyevsky,13829,13840,PERSON,1
153,Chekhov,13842,13849,PERSON,1
154,a long night,13879,13891,TIME,1
155,"Tolstoy,”Margery",13917,13933,ORG,1
156,three,14165,14170,CARDINAL,1
157,twenty years,14181,14193,DATE,1
158,"Chekhov,”she",14253,14265,PERSON,1
159,Tolstoy,14318,14325,PERSON,1
160,Late in the evening,14327,14346,TIME,1
161,Shakespeare,14468,14479,PERSON,1
162,Shakespeare,14492,14503,PERSON,1
163,"Wonderful,”Charlie",14510,14528,ORG,1
164,"sad,”Margery",14605,14617,ORG,1
165,Margery,14722,14729,PERSON,1
166,an hour and a half,14764,14782,TIME,1
167,Margery,14868,14875,PERSON,1
168,Charlie,14888,14895,PERSON,1
169,one year,14906,14914,DATE,1
170,fourth,14964,14970,ORDINAL,1
171,fifth,14974,14979,ORDINAL,1
172,Margery,15011,15018,PERSON,1
173,Bush,15058,15062,PERSON,1
174,the National Guard,15199,15217,ORG,1
175,a day,15273,15278,DATE,1
176,a million dollars,15288,15305,MONEY,1
177,Commodus,15350,15358,PERSON,1
178,Romans,15388,15394,NORP,1
179,colosseum,15425,15434,PRODUCT,1
180,Second century,15551,15565,DATE,1
181,The Decline and Fall,15678,15698,WORK_OF_ART,1
182,a week,15836,15842,DATE,1
183,Charlie,15944,15951,PERSON,1
184,one,16098,16101,CARDINAL,1
185,Mediterranean,16121,16134,LOC,1
186,Margery,16256,16263,PERSON,1
187,the previous year,16408,16425,DATE,1
188,Charlie,16437,16444,PERSON,1
189,Charlie,16597,16604,PERSON,1
190,later the same year,16789,16808,DATE,1
191,Margery,16810,16817,PERSON,1
192,Yessir,17277,17283,PERSON,1
193,Jesus,17348,17353,PERSON,1
194,a couple of days,17374,17390,DATE,1
195,Margery,17499,17506,PERSON,1
196,Jack,17607,17611,PERSON,1
197,Margery,17640,17647,PERSON,1
198,Smollett,17684,17692,PERSON,1
199,Smolletts,17721,17730,PERSON,1
200,Smolletts,17756,17765,PERSON,1
201,Sewells,17770,17777,ORG,1
202,Charlie,17858,17865,PERSON,1
203,Portland,17912,17920,GPE,1
204,New York,17930,17938,GPE,1
205,Charlie felt,18062,18074,PERSON,1
206,one,18205,18208,CARDINAL,1
207,"said,“there",18223,18234,ORG,1
208,Margery Sewell,18264,18278,PERSON,1
209,Charlie,18404,18411,PERSON,1
210,“She,18419,18423,PERSON,1
211,Latin,18452,18457,NORP,1
212,Greek,18462,18467,NORP,1
213,"me,”Tucker",18491,18501,ORG,1
214,Tucker,18569,18575,PERSON,1
215,Margery,18592,18599,PERSON,1
216,Charlie,18601,18608,PERSON,1
217,Tucker,18816,18822,PERSON,1
218,Margery,18834,18841,PERSON,1
219,"you,”she",18858,18866,PERSON,1
220,Tucker,18971,18977,PERSON,1
221,"us,”she",19001,19008,ORG,1
222,Charlie,19017,19024,PERSON,1
223,“He,19025,19028,PERSON,1
224,William,19124,19131,PERSON,1
225,Margery,19264,19271,PERSON,1
226,Tucker,19315,19321,PERSON,1
227,Margery,19435,19442,PERSON,1
228,Charlie,19574,19581,PERSON,1
229,few years earlier,19604,19621,DATE,1
230,"Ride,”Tucker",19702,19714,PERSON,1
231,Tucker,19763,19769,PERSON,1
232,Sally,19977,19982,PERSON,1
233,Margery Sewall,19984,19998,PERSON,1
234,Charlie,20015,20022,PERSON,1
235,Tucker,20041,20047,PERSON,1
236,four,20250,20254,CARDINAL,1
237,last year,20331,20340,DATE,1
238,Charlie,20504,20511,PERSON,1
239,Margery,20516,20523,PERSON,1
240,three,20684,20689,CARDINAL,1
241,Margery,20768,20775,PERSON,1
242,Three,20789,20794,CARDINAL,1
243,Margery,20833,20840,PERSON,1
244,o'clock,20908,20915,TIME,1
245,Jack,20952,20956,PERSON,1
246,first,21096,21101,ORDINAL,1
247,Tucker,21138,21144,PERSON,1
248,Margery,21149,21156,PERSON,1
249,Charlie,21314,21321,PERSON,1
250,about five inches,21399,21416,QUANTITY,1
251,Tucker,21682,21688,PERSON,1
252,Mesquite,21825,21833,LOC,1
253,Margery,21835,21842,WORK_OF_ART,1
254,Mesquite,21847,21855,WORK_OF_ART,1
255,about four or five,21913,21931,CARDINAL,1
256,Randolph,21966,21974,PERSON,1
257,"Helen,”he",22007,22016,ORG,1
258,Mesquite,22087,22095,LOC,1
259,Oklahoma,22102,22110,GPE,1
260,two,22189,22192,CARDINAL,1
261,one,22290,22293,CARDINAL,1
262,Helen,22298,22303,PERSON,1
263,June,22354,22358,DATE,1
264,Helen,22580,22585,PERSON,1
265,Margery,22634,22641,PERSON,1
266,Mesquite,22770,22778,WORK_OF_ART,1
267,Jack,22908,22912,PERSON,1
268,one,22924,22927,CARDINAL,1
269,Navy,22961,22965,ORG,1
270,three years old,22999,23014,DATE,1
271,Tucker,23031,23037,PERSON,1
272,Florida,23073,23080,GPE,1
273,St. Augustine,23101,23114,GPE,1
274,one,23131,23134,CARDINAL,1
275,one,23154,23157,CARDINAL,1
276,Tucker,23309,23315,PERSON,1
277,Margery,23376,23383,PERSON,1
278,Tucker,23477,23483,PERSON,1
279,Charlie,23698,23705,PERSON,1
280,fox,23716,23719,PERSON,1
281,Charlie,23900,23907,PERSON,1
282,fox,23934,23937,PERSON,1
283,Tucker,24045,24051,PERSON,1
284,one a year,24087,24097,DATE,1
285,February 15th,24185,24198,DATE,1
286,Tucker,24308,24314,PERSON,1
287,twenty dollar,24648,24661,MONEY,1
288,sake!”He,24716,24724,ORG,1
289,Charlie.,24867,24875,PERSON,1
290,"Amtrak,”Charlie",24878,24893,PERSON,1
291,Tucker,25397,25403,PERSON,1
292,Sally,25408,25413,PERSON,1
293,Tucker,25423,25429,PERSON,1
294,one,25437,25440,CARDINAL,1
295,"Tucker Smollett,”Margery",25506,25530,PERSON,1
296,Tucker,25546,25552,PERSON,1
297,Portland,25572,25580,GPE,1
298,Charlie,25582,25589,PERSON,1
299,Margery,25605,25612,PERSON,1
300,"me,”she",25655,25662,ORG,1
301,Margery,25735,25742,PERSON,1
302,one,25766,25769,CARDINAL,1
303,Charlie,25805,25812,PERSON,1
304,The next morning,25925,25941,TIME,1
305,Charlie,25970,25977,PERSON,1
306,Orson,26087,26092,PERSON,1
307,Orson,26107,26112,PERSON,1
308,Two,26193,26196,CARDINAL,1
309,One,26338,26341,CARDINAL,1
310,Charlie,26680,26687,PERSON,1
311,one,26962,26965,CARDINAL,1
312,four o'clock in the morning,27447,27474,TIME,1
313,about fifteen inches,27892,27912,QUANTITY,1
314,Herbert,28236,28243,PERSON,1
315,Long night,28570,28580,WORK_OF_ART,1
316,"guess,”he",28718,28727,PERSON,1
317,Heidi,28834,28839,PERSON,1
318,a couple of hours,29272,29289,TIME,1
319,You and Heidi,29517,29530,WORK_OF_ART,1
320,Cornell,29573,29580,ORG,1
321,the Air Force,29725,29738,ORG,1
322,Navy,29794,29798,ORG,1
323,twenty years,29799,29811,DATE,1
324,every month,29831,29842,DATE,1
325,twenty,29861,29867,CARDINAL,1
326,Haydn,29959,29964,PERSON,1
327,Heidi,30011,30016,PERSON,1
328,Cornell,30074,30081,ORG,1
329,fifteen,30118,30125,DATE,1
330,Five years ago,30516,30530,DATE,1
331,one,30962,30965,CARDINAL,1
332,Heidi,31062,31067,PERSON,1
333,the middle of the night,31298,31321,TIME,1
334,"Maybe,”Will",31526,31537,ORG,1
335,one,31564,31567,CARDINAL,1
336,ten dollar,31707,31717,MONEY,1
337,“O. K.,31804,31810,PERSON,1
338,Lee,31833,31836,PERSON,1
339,"“O. K.,",31840,31847,PERSON,1
340,Lee,31848,31851,PERSON,1
341,one,31930,31933,CARDINAL,1
342,Heidi,32062,32067,PERSON,1
343,Lee,32222,32225,PERSON,1
344,Guayaquil,32304,32313,GPE,1
345,Arthur,32362,32368,PERSON,1
346,This morning,32780,32792,TIME,1
347,Penn,32793,32797,PERSON,1
348,ivory brown,32863,32874,PERSON,1
349,s. Things,32913,32922,WORK_OF_ART,1
350,Penn,32936,32940,ORG,1
351,Arthur,32942,32948,PERSON,1
352,Penn,33095,33099,ORG,1
353,twenty years ago,33134,33150,DATE,1
354,Arthur,33153,33159,PERSON,1
355,years,33300,33305,DATE,1
356,Arthur,33433,33439,PERSON,1
357,Martin,33617,33623,PERSON,1
358,Martin,33658,33664,PERSON,1
359,Martin,33682,33688,PERSON,1
360,Arthur,33775,33781,PERSON,1
