,name,start_pos,end_pos,tag,score
0,many years,4,14,DATE,1
1,Pentateuch,35,45,WORK_OF_ART,1
2,thousands,186,195,CARDINAL,1
3,Justice,497,504,ORG,1
4,Some Mistakes of Moses,673,695,WORK_OF_ART,1
5,Pentateuch,784,794,WORK_OF_ART,1
6,several hundred,1064,1079,CARDINAL,1
7,Pentateuch,1755,1765,ORG,1
8,only a few years ago,2029,2049,DATE,1
9,Inquisition,2437,2448,ORG,1
10,Christianity,2647,2659,ORG,1
11,one,2750,2753,CARDINAL,1
12,one,2762,2765,CARDINAL,1
13,one,2789,2792,CARDINAL,1
14,Christianity,2931,2943,ORG,1
15,a thousand years,3184,3200,DATE,1
16,bible,3393,3398,WORK_OF_ART,1
17,God,3685,3688,PERSON,1
18,Nature,3893,3899,PERSON,1
19,a thousand,5069,5079,CARDINAL,1
20,Spring,5120,5126,DATE,1
21,tawny Summer 's,5155,5170,EVENT,1
22,Autumns,5223,5230,PERSON,1
23,Winter,5295,5301,DATE,1
24,Lear,5336,5340,PERSON,1
25,Cordelia,5365,5373,PERSON,1
26,Robert G. Ingersoll,5812,5831,PERSON,1
27,Washington,5834,5844,GPE,1
28,D. C,5846,5850,GPE,1
29,"Oct. 7th, 1879",5852,5866,DATE,1
30,trinity,7207,7214,ORG,1
31,Christians,7334,7344,NORP,1
32,Christians,7686,7696,NORP,1
33,Christians,7945,7955,NORP,1
34,first,9445,9450,ORDINAL,1
35,One,9539,9542,CARDINAL,1
36,first,9550,9555,ORDINAL,1
37,eighteen hundred years,10132,10154,DATE,1
38,protestant,10962,10972,NORP,1
39,this Nineteenth Century,10985,11008,DATE,1
40,second,11873,11879,ORDINAL,1
41,sabbath-day,12252,12263,DATE,1
42,christian,13045,13054,NORP,1
43,Jewish,13624,13630,NORP,1
44,Massachusetts,15050,15063,GPE,1
45,Andover,15083,15090,FAC,1
46,five years,15163,15173,DATE,1
47,the last five years,15249,15268,DATE,1
48,the next five years,15291,15310,DATE,1
49,Andover,15733,15740,PERSON,1
50,Sheffield,15802,15811,GPE,1
51,Birmingham,15816,15826,GPE,1
52,Andover,16159,16166,PERSON,1
53,Andover,16244,16251,FAC,1
54,Thousands,16902,16911,CARDINAL,1
55,impudently,17519,17529,PERSON,1
56,Voltaires,17633,17642,GPE,1
57,Humes,17644,17649,PERSON,1
58,Humboldts,17659,17668,GPE,1
59,Tyndals,17670,17677,PERSON,1
60,Haeckels,17679,17687,PERSON,1
61,Darwins,17689,17696,PERSON,1
62,Spencers,17698,17706,PERSON,1
63,Drapers,17712,17719,ORG,1
64,bible,17971,17976,WORK_OF_ART,1
65,Science,19557,19564,ORG,1
66,Jesus Christ,19814,19826,PERSON,1
67,one,20641,20644,CARDINAL,1
68,bible,20965,20970,WORK_OF_ART,1
69,Vatican,21107,21114,FAC,1
70,Moses,21708,21713,PERSON,1
71,Indian,21800,21806,NORP,1
72,Cornell,21859,21866,ORG,1
73,the United States,21894,21911,GPE,1
74,bible,22016,22021,WORK_OF_ART,1
75,Jews,22343,22347,NORP,1
76,Catholic,22584,22592,NORP,1
77,Presbyterian,22604,22616,NORP,1
78,Baptist,22626,22633,GPE,1
79,Episcopal,22646,22655,ORG,1
80,Church and School,23065,23082,ORG,1
81,Jews,23583,23587,NORP,1
82,Catholic,23671,23679,NORP,1
83,Protestant,23690,23700,NORP,1
84,Science,24125,24132,ORG,1
85,Nature,25766,25772,ORG,1
86,Holy Writ,25880,25889,WORK_OF_ART,1
87,patriot,26231,26238,PERSON,1
88,III,26306,26309,ORG,1
89,earth,26454,26459,LOC,1
90,catholics,26716,26725,NORP,1
91,christians,26760,26770,NORP,1
92,bible,27373,27378,WORK_OF_ART,1
93,the immaculate conception,27416,27441,FAC,1
94,five,28075,28079,CARDINAL,1
95,Calvinism,28090,28099,NORP,1
96,christian,28163,28172,NORP,1
97,Catholic,28624,28632,NORP,1
98,democrat,28638,28646,NORP,1
99,Methodist,28661,28670,ORG,1
100,North,28678,28683,LOC,1
101,republican,28689,28699,NORP,1
102,that day,28829,28837,DATE,1
103,bible,29015,29020,WORK_OF_ART,1
104,Inquisition,29229,29240,ORG,1
105,bible,29340,29345,WORK_OF_ART,1
106,Jews,29391,29395,NORP,1
107,Sabbath,29425,29432,WORK_OF_ART,1
108,Jehovah,29461,29468,GPE,1
109,Shakespeare,29778,29789,PERSON,1
110,Jewish,30181,30187,NORP,1
111,Baptists,30239,30247,NORP,1
112,Methodists,30249,30259,NORP,1
113,Catholics,30261,30270,NORP,1
114,Presbyterians,30272,30285,NORP,1
115,England,30951,30958,GPE,1
116,Episcopalians,31032,31045,NORP,1
117,Church and State,31063,31079,ORG,1
118,the High Church,31519,31534,ORG,1
119,Turkey,31556,31562,GPE,1
120,Mohammedans,31591,31602,NORP,1
121,Koran,31642,31647,WORK_OF_ART,1
122,Mohammed,31678,31686,PERSON,1
123,Gabriel,31762,31769,PERSON,1
124,three hundred days,31822,31840,DATE,1
125,Koran,32315,32320,PERSON,1
126,Koran,32426,32431,WORK_OF_ART,1
127,Turkey,32464,32470,GPE,1
128,thousands,32734,32743,CARDINAL,1
129,the hour,32765,32773,TIME,1
130,Koran,32804,32809,WORK_OF_ART,1
131,Christians,32962,32972,NORP,1
132,Mohammed,33063,33071,PERSON,1
133,India,33117,33122,GPE,1
134,three,33406,33411,CARDINAL,1
135,three,33429,33434,CARDINAL,1
136,one,33445,33448,CARDINAL,1
137,some one,33483,33491,CARDINAL,1
138,China,33713,33718,GPE,1
139,first,33974,33979,ORDINAL,1
140,first,34074,34079,ORDINAL,1
141,second,34813,34819,ORDINAL,1
142,one,35896,35899,CARDINAL,1
