,name,start_pos,end_pos,tag,score
0,Trivia,11,17,WORK_OF_ART,1
1,Time,196,200,ORG,1
2,‘ More Trivia,464,477,WORK_OF_ART,1
3,yesterday,633,642,DATE,1
4,one,834,837,CARDINAL,1
5,Dim-lit,928,935,PERSON,1
6,London,1452,1458,GPE,1
7,half,1571,1575,CARDINAL,1
8,Underground,1615,1626,FAC,1
9,Idealists,1648,1657,NORP,1
10,earth,1783,1788,LOC,1
11,One,1791,1794,CARDINAL,1
12,New Jerusalem,1848,1861,GPE,1
13,weeks,2130,2135,DATE,1
14,one day,2271,2278,DATE,1
15,Queens,2354,2360,GPE,1
16,Piccadilly,2492,2502,GPE,1
17,Victoria,2682,2690,GPE,1
18,Jones,2750,2755,PERSON,1
19,one,3236,3239,CARDINAL,1
20,Bipeds,3276,3282,PRODUCT,1
21,Hauntings,3606,3615,ORG,1
22,Phantom,3676,3683,PERSON,1
23,spectre,3732,3739,PERSON,1
24,Oakley Street,3896,3909,FAC,1
25,Wheble,3965,3971,PERSON,1
26,the King 's Road,4175,4191,FAC,1
27,an hour,4213,4220,TIME,1
28,Time,4452,4456,ORG,1
29,the New Moon,4641,4653,LOC,1
30,Blake,4700,4705,PERSON,1
31,Moon,4949,4953,PERSON,1
32,last evening,5014,5026,TIME,1
33,Grosvenor Square,5165,5181,FAC,1
34,Persian,5342,5349,NORP,1
35,Saints,5369,5375,NORP,1
36,Saints,5387,5393,NORP,1
37,Grosvenor Square,5539,5555,FAC,1
38,Diogenes,5690,5698,PERSON,1
39,the International Situation,6071,6098,EVENT,1
40,Countess,6120,6128,PERSON,1
41,last evening,6963,6975,TIME,1
42,half,7107,7111,CARDINAL,1
43,evening,7286,7293,TIME,1
44,one,7453,7456,CARDINAL,1
45,Infinity,7608,7616,ORG,1
46,Time,7726,7730,ORG,1
47,Time,7768,7772,ORG,1
48,second,7926,7932,ORDINAL,1
49,two,7958,7961,CARDINAL,1
50,third,8016,8021,ORDINAL,1
51,winter,8791,8797,DATE,1
52,night,8798,8803,TIME,1
53,Portsmouth,9505,9515,GPE,1
54,Public Affairs,9606,9620,ORG,1
55,moon,9923,9927,PERSON,1
56,French,9941,9947,NORP,1
57,Pazienza,9976,9984,PERSON,1
58,Italian,9989,9996,NORP,1
59,santa Pazienza,10008,10022,GPE,1
60,Lady Hyslop,10122,10133,PERSON,1
61,Moon,10484,10488,PERSON,1
62,Stars,10669,10674,PRODUCT,1
63,Lady Hyslop,10730,10741,PERSON,1
64,Mitigations,10858,10869,PERSON,1
65,Lady Hyslop,10962,10973,PERSON,1
66,Time,11540,11544,ORG,1
67,one foot,11891,11899,QUANTITY,1
68,the Moon,11928,11936,WORK_OF_ART,1
69,Paddington,12119,12129,GPE,1
70,the South Seas,12177,12191,LOC,1
71,Chinese,12287,12294,NORP,1
72,one day,12474,12481,DATE,1
73,Park Lane,12487,12496,FAC,1
74,Oxford Street,12500,12513,FAC,1
75,THE ABBEY AT NIGHT,12568,12586,ORG,1
76,Abbey,12620,12625,ORG,1
77,Heroes,12797,12803,EVENT,1
78,Abbey,13128,13133,ORG,1
79,One,13770,13773,CARDINAL,1
80,the long afternoon,13804,13822,TIME,1
81,Devonshire,13916,13926,GPE,1
82,London,14291,14297,GPE,1
83,only one,14686,14694,CARDINAL,1
84,Moon,15373,15377,PERSON,1
85,the Middle Ages,15663,15678,DATE,1
86,Moon,15811,15815,PERSON,1
87,Mastodons,15885,15894,PERSON,1
88,neolithic,15930,15939,NORP,1
89,Ape,16077,16080,PERSON,1
90,Baboon,16090,16096,PRODUCT,1
91,Kilimanjaro,16538,16549,GPE,1
92,Africa,16576,16582,LOC,1
93,African,16851,16858,NORP,1
94,Equator,16859,16866,LOC,1
95,Saints,17095,17101,NORP,1
96,Bible,17124,17129,WORK_OF_ART,1
97,Joseph,17139,17145,PERSON,1
98,wheatsheaf,17177,17187,PERSON,1
99,Deborah,17201,17208,PERSON,1
100,Israel,17254,17260,GPE,1
101,David,17266,17271,PERSON,1
102,Nay,17343,17346,PERSON,1
103,the Creator of the Universe,17403,17430,PERSON,1
104,Hebrews,17485,17492,WORK_OF_ART,1
105,Masnavi I Ma'navi,17761,17778,WORK_OF_ART,1
106,Jalalu,17808,17814,PERSON,1
107,D-Din Muhammad Rumi,17816,17835,PERSON,1
108,the winter of age,17984,18001,DATE,1
109,all day,18041,18048,DATE,1
110,all day,18060,18067,DATE,1
111,all day,18119,18126,DATE,1
112,Persian,18184,18191,NORP,1
113,Hampstead,18793,18802,GPE,1
114,Putney,18806,18812,GPE,1
115,Chopin,18823,18829,PERSON,1
116,Beethoven,18941,18950,PERSON,1
117,Sonatas,18959,18966,WORK_OF_ART,1
118,the Larger Hope,19018,19033,WORK_OF_ART,1
119,Providence,19208,19218,GPE,1
120,Angel,19240,19245,PERSON,1
121,my Pet Lamb,19643,19654,PERSON,1
122,Cæsars,19955,19961,PERSON,1
123,Napoleons,19966,19975,FAC,1
124,earth,20003,20008,LOC,1
125,Waterloo,20021,20029,GPE,1
126,one,20472,20475,CARDINAL,1
127,one,20479,20482,CARDINAL,1
128,one,20926,20929,CARDINAL,1
129,million,21085,21092,CARDINAL,1
130,Universe,21586,21594,ORG,1
131,Nature,21722,21728,ORG,1
132,Universe,21819,21827,ORG,1
133,Gorgon,22186,22192,PERSON,1
134,Jove,22460,22464,ORG,1
135,one,22517,22520,CARDINAL,1
136,withers,23315,23322,PERSON,1
137,unwrung,23327,23334,PERSON,1
138,Goliath,23412,23419,ORG,1
139,Withers,23429,23436,PERSON,1
140,withers,23474,23481,PERSON,1
141,Withers,23543,23550,PERSON,1
142,withers,23561,23568,PERSON,1
143,Love,23907,23911,PERSON,1
144,April,24092,24097,DATE,1
145,Spring,24238,24244,DATE,1
146,Tomkins,24265,24272,PERSON,1
147,weekly,24399,24405,DATE,1
148,fifth,25170,25175,ORDINAL,1
149,five-hundredth,25205,25219,DATE,1
150,the minute,25281,25291,TIME,1
151,the very minute,25296,25311,TIME,1
152,Railway,25343,25350,FAC,1
153,Art and Eloquence,25708,25725,WORK_OF_ART,1
154,Gibbon,25831,25837,PERSON,1
155,Burke,25844,25849,PERSON,1
156,Chatham,25853,25860,GPE,1
157,Jane Austen 's,26785,26799,PERSON,1
158,summer,26879,26885,DATE,1
159,Ethics and Philosophy,27001,27022,WORK_OF_ART,1
160,London,27046,27052,GPE,1
161,almost daily,27303,27315,DATE,1
162,the External World,27326,27344,ORG,1
163,Piccadilly,27638,27648,GPE,1
164,Bond Street,27652,27663,FAC,1
165,Berkeleian,27690,27700,PERSON,1
166,Dream,27908,27913,PERSON,1
167,Ibsen,27960,27965,PERSON,1
168,Supernatural,27993,28005,ORG,1
169,Switzerland,28011,28022,GPE,1
170,London,28328,28334,GPE,1
171,London,28385,28391,GPE,1
172,The other day,28413,28426,DATE,1
173,the Edgware Road,28460,28476,FAC,1
174,the Welsh Harp,28501,28515,FAC,1
175,the Brent Reservoir,28533,28552,FAC,1
176,first,28771,28776,ORDINAL,1
177,two,29282,29285,CARDINAL,1
178,"Beauty, Romance",29571,29586,WORK_OF_ART,1
179,the Blue Bird,29588,29601,PERSON,1
180,London,29768,29774,GPE,1
181,Verlaine,29947,29955,PERSON,1
182,the Channel Tunnel,30349,30367,ORG,1
183,earth,30574,30579,LOC,1
184,two,30714,30717,CARDINAL,1
185,Johnson,30858,30865,PERSON,1
186,twelve,31217,31223,CARDINAL,1
187,thirty or forty feet,31240,31260,QUANTITY,1
188,earth,31271,31276,LOC,1
189,house,31417,31422,ORG,1
190,SLOANE STREET,31445,31458,ORG,1
191,Sloane Street,31642,31655,FAC,1
192,Hampstead,32142,32151,GPE,1
193,august,32363,32369,DATE,1
194,valetudinarian Generals,32668,32691,PERSON,1
195,Park,32732,32736,FAC,1
196,Queen Victoria,32889,32903,PERSON,1
197,the Prince Consort,32976,32994,PERSON,1
198,Royal Ladies,33096,33108,ORG,1
199,Peacock Vanities,33308,33324,ORG,1
200,Cockatoos of Glory,33341,33359,WORK_OF_ART,1
201,Throne,33631,33637,LOC,1
202,Altar,33643,33648,PRODUCT,1
203,John Bright,33702,33713,PERSON,1
204,Gladstone,33718,33727,GPE,1
205,Queen Victoria,33732,33746,GPE,1
206,St. John 's Wood,33798,33814,GPE,1
207,Swiss,33883,33888,NORP,1
208,Gothic,33915,33921,NORP,1
209,Italian,33925,33932,NORP,1
210,Oriental,33943,33951,NORP,1
211,St. John 's Wood,34093,34109,PERSON,1
212,adventuresses,34136,34149,GPE,1
213,Bohemian,34169,34177,NORP,1
214,Countesses,34232,34242,ORG,1
215,the Foreign Office,34329,34347,ORG,1
216,rob,34369,34372,PERSON,1
217,brougham,34543,34551,PRODUCT,1
218,the Hampstead Garden Suburb,34793,34820,FAC,1
219,one,34965,34968,CARDINAL,1
220,the Societies for Ethical Culture and Handicrafts and Child Study,35123,35188,ORG,1
221,the Holy Grail,35221,35235,WORK_OF_ART,1
222,Zodiac,35254,35260,PERSON,1
223,afternoon,35463,35472,TIME,1
224,Idealist,35719,35727,NORP,1
225,days,35923,35927,DATE,1
226,days,35929,35933,DATE,1
227,evenings,35977,35985,TIME,1
228,that afternoon,36159,36173,TIME,1
229,Pisgah,36332,36338,LOC,1
230,the Promised City,36348,36365,GPE,1
231,an afternoon,36408,36420,TIME,1
232,South Kensington,36952,36968,GPE,1
233,Nay,37300,37303,PERSON,1
234,one,37643,37646,CARDINAL,1
235,Revelation,37820,37830,WORK_OF_ART,1
236,night,39337,39342,TIME,1
237,Stars,40170,40175,WORK_OF_ART,1
238,bush,40392,40396,PERSON,1
239,Nature,40673,40679,PERSON,1
240,four,40721,40725,CARDINAL,1
241,Tigers,40788,40794,ORG,1
242,Nuns,41076,41080,ORG,1
243,mystical slipslop,41205,41222,PERSON,1
244,"Alas, Farewell",41532,41546,WORK_OF_ART,1
245,two,42975,42978,CARDINAL,1
246,hours,43383,43388,TIME,1
247,winter afternoon,43850,43866,TIME,1
248,Bedford Square,43883,43897,FAC,1
249,Arabia,43917,43923,GPE,1
250,Albatrosses,43944,43955,ORG,1
251,Andes,44044,44049,LOC,1
252,Polish,44224,44230,NORP,1
253,Poets,44231,44236,NORP,1
254,Mickiewicz,44245,44255,NORP,1
255,Slowacki,44257,44265,NORP,1
256,Szymonowicz,44267,44278,PERSON,1
257,Krasicki,44280,44288,NORP,1
258,Kochanowski,44290,44301,PERSON,1
259,Cadogan Gardens,44450,44465,LOC,1
260,Cadogan Gardens,44472,44487,LOC,1
261,two,44547,44550,CARDINAL,1
262,Hesperian Gardens,44731,44748,LOC,1
263,Hesperian Gardens,44808,44825,LOC,1
264,The Gardens of the Sunset,44855,44880,WORK_OF_ART,1
265,Maidens,44897,44904,LANGUAGE,1
266,the Happy Orchard,45040,45057,FAC,1
267,Paradise,45063,45071,LOC,1
268,Charm,45780,45785,ORG,1
269,eighteenth-century,45967,45985,DATE,1
270,a Man of much Observation,45995,46020,WORK_OF_ART,1
271,first,46655,46660,ORDINAL,1
272,Charm,46794,46799,ORG,1
273,Sahara,46853,46859,LOC,1
274,Grosvenor Gardens,47077,47094,LOC,1
275,South Kensington,47112,47128,GPE,1
276,Grave,47160,47165,ORG,1
277,the Cromwell Road,47238,47255,FAC,1
278,Mount,47328,47333,LOC,1
279,Brixton,47547,47554,GPE,1
280,Camberwell,47595,47605,GPE,1
281,Ealing,47609,47615,GPE,1
282,some day,48446,48454,DATE,1
283,dusk,48770,48774,TIME,1
284,Taoist,49008,49014,NORP,1
285,Yen Hui,49043,49050,PERSON,1
286,Confucius,49064,49073,PERSON,1
287,Christendom,49518,49529,ORG,1
288,Felicity,49708,49716,PERSON,1
289,Valedictions,49762,49774,PERSON,1
290,the day,50011,50018,DATE,1
291,the hour,50183,50191,TIME,1
292,the day,50492,50499,DATE,1
293,eighteen,50898,50906,CARDINAL,1
294,Central Europe,51110,51124,LOC,1
295,the Continent of Asia,51129,51150,LOC,1
296,Channel,51209,51216,LOC,1
297,several days,51594,51606,DATE,1
298,all the years,52006,52019,DATE,1
299,Magic,52491,52496,ORG,1
300,Magic,52580,52585,WORK_OF_ART,1
301,Magic,52626,52631,PRODUCT,1
302,Magic,52854,52859,ORG,1
303,Magi,52916,52920,NORP,1
304,Persia,52944,52950,LOC,1
305,Persian,52988,52995,NORP,1
306,English,53005,53012,LANGUAGE,1
307,Tulip,53167,53172,FAC,1
308,Lilac,53177,53182,PERSON,1
309,Jasmin,53187,53193,PERSON,1
310,Peach,53198,53203,PERSON,1
311,Lapis Lazuli,53208,53220,PERSON,1
312,Backe,53317,53322,PERSON,1
313,a few minutes,53340,53353,TIME,1
314,Switzerland,53755,53766,GPE,1
315,East,53803,53807,LOC,1
316,Canon Farrar,53832,53844,PERSON,1
317,Mendelssohn,53878,53889,PERSON,1
318,Moorish,53939,53946,NORP,1
319,china,54067,54072,GPE,1
320,a number of years,54434,54451,DATE,1
321,one day,54489,54496,DATE,1
322,one,55061,55064,CARDINAL,1
323,Europe,56033,56039,LOC,1
324,Truth,56077,56082,LOC,1
325,Truth and Righteousness and Good,56233,56265,ORG,1
326,day,56345,56348,DATE,1
327,two,56352,56355,CARDINAL,1
328,Stardust,56548,56556,GPE,1
329,Board School Education,57105,57127,ORG,1
