,name,start_pos,end_pos,tag,score
0,the New Chicago Monorail Terminal,109,142,ORG,1
1,Track Seven!,165,177,EVENT,1
2,Space Academy,178,191,ORG,1
3,Space Academy,219,232,ORG,1
4,first,263,268,ORDINAL,1
5,six,269,272,CARDINAL,1
6,Track Seven,364,375,WORK_OF_ART,1
7,three,377,382,CARDINAL,1
8,the Space Cadet Corps,418,439,ORG,1
9,Tom Corbett,637,648,PERSON,1
10,eighteen,709,717,DATE,1
11,two,772,775,CARDINAL,1
12,Roger Manning,788,801,PERSON,1
13,Astro,806,811,PERSON,1
14,Manning,813,820,PERSON,1
15,Astro,920,925,PERSON,1
16,third,931,936,ORDINAL,1
17,fifty pounds,1005,1017,QUANTITY,1
18,Tom,1245,1248,PERSON,1
19,Astro,1391,1396,PRODUCT,1
20,Tom,1572,1575,PERSON,1
21,three,1708,1713,CARDINAL,1
22,third,1838,1843,ORDINAL,1
23,three,1860,1865,CARDINAL,1
24,Academy,2032,2039,ORG,1
25,Roger,2073,2078,PERSON,1
26,Astro,2145,2150,ORG,1
27,no!”moaned Tom.,2202,2217,PERSON,1
28,Venusian,2239,2247,NORP,1
29,Corbett,2258,2265,PERSON,1
30,less than an hour,2282,2299,TIME,1
31,ago!”Roger,2300,2310,PERSON,1
32,French,2330,2336,NORP,1
33,Two,2379,2382,CARDINAL,1
34,Tom,2403,2406,PERSON,1
35,"it,”calmly",2471,2481,PERSON,1
36,Astro,2491,2496,PRODUCT,1
37,Corbett,2584,2591,PERSON,1
38,Tom,2620,2623,PERSON,1
39,Astro,2714,2719,PERSON,1
40,"Astro,”he",2799,2808,ORG,1
41,Astro,3040,3045,ORG,1
42,two,3095,3098,CARDINAL,1
43,Tom,3161,3164,PERSON,1
44,One,3260,3263,CARDINAL,1
45,Astro,3365,3370,ORG,1
46,Astro,3436,3441,PERSON,1
47,two,3484,3487,CARDINAL,1
48,Astro,3521,3526,WORK_OF_ART,1
49,Tom,3578,3581,PERSON,1
50,three,3716,3721,CARDINAL,1
51,Astro,3754,3759,PERSON,1
52,Two,3795,3798,CARDINAL,1
53,two,3870,3873,CARDINAL,1
54,Astro,3912,3917,PRODUCT,1
55,Tom,3972,3975,PERSON,1
56,Roger,3980,3985,PERSON,1
57,two,4127,4130,CARDINAL,1
58,Space Academy,4465,4478,ORG,1
59,Astro,4482,4487,ORG,1
60,Tom,4539,4542,PERSON,1
61,Roger,4585,4590,PERSON,1
62,two,4631,4634,CARDINAL,1
63,"Tom,”he",4661,4668,PERSON,1
64,two,4705,4708,CARDINAL,1
65,a Space Cadet,4768,4781,ORG,1
66,Roger,4941,4946,PERSON,1
67,Astro,5095,5100,ORG,1
68,two,5169,5172,CARDINAL,1
69,three,5264,5269,CARDINAL,1
70,Tom,5361,5364,PERSON,1
71,Academy,5433,5440,ORG,1
72,a good night 's,5552,5567,TIME,1
73,Roger,5604,5609,PERSON,1
74,Tom,5704,5707,PERSON,1
75,Tom,5744,5747,PERSON,1
76,Academy,5792,5799,ORG,1
77,Roger,5853,5858,PERSON,1
78,Venusian,5871,5879,NORP,1
79,Astro,5969,5974,WORK_OF_ART,1
80,Tom,6015,6018,PERSON,1
81,Roger,6029,6034,PERSON,1
82,Roger,6098,6103,PERSON,1
83,Get Astro mad enough and he wo n't want to eat.,6116,6163,WORK_OF_ART,1
84,Academy,6168,6175,ORG,1
85,Astro,6245,6250,ORG,1
86,Tom,6262,6265,PERSON,1
87,Roger,6270,6275,PERSON,1
88,three,6337,6342,CARDINAL,1
89,Polaris,6357,6364,ORG,1
90,American,6710,6718,NORP,1
91,Tom Corbett,6727,6738,PERSON,1
92,morning,6791,6798,TIME,1
93,Tom,6829,6832,PERSON,1
94,Tom,7065,7068,PERSON,1
95,Space Academy,7193,7206,ORG,1
96,the university of the planets,7208,7237,ORG,1
97,the great Solar Guard,7258,7279,ORG,1
98,Roger,7308,7313,PERSON,1
99,Astro,7318,7323,PERSON,1
100,Roger,7402,7407,PERSON,1
101,"up,”said Tom",7561,7573,PERSON,1
102,morning,7594,7601,TIME,1
103,Astro,7608,7613,PERSON,1
104,Roger,7618,7623,PERSON,1
105,Five minutes later,7679,7697,TIME,1
106,Polaris,7790,7797,ORG,1
107,Roger,7860,7865,PERSON,1
108,Walters,8027,8034,PERSON,1
109,early-morning,8178,8191,TIME,1
110,three,8208,8213,CARDINAL,1
111,valley,8261,8267,LOC,1
112,first,8276,8281,ORDINAL,1
113,Galileo,8312,8319,PRODUCT,1
114,"is,”said Tom",8332,8344,PERSON,1
115,Tom,8459,8462,PERSON,1
116,Academy,8611,8618,ORG,1
117,three,8710,8715,CARDINAL,1
118,Solar Guard,8816,8827,ORG,1
119,first-year,8892,8902,DATE,1
120,the Cadet Corps,8915,8930,ORG,1
121,Polaris,8986,8993,ORG,1
122,Solar Guard,9032,9043,ORG,1
123,the Solar Guard,9103,9118,ORG,1
124,three,9125,9130,CARDINAL,1
125,Space Academy,9243,9256,ORG,1
126,three,9366,9371,CARDINAL,1
127,Tower,9414,9419,FAC,1
128,Galileo,9423,9430,PRODUCT,1
129,the grassy quadrangle,9517,9538,LOC,1
130,Space Academy,9553,9566,ORG,1
131,Tower,9653,9658,FAC,1
132,Tom,9728,9731,PERSON,1
133,the year 2353,9845,9858,DATE,1
134,Earthman,9865,9873,PERSON,1
135,Mars,9918,9922,LOC,1
136,Venus,9927,9932,LOC,1
137,three,9942,9947,CARDINAL,1
138,Moon,9966,9970,GPE,1
139,Jupiter,9993,10000,LOC,1
140,Saturn,10015,10021,ORG,1
141,the Solar Alliance,10058,10076,ORG,1
142,billions,10099,10107,CARDINAL,1
143,the Solar Guard,10200,10215,ORG,1
144,the Solar Alliance,10230,10248,ORG,1
145,Tom,10308,10311,PERSON,1
146,the Tower Building,10350,10368,FAC,1
147,Astro,10381,10386,PERSON,1
148,Roger,10391,10396,PERSON,1
149,Tower,10416,10421,FAC,1
150,three,10427,10432,CARDINAL,1
151,Space Academy,10517,10530,ORG,1
152,three,10544,10549,CARDINAL,1
153,Solar Guard,10575,10586,ORG,1
154,Steve Strong,10628,10640,PERSON,1
155,the Solar Guard,10653,10668,ORG,1
156,Polaris,10820,10827,ORG,1
157,Tom,10865,10868,PERSON,1
158,three,11003,11008,CARDINAL,1
159,"boys,”he",11135,11143,PERSON,1
160,Tom,11201,11204,PERSON,1
161,Tom,11208,11211,PERSON,1
162,Roger,11266,11271,PERSON,1
163,cook!”Astro,11291,11302,ORG,1
164,Walters,11540,11547,PERSON,1
165,Space Academy,11566,11579,ORG,1
166,Walters,11641,11648,PERSON,1
167,Polaris,11661,11668,ORG,1
168,Tom,12114,12117,PERSON,1
169,Venus next week,12232,12247,DATE,1
170,Tom,12251,12254,PERSON,1
171,visunews,12308,12316,PERSON,1
172,weeks,12361,12366,DATE,1
173,three,12427,12432,CARDINAL,1
174,Roger,12507,12512,PERSON,1
175,Tom,13117,13120,PERSON,1
176,Polaris,13167,13174,ORG,1
177,Roger,13343,13348,PERSON,1
178,three,13413,13418,CARDINAL,1
179,Polaris,13455,13462,PRODUCT,1
180,Tom,13505,13508,PERSON,1
181,A month or so,13512,13525,DATE,1
182,Polaris,13540,13547,ORG,1
183,first,13560,13565,ORDINAL,1
184,Academy,13566,13573,ORG,1
185,Astro,13784,13789,PERSON,1
186,Polaris,13950,13957,ORG,1
187,an hour,13993,14000,TIME,1
188,Tom,14020,14023,PERSON,1
189,One,14078,14081,CARDINAL,1
190,the Solar Alliance,14205,14223,ORG,1
191,Academy,14275,14282,ORG,1
192,three,14292,14297,CARDINAL,1
193,Cadet Corps,14350,14361,ORG,1
194,three,14439,14444,CARDINAL,1
195,Fifteen minutes later,14548,14569,TIME,1
196,Polaris,14631,14638,ORG,1
197,Academy,14712,14719,ORG,1
198,Polaris,14807,14814,PRODUCT,1
199,four,14920,14924,CARDINAL,1
200,Astro,15080,15085,PERSON,1
201,"Roger,“after",15197,15209,PERSON,1
202,Corbett,15236,15243,PERSON,1
203,Tom,15255,15258,PERSON,1
204,one,15283,15286,CARDINAL,1
205,"Roger,”he",15294,15303,PERSON,1
206,Mom,15376,15379,PERSON,1
207,Dad,15387,15390,PERSON,1
208,New Chicago,15408,15419,GPE,1
209,Roger,15451,15456,PERSON,1
210,three,15573,15578,CARDINAL,1
211,Astro,15774,15779,PRODUCT,1
212,Solar Guardsman,15799,15814,PRODUCT,1
213,the Cadet Corps,15840,15855,ORG,1
214,rocketman,15980,15989,PERSON,1
