,name,start_pos,end_pos,tag,score
0,PRINCE PRIGIO,10,23,WORK_OF_ART,1
1,GORDON BROWNE,39,52,PERSON,1
2,BRISTOL,66,73,GPE,1
3,J. W. ARROWSMITH,77,93,PERSON,1
4,LONDON,115,121,GPE,1
5,SIMPKIN,125,132,GPE,1
6,MARSHALL,134,142,PERSON,1
7,Guy Campbell,193,205,PERSON,1
8,Guy,216,219,PERSON,1
9,Prince Prigio,252,265,PERSON,1
10,the Lady Rosalind,275,292,PERSON,1
11,Firedrake,309,318,PERSON,1
12,Remora,327,333,PERSON,1
13,A. Lang,492,499,PERSON,1
14,{ Andrew Lang 's,502,518,PERSON,1
15,p0ix,600,604,NORP,1
16,Prince Prigio,697,710,PERSON,1
17,Prince Prigio 's,739,755,PERSON,1
18,Ricardo,761,768,PERSON,1
19,Prigio,792,798,PERSON,1
20,Grognio,825,832,GPE,1
21,Pantouflia,842,852,GPE,1
22,the Seven-League Boots,1066,1088,EVENT,1
23,the Wishing Cap,1090,1105,ORG,1
24,Prince Prigio,1199,1212,PERSON,1
25,Firedrake,1486,1495,PERSON,1
26,Lady Rosalind,1572,1585,PERSON,1
27,Ricardo,1842,1849,PERSON,1
28,Ricardo,1910,1917,PERSON,1
29,Prince Charlie to England,1960,1985,FAC,1
30,Yellow Dwarf,2035,2047,LOC,1
31,the Princess Jaqueline,2088,2110,PERSON,1
32,King Prigio,2160,2171,PERSON,1
33,Jaqueline,2192,2201,PERSON,1
34,{ Prince Ricardo,2390,2406,PERSON,1
35,King Prigio,2493,2504,PERSON,1
36,Pantouflia,2508,2518,GPE,1
37,Queen Rosalind,2556,2570,PERSON,1
38,King Prigio,2814,2825,PERSON,1
39,seventeen,2950,2959,CARDINAL,1
40,Queen Rosalind,2977,2991,PERSON,1
41,the day,3181,3188,DATE,1
42,Prince Prigio,3263,3276,PERSON,1
43,the night,3310,3319,TIME,1
44,first,3328,3333,ORDINAL,1
45,Ricardo,3438,3445,PERSON,1
46,Dick,3465,3469,PERSON,1
47,the Cap of Darkness,3909,3928,PERSON,1
48,"me,”the queen",4052,4065,PERSON,1
49,Dick,4230,4234,PERSON,1
50,King Grognio,4511,4523,PERSON,1
51,Firedrakes,4590,4600,PERSON,1
52,Ricardo,5100,5107,PERSON,1
53,Dick,5314,5318,PERSON,1
54,first,5338,5343,ORDINAL,1
55,Jaqueline,5456,5465,PERSON,1
56,Dick,5577,5581,PERSON,1
57,Queen Rosalind,5686,5700,PERSON,1
58,the Fairy Paribanou,5870,5889,PERSON,1
59,so many hours,5939,5952,TIME,1
60,Jaqueline,5973,5982,PERSON,1
61,Dollie,6086,6092,PERSON,1
62,last night,6137,6147,TIME,1
63,Ricardo,6461,6468,PERSON,1
64,Dick,6574,6578,PERSON,1
65,Caesar Borgia,7013,7026,PERSON,1
66,Edwin,7052,7057,PERSON,1
67,Morcar,7062,7068,PERSON,1
68,Ricardo,7132,7139,PERSON,1
69,next day,7349,7357,DATE,1
70,Dick,7475,7479,PERSON,1
71,first,7596,7601,ORDINAL,1
72,Cap of Darkness,7810,7825,WORK_OF_ART,1
73,Dick,8183,8187,PERSON,1
74,Ricardo,8269,8276,PERSON,1
75,earth,9063,9068,LOC,1
76,21,9079,9081,CARDINAL,1
77,"it,”said",9112,9120,ORG,1
78,three-quarters,9145,9159,CARDINAL,1
79,Queen Rosalind,9334,9348,PERSON,1
80,Cap of Darkness,9540,9555,PERSON,1
81,Gio,9622,9625,PERSON,1
82,King Prigio,9665,9676,PERSON,1
83,Andromeda,10036,10045,PRODUCT,1
84,Dick,10055,10059,PERSON,1
85,blood!”exclaimed,10337,10353,ORG,1
86,Dick,10606,10610,PERSON,1
87,Dick,10931,10935,PERSON,1
88,Rosalind,11195,11203,PERSON,1
89,Ricardo,11412,11419,PERSON,1
90,Jaqueline,11452,11461,PERSON,1
91,Dick,11688,11692,PERSON,1
92,half,11696,11700,CARDINAL,1
93,the Shoes of Swiftness,11720,11742,WORK_OF_ART,1
94,Ricardo,11921,11928,PERSON,1
95,Seven,11948,11953,CARDINAL,1
96,a splendid day,12033,12047,DATE,1
97,Dick,12159,12163,PERSON,1
98,"Royal Highness,”said Ross",12178,12203,ORG,1
99,Highland,12207,12215,GPE,1
100,"whatever,”he",12302,12314,ORG,1
101,Ross,12339,12343,PERSON,1
102,p28,12372,12375,CARDINAL,1
103,Prince Ricardo,12384,12398,PERSON,1
104,"morning,”he",12530,12541,PERSON,1
105,in?”said,12608,12616,ORG,1
106,Ethiopia,12669,12677,GPE,1
107,Ethiopia,12734,12742,GPE,1
108,Ricardo,12744,12751,PERSON,1
109,Asia,12775,12779,LOC,1
110,Ethiopia,12886,12894,GPE,1
111,Asia!”he,12898,12906,ORG,1
112,Jaqueline,13049,13058,PERSON,1
113,Dick,13066,13070,PERSON,1
114,a capital day,13154,13167,DATE,1
115,Jack,13169,13173,PERSON,1
116,Dick,13234,13238,PERSON,1
117,the Princess Jaqueline,13401,13423,PERSON,1
118,"late,”he",13467,13475,PERSON,1
119,The King and the Prince,13579,13602,PERSON,1
120,Ricardo,13715,13722,PERSON,1
121,Dick,13974,13978,PERSON,1
122,Dick,14309,14313,PERSON,1
123,day,14363,14366,DATE,1
124,Ricardo,14383,14390,PERSON,1
125,Ethiopia,14494,14502,GPE,1
126,Africa,14534,14540,LOC,1
127,Asia,14549,14553,LOC,1
128,Ricardo,14572,14579,PERSON,1
129,Dutch,14737,14742,NORP,1
130,Central Asia,14789,14801,LOC,1
131,Belsham,15068,15075,PERSON,1
132,Belsham,15087,15094,PERSON,1
133,Oxford,15115,15121,ORG,1
134,Dick,15210,15214,PERSON,1
135,years,15263,15268,DATE,1
136,Crown,15369,15374,ORG,1
137,"age,”he",15491,15498,PRODUCT,1
138,Dick,15542,15546,PERSON,1
139,a long day,15833,15843,DATE,1
140,Dick,15922,15926,PERSON,1
141,a day,15968,15973,DATE,1
142,"governor,”he",16150,16162,PERSON,1
143,Jaqueline,16296,16305,PERSON,1
144,Jack,16432,16436,PERSON,1
145,"do,”said",16455,16463,PERSON,1
146,Lina,16602,16606,PERSON,1
147,Lina,16888,16892,PERSON,1
148,Lina,16975,16979,PERSON,1
149,One,17120,17123,CARDINAL,1
150,Herr Schnipp,17131,17143,PERSON,1
151,august,17312,17318,DATE,1
152,early next morning,17426,17444,TIME,1
153,bower,17539,17544,PERSON,1
154,Dick,17608,17612,PERSON,1
155,hatters,17750,17757,NORP,1
156,swordmakers,17792,17803,ORG,1
157,too?”she,17820,17828,FAC,1
158,Rip,18050,18053,PERSON,1
159,two,18078,18081,CARDINAL,1
160,Dick,18523,18527,PERSON,1
161,"me,”she",18560,18567,ORG,1
162,King Prigio 's,19042,19056,PERSON,1
163,Rip,19210,19213,PERSON,1
164,Semiramis,19242,19251,PERSON,1
165,Cornelius Agrippa,19734,19751,PERSON,1
166,one,19756,19759,CARDINAL,1
167,576,20185,20188,CARDINAL,1
168,Latin,20214,20219,LANGUAGE,1
169,Latin,20254,20259,LANGUAGE,1
170,two,20461,20464,CARDINAL,1
171,the moon,20595,20603,LOC,1
172,Latin,21088,21093,NORP,1
173,English,21131,21138,LANGUAGE,1
174,Oh Lady Moon,21142,21154,WORK_OF_ART,1
175,the silver basin,21496,21512,LOC,1
176,the moon,21614,21622,LOC,1
177,two,22051,22054,CARDINAL,1
178,"it,”she",22190,22197,ORG,1
179,Ricardo,22357,22364,PERSON,1
180,Jaqueline,22375,22384,PERSON,1
181,Rosina,22663,22669,ORG,1
182,four,22790,22794,CARDINAL,1
183,five,22796,22800,CARDINAL,1
184,six,22802,22805,DATE,1
185,seven,22807,22812,CARDINAL,1
186,last night,23054,23064,TIME,1
187,seven,23118,23123,CARDINAL,1
188,Rosina,23442,23448,PERSON,1
189,Your Royal Highness,23497,23516,WORK_OF_ART,1
190,Rosina,23543,23549,PERSON,1
191,Jaqueline,23676,23685,PERSON,1
