,name,start_pos,end_pos,tag,score
0,one hundred thousand,10,30,CARDINAL,1
1,London,53,59,GPE,1
2,New York,68,76,GPE,1
3,"The Home Rule Bill,”says",111,135,WORK_OF_ART,1
4,Irish,140,145,NORP,1
5,Ireland,213,220,GPE,1
6,Ireland,298,305,GPE,1
7,M. GRABSKI,308,318,PERSON,1
8,three thousand million francs,355,384,MONEY,1
9,Polish,393,399,NORP,1
10,Welsh,467,472,NORP,1
11,Welsh,547,552,NORP,1
12,DEMPSEY,606,613,ORG,1
13,American,619,627,NORP,1
14,COCHRAN,694,701,PERSON,1
15,the American Academy of Dental Science,763,801,ORG,1
16,American,887,895,NORP,1
17,London,993,999,GPE,1
18,American,1009,1017,NORP,1
19,British,1081,1088,NORP,1
20,Americans,1139,1148,NORP,1
21,Atlantic,1171,1179,LOC,1
22,last week,1230,1239,DATE,1
23,twenty-seven,1369,1381,QUANTITY,1
24,one,1420,1423,CARDINAL,1
25,weekly,1424,1430,DATE,1
26,Irish,1527,1532,NORP,1
27,two,1542,1545,CARDINAL,1
28,The Daily Mail,1569,1583,ORG,1
29,Irishman,1611,1619,NORP,1
30,the Foreign Office,1693,1711,ORG,1
31,the last few weeks,1801,1819,DATE,1
32,British,1919,1926,NORP,1
33,daily,2026,2031,DATE,1
34,four,2090,2094,CARDINAL,1
35,morning,2253,2260,TIME,1
36,34,2301,2303,CARDINAL,1
37,Ireland,2382,2389,GPE,1
38,Sinn Feiner,2444,2455,PERSON,1
39,KEITH,2549,2554,PERSON,1
40,Lincoln,2940,2947,ORG,1
41,last week,2948,2957,DATE,1
42,the O. B. E.,2987,2999,LOC,1
43,five,3094,3098,CARDINAL,1
44,one,3113,3116,CARDINAL,1
45,the orang-outang,3153,3169,GPE,1
46,Yorkshire,3325,3334,GPE,1
47,Liverpool City Council,3505,3527,ORG,1
48,the Food Ministry,3757,3774,ORG,1
49,a thousand,3824,3834,CARDINAL,1
50,Allied Surrender,3960,3976,ORG,1
51,German,4028,4034,NORP,1
52,Teutonic,4092,4100,NORP,1
53,Hampshire,4194,4203,GPE,1
54,last week,4247,4256,DATE,1
55,Wellington Street,4290,4307,FAC,1
56,A WEEK AGO,4406,4416,DATE,1
57,the Royal Asylum for the Insane,4509,4540,ORG,1
58,the University of Edinburgh,4545,4572,ORG,1
59,Scots Paper,4576,4587,ORG,1
60,British,4595,4602,NORP,1
61,India,4611,4616,GPE,1
62,Turk,4645,4649,NORP,1
63,Armenia,4653,4660,GPE,1
64,Washington Times,4664,4680,ORG,1
65,the “George Washington Times,4687,4715,ORG,1
66,THE MALLABY-DEELEY EMPORIUM,4764,4791,ORG,1
67,PUNCH,4803,4808,PERSON,1
68,MALLABY-DEELEY,4880,4894,PERSON,1
69,one,5377,5380,CARDINAL,1
70,the early advent of,5604,5623,DATE,1
71,the other day,5655,5668,DATE,1
72,£ 10 10s,5767,5775,MONEY,1
73,£ 3 3s,5792,5798,MONEY,1
74,£ 4 10s,5814,5821,MONEY,1
75,£ 18 3s,5834,5841,MONEY,1
76,Savile Row,5913,5923,ORG,1
77,no more than £ 10 10s,5932,5953,MONEY,1
78,Bolshevism,6159,6169,ORG,1
79,Empire,6255,6261,LOC,1
80,MALLABY-DEELEY,6270,6284,PERSON,1
81,KENNEDY JONES,6348,6361,PERSON,1
82,the Middle Class Union,6376,6398,ORG,1
83,evening,6457,6464,TIME,1
84,PUNCH,6536,6541,PERSON,1
85,a thousand,6556,6566,CARDINAL,1
86,MALLABY-DEELEY 'S,6581,6598,PERSON,1
87,Press,6702,6707,ORG,1
88,from day to day,6719,6734,DATE,1
89,Paisley,6902,6909,PERSON,1
90,the Coalition Government,6932,6956,ORG,1
91,Greek,7322,7327,NORP,1
92,Oxford,7331,7337,ORG,1
93,British,7391,7398,NORP,1
94,Hebrew,7648,7654,LANGUAGE,1
95,a hundred-fold,7865,7879,CARDINAL,1
96,Hebraic,7953,7960,PRODUCT,1
97,Hebraic,8007,8014,NORP,1
98,Bible,8114,8119,WORK_OF_ART,1
99,Hebrew,8288,8294,LANGUAGE,1
