,name,start_pos,end_pos,tag,score
0,BRIGADE,4,11,ORG,1
1,J. W. DEFOREST,22,36,PERSON,1
2,BAYARD TAYLOR,51,64,PERSON,1
3,SEBASTIAN,126,135,PERSON,1
4,HAROLD FREDERIC,150,165,PERSON,1
5,IDYL,214,218,ORG,1
6,GULCH,226,231,CARDINAL,1
7,GEORGE ALFRED TOWNSEND,261,283,PERSON,1
8,GATH,287,291,WORK_OF_ART,1
9,GEORGE PARSONS,319,333,PERSON,1
10,DENVER,347,353,GPE,1
11,A. A. HAYES,362,373,PERSON,1
12,JAUNE D'ANTIMOINE,375,392,ORG,1
13,THOMAS ALLIBONE JANVIER,393,416,PERSON,1
14,OLE,418,421,ORG,1
15,THOMAS NELSON,433,446,PERSON,1
16,F. J. STIMSON,477,490,PERSON,1
17,J. S. OF DALE,494,507,WORK_OF_ART,1
18,BRIGADE,516,523,ORG,1
19,J. W. DE FOREST,538,553,ORG,1
20,John William De Forest,555,577,PERSON,1
21,"March 36, 1826",585,599,DATE,1
22,Seymour,604,611,GPE,1
23,Ct.,613,616,GPE,1
24,Rebellion,641,650,ORG,1
25,Union,742,747,ORG,1
26,first,791,796,ORDINAL,1
27,The Brigade Commander,1018,1039,WORK_OF_ART,1
28,De Forest,1048,1057,PERSON,1
29,Niagara,1181,1188,ORG,1
30,BRIGADE,1287,1294,ORG,1
31,J. W. DEFOREST,1308,1322,PERSON,1
32,The New York Times,1353,1371,ORG,1
33,the last six months,1469,1488,DATE,1
34,Lucifer,1884,1891,PERSON,1
35,Currnell,1925,1933,ORG,1
36,Gahogan,2007,2014,PERSON,1
37,Old Tenth,2035,2044,WORK_OF_ART,1
38,Currnell,2227,2235,FAC,1
39,Adjetant Wallis,2397,2412,PERSON,1
40,dhrinks,2444,2451,PERSON,1
41,ye,2464,2466,PERSON,1
42,rayson,2490,2496,PERSON,1
43,ye,2505,2507,PERSON,1
44,Bedad,2571,2576,PERSON,1
45,September,2866,2875,DATE,1
46,two,3249,3252,CARDINAL,1
47,three,3278,3283,CARDINAL,1
48,first,3311,3316,ORDINAL,1
49,two hundred yards,3322,3339,QUANTITY,1
50,second,3358,3364,ORDINAL,1
51,two,3396,3399,CARDINAL,1
52,four,3400,3404,CARDINAL,1
53,one,3420,3423,CARDINAL,1
54,twelve-pounder,3438,3452,QUANTITY,1
55,Napoleons,3454,3463,PRODUCT,1
56,Parrotts,3487,3495,PERSON,1
57,Confederates,3954,3966,NORP,1
58,African,4708,4715,NORP,1
59,"it,”said Adjutant Wallis",4804,4828,LOC,1
60,first,4901,4906,ORDINAL,1
61,two,5013,5016,CARDINAL,1
62,three,5042,5047,CARDINAL,1
63,ten,5057,5060,CARDINAL,1
64,That 's Old Grumps,5227,5245,WORK_OF_ART,1
65,Lafayette Gildersleeve,5386,5408,PERSON,1
66,Lieutenant?”he,5500,5514,PERSON,1
67,day,5605,5608,DATE,1
68,yesterday,5616,5625,DATE,1
69,two days,5653,5661,DATE,1
70,about five minutes ago,5679,5701,TIME,1
71,thunder!”groaned Wallis,5710,5733,PERSON,1
72,ten minutes,5920,5931,TIME,1
73,"some day,”mumbled Wallis",6105,6129,PERSON,1
74,Gildersleeve,6143,6155,PERSON,1
75,Grumps,6401,6407,PERSON,1
76,rebs,6673,6677,ORG,1
77,"commanded,”he",6855,6868,PERSON,1
78,Wallis,7019,7025,PERSON,1
79,Waldron,7040,7047,GPE,1
80,Christian,7081,7090,NORP,1
81,Gildersleeve,7101,7113,ORG,1
82,Christianity,7180,7192,ORG,1
83,Wallis,7253,7259,PERSON,1
84,Wallis,7705,7711,PERSON,1
85,“He,7712,7715,PERSON,1
86,the Old Tenth,7728,7741,ORG,1
87,a week,7782,7788,DATE,1
88,first,7963,7968,ORDINAL,1
89,h'isted,7976,7983,PERSON,1
90,second,8010,8016,ORDINAL,1
91,Old Grumps,8291,8301,WORK_OF_ART,1
92,"Brigadier,”he",8339,8352,PERSON,1
93,a month,8446,8453,DATE,1
94,”The Colonel 's,8579,8594,PERSON,1
95,the Old Tenth,9032,9045,PRODUCT,1
96,Wallis,9062,9068,PERSON,1
97,two,9095,9098,CARDINAL,1
98,Gildersleeve,9182,9194,ORG,1
99,the solemn hours of the night,9404,9433,TIME,1
100,Great Scott,9475,9486,EVENT,1
101,Wallis,9572,9578,PERSON,1
102,first,9667,9672,ORDINAL,1
103,Wallis,10082,10088,PERSON,1
104,first,10553,10558,ORDINAL,1
105,twenty,10575,10581,CARDINAL,1
106,Wallis,10676,10682,PERSON,1
107,three years later,10928,10945,DATE,1
108,half,11052,11056,CARDINAL,1
109,Wallis,11090,11096,PERSON,1
110,John James,11167,11177,PERSON,1
111,Old Grumps,11197,11207,ORG,1
112,first,11329,11334,ORDINAL,1
113,two,11427,11430,CARDINAL,1
114,West Point,11559,11569,LOC,1
115,his third year,11619,11633,DATE,1
116,Wallis,11652,11658,PERSON,1
117,Benny Havens 's,11808,11823,PERSON,1
118,Wallis,12166,12172,PERSON,1
119,Little Joker,12189,12201,PERSON,1
120,Wallis,12376,12382,PERSON,1
121,Good-night,12551,12561,WORK_OF_ART,1
122,Crumps,12802,12808,PERSON,1
123,Wallis,13101,13107,PERSON,1
124,Gahogan,13173,13180,GPE,1
125,anear,13248,13253,PERSON,1
126,sabre,13285,13290,PRODUCT,1
127,the morning,13525,13536,TIME,1
128,one,13667,13670,CARDINAL,1
129,Gildersleeve,13862,13874,PERSON,1
130,half a mile,14723,14734,QUANTITY,1
131,Wallis,14926,14932,PERSON,1
132,Waldron,14964,14971,PERSON,1
133,about twenty-eight years of age,15110,15141,DATE,1
134,dark hazel,15286,15296,PERSON,1
135,Waldron,16177,16184,PERSON,1
136,Fitz Hugh,16199,16208,PERSON,1
137,Delaware,16222,16230,GPE,1
138,Waldron,16234,16241,PERSON,1
139,Fitz Hugh,16387,16396,PERSON,1
140,Waldron,16581,16588,PERSON,1
141,earth,16623,16628,LOC,1
142,one,16645,16648,CARDINAL,1
143,first,16815,16820,ORDINAL,1
144,one,16890,16893,CARDINAL,1
145,Fitz Hugh,17074,17083,PERSON,1
146,Waldron,17128,17135,PERSON,1
147,"consequences,”he",17318,17334,PERSON,1
148,Fitz Hugh,17642,17651,PERSON,1
149,Waldron,17738,17745,PERSON,1
150,Fitz Hugh,17832,17841,PERSON,1
151,Delaware,17854,17862,GPE,1
152,the day,17898,17905,DATE,1
153,Fitz Hugh,18129,18138,PERSON,1
154,A few minutes later,18190,18209,TIME,1
155,the day previous,18553,18569,DATE,1
