,name,start_pos,end_pos,tag,score
0,Magistracy,11,21,ORG,1
1,Ireland,25,32,GPE,1
2,first,138,143,ORDINAL,1
3,Sinclair Yeates,224,239,PERSON,1
4,The Gondoliers,348,362,WORK_OF_ART,1
5,Philippa,441,449,PERSON,1
6,Philippa,457,465,PERSON,1
7,Captains,580,588,ORG,1
8,Philippa,639,647,PERSON,1
9,Philippa,692,700,PERSON,1
10,Skebawn,911,918,GPE,1
11,Yeates,963,969,PERSON,1
12,R. M.”,971,977,PERSON,1
13,nine weeks,1031,1041,DATE,1
14,Raverty,1050,1057,PERSON,1
15,those nine weeks,1141,1157,DATE,1
16,Ireland,1273,1280,GPE,1
17,some hundreds of acres,1362,1384,QUANTITY,1
18,Irish,1809,1814,NORP,1
19,the end of three weeks,1941,1963,DATE,1
20,sixteen feet,2085,2097,QUANTITY,1
21,divil,2197,2202,GPE,1
22,wran,2235,2239,ORG,1
23,Petty Sessions,2373,2387,WORK_OF_ART,1
24,seven days,2443,2453,DATE,1
25,the summer months,2555,2572,DATE,1
26,October,2611,2618,DATE,1
27,Shreelane,2679,2688,ORG,1
28,three,2719,2724,CARDINAL,1
29,laurustinus,2872,2883,PERSON,1
30,holly,2888,2893,PERSON,1
31,eaveshoot,3053,3062,PERSON,1
32,Philippa,3148,3156,PERSON,1
33,house,3700,3705,ORG,1
34,Cadogan,3827,3834,PERSON,1
35,Cadogan,3954,3961,GPE,1
36,Caydogawn,4012,4021,PERSON,1
37,afternoon,4104,4113,TIME,1
38,Florence McCarthy Knox,4505,4527,PERSON,1
39,about 4,4548,4555,CARDINAL,1
40,Cadogan,4634,4641,PERSON,1
41,Flurry,4676,4682,PERSON,1
42,mackintosh,4926,4936,PERSON,1
43,Knox,5186,5190,PERSON,1
44,Knox,5540,5544,PERSON,1
45,Sandhurst,5800,5809,ORG,1
46,Ireland,6088,6095,GPE,1
47,"Knox,“and",6229,6238,PERSON,1
48,two,6283,6286,CARDINAL,1
49,Knox,6581,6585,PERSON,1
50,Michael,6701,6708,PERSON,1
51,Michael,6712,6719,PERSON,1
52,twenty-five pounds,7375,7393,QUANTITY,1
53,Knox,7443,7447,PERSON,1
54,Valentine Knox,7696,7710,PERSON,1
55,Castle Knox,7714,7725,ORG,1
56,Knox,7749,7753,PERSON,1
57,Larry,7788,7793,PERSON,1
58,Florence McCarthy,7829,7846,PERSON,1
59,Valentine,7946,7955,PERSON,1
60,Larry the Liar,8010,8024,PERSON,1
61,Protestants,8074,8085,NORP,1
62,Cromwell,8152,8160,GPE,1
63,Flurry,8316,8322,PERSON,1
64,Denis McCarthy,8565,8579,PERSON,1
65,"now,”he",8736,8743,ORG,1
66,nights,8995,9001,TIME,1
