,name,start_pos,end_pos,tag,score
0,AMOS,0,4,PERSON,1
1,Israel,19,25,GPE,1
2,Osee,49,53,PERSON,1
3,Israel,142,148,GPE,1
4,Amos Chapter 1,252,266,PERSON,1
5,Damascus,290,298,GPE,1
6,Gaza,300,304,GPE,1
7,Tyre,306,310,GPE,1
8,Edom,312,316,DATE,1
9,Ammon,322,327,PERSON,1
10,1,384,385,CARDINAL,1
11,1,387,388,CARDINAL,1
12,Amos,403,407,PERSON,1
13,Thecua,439,445,PERSON,1
14,Israel,471,477,GPE,1
15,the days,481,489,DATE,1
16,Ozias,493,498,PERSON,1
17,Juda,507,511,PERSON,1
18,the days,520,528,DATE,1
19,Jeroboam,532,540,PERSON,1
20,Joas king,552,561,PERSON,1
21,Israel,565,571,GPE,1
22,two years,572,581,DATE,1
23,Ozias,714,719,PERSON,1
24,Jeroboam,871,879,PERSON,1
25,second,884,890,ORDINAL,1
26,Amos,903,907,PERSON,1
27,Ozias,957,962,PERSON,1
28,1,965,966,CARDINAL,1
29,2,968,969,CARDINAL,1
30,Sion,1008,1012,FAC,1
31,Jerusalem,1039,1048,GPE,1
32,Carmel,1121,1127,GPE,1
33,1,1142,1143,CARDINAL,1
34,3,1145,1146,CARDINAL,1
35,three,1173,1178,CARDINAL,1
36,Damascus,1189,1197,GPE,1
37,four,1207,1211,CARDINAL,1
38,Galaad,1262,1268,PERSON,1
39,three,1291,1296,CARDINAL,1
40,four,1312,1316,CARDINAL,1
41,1,1493,1494,CARDINAL,1
42,4,1496,1497,CARDINAL,1
43,Azael,1540,1545,GPE,1
44,Benadad,1581,1588,GPE,1
45,1,1591,1592,CARDINAL,1
46,5,1594,1595,CARDINAL,1
47,Damascus,1625,1633,GPE,1
48,Syria,1777,1782,GPE,1
49,Cyrene,1808,1814,PERSON,1
50,1,1833,1834,CARDINAL,1
51,6,1836,1837,CARDINAL,1
52,three,1864,1869,CARDINAL,1
53,Gaza,1880,1884,GPE,1
54,four,1894,1898,CARDINAL,1
55,Edom,1992,1996,GPE,1
56,1,1999,2000,CARDINAL,1
57,7,2002,2003,CARDINAL,1
58,Gaza,2043,2047,GPE,1
59,1,2090,2091,CARDINAL,1
60,8,2093,2094,CARDINAL,1
61,Azotus,2135,2141,ORG,1
62,holdeth,2156,2163,PERSON,1
63,Ascalon,2181,2188,PERSON,1
64,Accaron,2222,2229,ORG,1
65,Philistines,2251,2262,NORP,1
66,1,2298,2299,CARDINAL,1
