,name,start_pos,end_pos,tag,score
0,JACK,0,4,PERSON,1
1,ROBERT L. DRAKE,95,110,PERSON,1
2,The Boy Allies Under the Sea,123,151,WORK_OF_ART,1
3,The Boy Allies on the North Sea Patrol,155,193,WORK_OF_ART,1
4,The Boy Allies Under Two Flags,197,227,WORK_OF_ART,1
5,The Boy Allies with the Flying Squadron,231,270,WORK_OF_ART,1
6,The Boy Allies with the Terror of the Seas,274,316,WORK_OF_ART,1
7,A. L. BURT,319,329,PERSON,1
8,A. L. BURT COMPANY,351,369,ORG,1
9,five fathoms,384,396,QUANTITY,1
10,Templeton,402,411,PERSON,1
11,Hastings,436,444,PERSON,1
12,British,463,470,NORP,1
13,Jack Templeton,488,502,PERSON,1
14,British,506,513,NORP,1
15,first,524,529,ORDINAL,1
16,Chadwick,641,649,PERSON,1
17,Hastings,658,666,PERSON,1
18,third,693,698,ORDINAL,1
19,Frank Chadwick,828,842,PERSON,1
20,American,847,855,NORP,1
21,second,866,872,ORDINAL,1
22,Lookout,1030,1037,PERSON,1
23,Ten fathoms,1081,1092,QUANTITY,1
24,Templeton,1098,1107,PERSON,1
25,Hastings,1116,1124,PERSON,1
26,two,1230,1233,CARDINAL,1
27,Heligoland,1327,1337,GPE,1
28,two hours,1345,1354,TIME,1
29,Heligoland,1492,1502,ORG,1
30,German,1514,1520,NORP,1
31,German,1576,1582,NORP,1
32,Gibraltar,1662,1671,GPE,1
33,Hastings,1869,1877,PERSON,1
34,two,1886,1889,CARDINAL,1
35,THE BOY ALLIES WITH THE TERROR OF THE SEAS,1955,1997,WORK_OF_ART,1
36,England,2022,2029,GPE,1
37,the day before,2030,2044,DATE,1
38,German,2090,2096,NORP,1
39,Hastings,2156,2164,PERSON,1
40,Jack,2185,2189,PERSON,1
41,Frank,2194,2199,PERSON,1
42,Hastings,2215,2223,PERSON,1
43,England,2315,2322,GPE,1
44,Frank,2485,2490,PERSON,1
45,Hastings,2550,2558,PERSON,1
46,First,2664,2669,ORDINAL,1
47,German,2697,2703,NORP,1
48,Jack,3077,3081,PERSON,1
49,Hastings inquiringly,3101,3121,PERSON,1
50,Hastings,3423,3431,PERSON,1
51,Chadwick,3602,3610,PERSON,1
52,Hastings,3824,3832,PERSON,1
53,Jack,3879,3883,PERSON,1
54,Templeton,3929,3938,PERSON,1
55,five,4057,4061,CARDINAL,1
56,Jack,4090,4094,PERSON,1
57,Dardanelles,4344,4355,LOC,1
58,first,4486,4491,ORDINAL,1
