,name,start_pos,end_pos,tag,score
0,SIX,20,23,CARDINAL,1
1,GEORGE W. HOOD,50,64,PERSON,1
2,The English Fairy Book The Welsh Fairy Book,94,137,WORK_OF_ART,1
3,The Irish Fairy Book The Scottish Fairy Book,138,182,WORK_OF_ART,1
4,The Italian Fairy Book The Hungarian Fairy Book,183,230,WORK_OF_ART,1
5,The Indian Fairy Book,231,252,WORK_OF_ART,1
6,The Jewish Fairy Book,253,274,WORK_OF_ART,1
7,The Swedish Fairy Book,275,297,WORK_OF_ART,1
8,The Chinese Fairy Book,298,320,WORK_OF_ART,1
9,CROWS,327,332,ORG,1
10,40,427,429,CARDINAL,1
11,China,468,473,GPE,1
12,Thousand,499,507,CARDINAL,1
13,oriental,527,535,NORP,1
14,oriental,608,616,NORP,1
15,seventy-three,721,734,QUANTITY,1
16,Nursery Fairy Tales,793,812,WORK_OF_ART,1
17,Legends of the Gods,816,835,WORK_OF_ART,1
18,Tales of Saints and Magicians,839,868,WORK_OF_ART,1
19,Nature and Animal Tales,872,895,WORK_OF_ART,1
20,Ghost Stories,899,912,WORK_OF_ART,1
21,Historic Fairy Tales,916,936,WORK_OF_ART,1
22,Literary Fairy Tales,944,964,WORK_OF_ART,1
23,oriental,1034,1042,NORP,1
24,American,1079,1087,NORP,1
25,Arabian Nights,1227,1241,WORK_OF_ART,1
26,The Flower-Elves,1347,1363,ORG,1
27,The Lady of the Moon,1367,1387,WORK_OF_ART,1
28,The Herd Boy,1393,1405,WORK_OF_ART,1
29,the Weaving Maiden,1410,1428,WORK_OF_ART,1
30,How Three Heroes Came By Their Deaths Because Of Two Peaches,1444,1504,WORK_OF_ART,1
31,Chinese,1556,1563,NORP,1
32,The Ape Sun Wu Kung,1649,1668,WORK_OF_ART,1
33,The Kindly Magician,1721,1740,WORK_OF_ART,1
34,A Night on the Battlefield,1798,1824,WORK_OF_ART,1
35,The Ghost Who Was Foiled,1831,1855,WORK_OF_ART,1
36,Rose of Evening,1914,1929,WORK_OF_ART,1
37,The King of the Ants,1964,1984,WORK_OF_ART,1
38,The Little Hunting Dog,1991,2013,WORK_OF_ART,1
39,Chinese,2051,2058,NORP,1
40,oriental,2260,2268,NORP,1
41,occidental,2273,2283,NORP,1
42,FREDRICK H. MARTENS,2424,2443,PERSON,1
43,1,2493,2494,CARDINAL,1
44,THREE,2503,2508,CARDINAL,1
45,ONE 6,2583,2588,DATE,1
46,NINE,2712,2716,CARDINAL,1
47,13,2723,2725,CARDINAL,1
48,24,2796,2798,CARDINAL,1
49,XI,2800,2802,ORG,1
50,FOX,2807,2810,ORG,1
51,TIGER,2837,2842,ORG,1
52,XIII,2856,2860,ORG,1
53,FOX,2865,2868,ORG,1
54,29,2883,2885,CARDINAL,1
55,XIV,2887,2890,GPE,1
56,30,2919,2921,CARDINAL,1
57,FIVE,2955,2959,CARDINAL,1
58,35,2980,2982,CARDINAL,1
59,XVI,2984,2987,ORG,1
60,37,3024,3026,CARDINAL,1
61,XVII YANG,3028,3037,PERSON,1
62,42,3046,3048,DATE,1
63,XVIII NOTSCHA,3050,3063,ORG,1
64,44,3064,3066,DATE,1
65,XIX,3068,3071,ORG,1
66,53,3093,3095,CARDINAL,1
67,XXII,3201,3205,ORG,1
68,58,3226,3228,CARDINAL,1
69,XXIV,3253,3257,ORG,1
70,THREE,3262,3267,CARDINAL,1
71,CONFUCIUS,3300,3309,PERSON,1
72,XXVI,3314,3318,ORG,1
73,XXVIII LAOTSZE,3403,3417,PERSON,1
