,name,start_pos,end_pos,tag,score
0,two,129,132,CARDINAL,1
1,the Bear Tooth Forest,165,186,ORG,1
2,the years 1909 and 1910,196,219,DATE,1
3,Berea McFarlane,302,317,ORG,1
4,Berrie,645,651,PERSON,1
5,Wayland Norcross,791,807,ORG,1
6,McFarlane,833,842,PERSON,1
7,Colorado,967,975,GPE,1
8,one,1000,1003,CARDINAL,1
9,Supervisor McFarlane,1130,1150,PERSON,1
10,Berrie,1156,1162,PERSON,1
11,Mary Isabel,1510,1521,PERSON,1
12,ten,1528,1531,DATE,1
13,half-dozen,1558,1568,CARDINAL,1
14,German,1661,1667,NORP,1
15,Western,1808,1815,NORP,1
16,three,1843,1848,CARDINAL,1
17,Chicago,2148,2155,GPE,1
18,"January, 1914",2157,2170,DATE,1
19,FORESTER,2177,2185,ORG,1
20,FORESTER,2203,2211,ORG,1
21,Williams,2255,2263,PERSON,1
22,Bear Tooth,2267,2277,ORG,1
23,one,2280,2283,CARDINAL,1
24,West,2334,2338,LOC,1
25,at least one,2351,2363,CARDINAL,1
26,Concord,2372,2379,ORG,1
27,thanksgiving,2512,2524,DATE,1
28,190,2583,2586,CARDINAL,1
29,one hundred and twenty miles,2614,2642,QUANTITY,1
30,each week,2649,2658,DATE,1
31,the Grande River,3164,3180,LOC,1
32,Ute Park,3246,3254,LOC,1
33,the Continental Range,3299,3320,ORG,1
34,the Bear Tooth,3337,3351,FAC,1
35,west,3367,3371,LOC,1
36,Eastern,3423,3430,NORP,1
37,Dome Peak,3465,3474,LOC,1
38,cedars,3877,3883,LOC,1
39,late August,3944,3955,DATE,1
40,a few years ago,4630,4645,DATE,1
41,one summer day,4697,4711,DATE,1
42,Bill McCoy,4746,4756,PERSON,1
43,"else,”he",4831,4839,WORK_OF_ART,1
44,a half dozen,4855,4867,CARDINAL,1
45,Bill,4894,4898,PERSON,1
46,two,5176,5179,CARDINAL,1
47,Bill,5284,5288,PERSON,1
48,Connecticut,5431,5442,GPE,1
49,last fall,5559,5568,DATE,1
50,Bill,5975,5979,PERSON,1
51,"good,”he",6237,6245,PERSON,1
52,"command,“OH",6461,6472,GPE,1
53,howdy!”he,6569,6578,PERSON,1
54,Berrie,6759,6765,PERSON,1
55,yesterday,6814,6823,DATE,1
56,the hours,6943,6952,TIME,1
57,Molly,7054,7059,PERSON,1
58,Bill stared,7222,7233,PERSON,1
59,called:“Be,7270,7280,PERSON,1
60,Berrie,7290,7296,PERSON,1
61,Bill,7527,7531,PERSON,1
62,"this,”he",7648,7656,PERSON,1
63,Bill,7735,7739,PERSON,1
64,East,7827,7831,LOC,1
65,Bill,7915,7919,PERSON,1
66,Omaha,7957,7962,GPE,1
67,South Bend,7992,8002,GPE,1
68,Bill,8333,8337,PERSON,1
69,East,8446,8450,LOC,1
70,several weeks,8456,8469,DATE,1
71,Yancy,9291,9296,PERSON,1
72,Yancy,9353,9358,PERSON,1
73,log hut,9582,9589,ORG,1
74,cottonwood,9681,9691,GPE,1
75,sun-smit hills,9736,9750,ORG,1
76,the long morning 's,9754,9773,TIME,1
77,Eastern,9806,9813,ORG,1
78,Bill,9848,9852,PERSON,1
79,Bill,10050,10054,PERSON,1
80,explanation;“but,10176,10192,DATE,1
81,Bill,10240,10244,PERSON,1
82,East,10317,10321,LOC,1
83,three years old,10361,10376,DATE,1
84,East you,10384,10392,GPE,1
85,Kansas,10398,10404,GPE,1
86,"Missouri,”she",10413,10426,PERSON,1
87,Yancy,10898,10903,PERSON,1
88,last Saturday,11071,11084,DATE,1
89,jiggin,11150,11156,PERSON,1
90,Yancy,11186,11191,PERSON,1
91,ye,11292,11294,PERSON,1
92,ceptin,11449,11455,PERSON,1
93,half,11573,11577,CARDINAL,1
94,Yancy,11611,11616,PERSON,1
95,Berrie,11641,11647,PERSON,1
96,W. W. Norcross,11760,11774,PERSON,1
97,Yancy,11778,11783,PERSON,1
98,Yancy,11900,11905,PERSON,1
99,haf,12063,12066,ORG,1
100,One,12077,12080,CARDINAL,1
101,Berea McFarlane,12444,12459,ORG,1
102,Norcross,12611,12619,PERSON,1
103,Yancy,12690,12695,PERSON,1
104,Berrie,12705,12711,PERSON,1
105,Bear Tooth,12742,12752,ORG,1
106,Congress,12790,12798,ORG,1
107,Jim Worthy,12812,12822,PERSON,1
108,Berea,12839,12844,GPE,1
109,one,13117,13120,CARDINAL,1
110,one,13560,13563,CARDINAL,1
111,Yancy,13877,13882,PERSON,1
112,ye free,13941,13948,PERSON,1
113,Berrie,13950,13956,PERSON,1
114,Eastern,14100,14107,ORG,1
115,thirty miles,14311,14323,QUANTITY,1
116,sixty-mile,14394,14404,QUANTITY,1
117,Wisconsin,14494,14503,GPE,1
118,first,14573,14578,ORDINAL,1
119,Norcross said:“Wo,14624,14641,ORG,1
120,Bill,14751,14755,PERSON,1
121,Norcross,14768,14776,ORG,1
122,Bill,14990,14994,PERSON,1
123,Eastern,15177,15184,NORP,1
124,Bill,15194,15198,PERSON,1
125,West,15227,15231,LOC,1
126,some ten miles,15577,15591,QUANTITY,1
127,each hour,15698,15707,TIME,1
128,Moskow,15863,15869,GPE,1
129,Bill,15872,15876,PERSON,1
130,Norcross,16120,16128,PERSON,1
131,the little pole bridge,16174,16196,FAC,1
132,Easterner,16569,16578,PERSON,1
133,cedars,16638,16644,LOC,1
134,Mexican,16708,16715,NORP,1
135,Egyptian,16813,16821,NORP,1
136,first,17403,17408,ORDINAL,1
137,Norcross,17939,17947,PERSON,1
138,cedars,17976,17982,LOC,1
139,"plantings,”he",18258,18271,PERSON,1
140,A few miles,18527,18538,QUANTITY,1
141,Bear Tooth,18546,18556,ORG,1
142,East,18575,18579,LOC,1
143,Bill,18581,18585,PERSON,1
144,East,18603,18607,LOC,1
145,New Haven,18631,18640,GPE,1
146,Yale,18665,18669,ORG,1
147,New York,18693,18701,GPE,1
148,no!”she,18721,18728,GPE,1
149,earth,18778,18783,LOC,1
150,South,18809,18814,LOC,1
151,Kentucky,18833,18841,GPE,1
152,Missourian,18890,18900,NORP,1
153,Yale,18914,18918,ORG,1
154,Connecticut,18938,18949,GPE,1
155,Connecticut,18965,18976,GPE,1
156,New York City,19022,19035,GPE,1
157,The Nutmeg State,19076,19092,WORK_OF_ART,1
158,New York,19135,19143,GPE,1
159,Connecticut,19164,19175,GPE,1
160,Jersey,19188,19194,GPE,1
161,Denver,19361,19367,GPE,1
162,St. Louis,19395,19404,GPE,1
163,last spring,19584,19595,DATE,1
164,Meeker 's Mill,19685,19699,ORG,1
165,Meeker,19787,19793,PERSON,1
166,about fifteen miles,19850,19869,QUANTITY,1
167,Bear Tooth,19889,19899,ORG,1
168,"that,”he",19970,19978,ORG,1
169,Joe Meeker 's,20129,20142,PERSON,1
170,Bill surlily remarked:“If,20235,20260,PERSON,1
171,young feller,20280,20292,PERSON,1
172,Bear Tooth,20617,20627,ORG,1
173,valley,20932,20938,LOC,1
174,thousands of years,20962,20980,DATE,1
175,annual,21056,21062,DATE,1
176,Norcross,21072,21080,ORG,1
177,America,21166,21173,GPE,1
178,one,21210,21213,CARDINAL,1
179,nightfall,21634,21643,TIME,1
180,Bear Tooth,21675,21685,ORG,1
181,the Ute Plateau,21719,21734,LOC,1
182,Norcross,21737,21745,ORG,1
183,called:“Hello,22168,22181,ORG,1
184,Norcross,22248,22256,ORG,1
185,"Meeker 's,”she",22706,22720,ORG,1
186,Joseph McFarlane,22792,22808,PERSON,1
187,Forest,22814,22820,ORG,1
188,that?”Norcross,22903,22917,PERSON,1
189,Meeker,23030,23036,ORG,1
190,Kingdom Come,23046,23058,WORK_OF_ART,1
191,two,23206,23209,CARDINAL,1
192,One,23302,23305,CARDINAL,1
193,one,23636,23639,CARDINAL,1
194,the Gulf of Mexico,23686,23704,LOC,1
195,the Gulf of California,23816,23838,LOC,1
196,Colorado,23960,23968,GPE,1
197,each year,24569,24578,DATE,1
198,Forest Service,24634,24648,ORG,1
199,the Bear Tooth Forest,24799,24820,ORG,1
200,eight hundred thousand acres,24840,24868,QUANTITY,1
201,Bear Tooth Springs,24920,24938,ORG,1
202,the Cottage Hotel,25041,25058,ORG,1
203,Norcross,25340,25348,PERSON,1
204,one,25390,25393,CARDINAL,1
205,Bear Creek,25629,25639,ORG,1
206,Dome Mountain,25671,25684,LOC,1
207,Easterner,25700,25709,PERSON,1
208,McCoy,25928,25933,PERSON,1
209,Bill McCoy,25935,25945,PERSON,1
210,a half dozen,26478,26490,CARDINAL,1
211,half,27117,27121,CARDINAL,1
212,Norcross,27292,27300,ORG,1
213,some five or six,27336,27352,CARDINAL,1
214,Denver,27449,27455,GPE,1
215,Pueblo,27460,27466,GPE,1
216,English,27644,27651,LANGUAGE,1
217,New England,27836,27847,LOC,1
218,Norcross,27850,27858,ORG,1
219,East,27956,27960,LOC,1
220,York State,28052,28062,GPE,1
221,East,28105,28109,LOC,1
222,"Yes,”he replied",28142,28157,PERSON,1
223,four,28351,28355,CARDINAL,1
224,Norcross,28609,28617,PERSON,1
225,Norcross,28781,28789,ORG,1
226,the Forest Service,28849,28867,ORG,1
227,"exile,”he",29020,29029,PERSON,1
228,Meeker,29132,29138,PERSON,1
229,"him,“and",29246,29254,PERSON,1
230,Meeker,29316,29322,PERSON,1
231,Norcross,29668,29676,ORG,1
232,answered:“It,29950,29962,PERSON,1
233,Meeker 's Mill,30077,30091,ORG,1
234,Meeker,30145,30151,PERSON,1
235,some eighteen or twenty miles,30241,30270,QUANTITY,1
236,about thirty-five,30441,30458,CARDINAL,1
237,Norcross,30748,30756,PERSON,1
238,one,30938,30941,CARDINAL,1
239,Eli,31121,31124,ORG,1
240,Last year 's,31128,31140,DATE,1
241,ten,31188,31191,CARDINAL,1
242,Nash,31225,31229,PERSON,1
243,Eli,31417,31420,ORG,1
244,these days,31455,31465,DATE,1
245,Norcross,31540,31548,ORG,1
246,Michigan,31689,31697,GPE,1
247,Norcross,31795,31803,ORG,1
248,Norcross,32005,32013,ORG,1
249,yesterday,32126,32135,DATE,1
250,Berrie McFarlane,32146,32162,PERSON,1
251,McFarlane,32399,32408,PERSON,1
252,half,32466,32470,CARDINAL,1
253,Norcross,32510,32518,ORG,1
254,Meeker,32625,32631,ORG,1
255,day,32704,32707,DATE,1
256,day,32758,32761,DATE,1
257,Norcross,32843,32851,ORG,1
258,Eastern,32987,32994,NORP,1
259,"stage,”he",33146,33155,ORG,1
260,the night,33278,33287,TIME,1
261,Berea McFarlane,33446,33461,PERSON,1
262,morning,33468,33475,TIME,1
263,"Emery,”she",33477,33487,PERSON,1
264,Norcross,33540,33548,ORG,1
265,this morning,33575,33587,TIME,1
266,Berrie,33811,33817,PERSON,1
267,Meeker,34085,34091,PERSON,1
268,the Supervisor?”asked Nash,34250,34276,PERSON,1
269,Moore,34299,34304,PERSON,1
270,Saturday,34404,34412,DATE,1
271,Norcross,34469,34477,PERSON,1
272,two or three days,34503,34520,DATE,1
273,Norcross,34611,34619,ORG,1
274,Norcross,34925,34933,PERSON,1
275,some one,35053,35061,CARDINAL,1
276,"else,”he",35062,35070,PRODUCT,1
277,Norcross,35497,35505,ORG,1
278,Nash,35518,35522,PERSON,1
279,only a few miles,35623,35639,QUANTITY,1
280,valley,35649,35655,LOC,1
281,One,35729,35732,CARDINAL,1
282,ten miles,35811,35820,QUANTITY,1
283,McFarlane,35849,35858,PERSON,1
284,"Yes,”agreed Nash",35874,35890,PERSON,1
285,“She,35926,35930,PERSON,1
286,Cliff Belden,36015,36027,PERSON,1
287,Norcross,36062,36070,ORG,1
288,Belden,36150,36156,ORG,1
289,Meeker,36261,36267,PERSON,1
290,Landon,36310,36316,ORG,1
291,Landon,36366,36372,PERSON,1
292,Harvard,36382,36389,ORG,1
293,half-mile,36434,36443,QUANTITY,1
294,Meeker 's,36449,36458,ORG,1
295,Alec Belden,36502,36513,PERSON,1
296,Cliff,36605,36610,PERSON,1
297,Norcross,36700,36708,ORG,1
298,first,36796,36801,ORDINAL,1
299,only the day before,36807,36826,DATE,1
300,Meeker,36867,36873,PERSON,1
301,two,36949,36952,CARDINAL,1
302,McFarlane,37076,37085,PERSON,1
303,one,37242,37245,CARDINAL,1
304,Nash,37383,37387,PERSON,1
305,one,37417,37420,CARDINAL,1
306,Sunday,37728,37734,DATE,1
307,Tyrol,37917,37922,LOC,1
308,some day,37941,37949,DATE,1
309,only a few hours,38079,38095,TIME,1
310,Norcross,38100,38108,PERSON,1
311,valley,38124,38130,LOC,1
312,Nash,38158,38162,PERSON,1
313,one,38187,38190,CARDINAL,1
314,two,38194,38197,CARDINAL,1
315,the second morning,38469,38487,TIME,1
316,Meeker,38588,38594,PERSON,1
317,Berea,38683,38688,GPE,1
318,this morning,38846,38858,TIME,1
319,Uncle Joe,39160,39169,PERSON,1
320,Uncle Joe,39370,39379,PERSON,1
321,Norcross,39633,39641,PERSON,1
322,first,39658,39663,ORDINAL,1
323,ready?”she,39686,39696,GPE,1
324,twenty minutes,39791,39805,TIME,1
325,Berea,39871,39876,GPE,1
326,Norcross,39923,39931,ORG,1
327,Berrie,40096,40102,PERSON,1
328,"school,”he",40178,40188,DATE,1
329,the other day,40336,40349,DATE,1
330,Norcross,40504,40512,ORG,1
331,valley,40756,40762,LOC,1
332,lofty heights,40809,40822,GPE,1
333,a mile,41058,41064,QUANTITY,1
334,two,41068,41071,CARDINAL,1
335,Berea,41073,41078,GPE,1
336,one,41176,41179,CARDINAL,1
337,half,41187,41191,CARDINAL,1
338,half,41197,41201,CARDINAL,1
339,Easterner,41368,41377,PERSON,1
340,a few feet,41493,41503,QUANTITY,1
341,Berea,41725,41730,GPE,1
342,Norcross,41914,41922,PERSON,1
343,Berrie,41964,41970,PERSON,1
344,McFarlane,41978,41987,PERSON,1
345,Mill,42108,42112,LOC,1
