,name,start_pos,end_pos,tag,score
0,George O. Smith,3,18,PERSON,1
1,fifth,24,29,ORDINAL,1
2,seven,144,149,CARDINAL,1
3,Paul Brennan,197,209,PERSON,1
4,Kipling 's Jungle Tales,371,394,FAC,1
5,Spitz Junior Planetarium,398,422,FAC,1
6,geiger,475,481,PERSON,1
7,eight,566,571,CARDINAL,1
8,Jimmy Holden,594,606,PERSON,1
9,five,657,661,CARDINAL,1
10,Uncle” Paul Brennan,731,750,WORK_OF_ART,1
11,evening,822,829,TIME,1
12,three,844,849,CARDINAL,1
13,Paul Brennan 's,893,908,PERSON,1
14,just after eleven o'clock,919,944,TIME,1
15,Jimmy Holden,946,958,PERSON,1
16,hand?”Father,1276,1288,FAC,1
17,Jimmy,1402,1407,PERSON,1
18,Jimmy,1444,1449,PERSON,1
19,"games,”he",1578,1587,PERSON,1
20,Jimmy Holden,1978,1990,PERSON,1
21,half-mile,2008,2017,QUANTITY,1
22,"slowly,“can",2056,2067,ORG,1
23,Uncle Paul,2360,2370,PERSON,1
24,James,2462,2467,PERSON,1
25,Jimmy Holden 's,2627,2642,PERSON,1
26,One,3020,3023,CARDINAL,1
27,four,3033,3037,CARDINAL,1
28,five,3086,3090,CARDINAL,1
29,three,3130,3135,CARDINAL,1
30,four,3172,3176,CARDINAL,1
31,Jimmy 's,3180,3188,ORG,1
32,one,3225,3228,CARDINAL,1
33,two,3256,3259,CARDINAL,1
34,Jimmy Holden 's,3351,3366,PERSON,1
35,Jimmy Holden,3813,3825,PERSON,1
36,half,3950,3954,CARDINAL,1
37,Jimmy felt,4490,4500,PERSON,1
38,three,5089,5094,CARDINAL,1
39,third,5290,5295,ORDINAL,1
40,one,5978,5981,CARDINAL,1
41,Jimmy,6126,6131,PERSON,1
42,afterfright,6183,6194,PERSON,1
43,Jimmy,6493,6498,PRODUCT,1
44,Jimmy Holden,6974,6986,PERSON,1
45,one,7159,7162,CARDINAL,1
46,earth,7254,7259,LOC,1
47,Jimmy Holden,7368,7380,PERSON,1
48,Jimmy 's,7528,7536,ORG,1
49,second,7661,7667,ORDINAL,1
50,Jimmy Holden,7746,7758,PERSON,1
51,that!”said,8017,8027,PERSON,1
52,Jimmy Holden,8164,8176,PERSON,1
53,one,8481,8484,CARDINAL,1
54,one,9003,9006,CARDINAL,1
55,one,9334,9337,CARDINAL,1
56,Jimmy Holden 's,9548,9563,PRODUCT,1
57,Uncle,9565,9570,WORK_OF_ART,1
58,Paul Brennan,9572,9584,PERSON,1
59,Jimmy Holden,9614,9626,PERSON,1
60,Paul Brennan,9730,9742,PERSON,1
61,Jimmy Holden,10010,10022,PERSON,1
62,Uncle,10052,10057,WORK_OF_ART,1
63,Paul Brennan,10059,10071,PERSON,1
64,Paul Brennan,10324,10336,PERSON,1
65,Jimmy Holden,10338,10350,PERSON,1
66,Jimmy Holden,10553,10565,PERSON,1
67,Jimmy Holden,10805,10817,PERSON,1
68,Paul Brennan,10875,10887,PERSON,1
69,Jimmy Holden,11109,11121,PERSON,1
70,Brennan,11152,11159,PERSON,1
71,Jimmy Holden,11236,11248,PERSON,1
72,one,11277,11280,CARDINAL,1
73,Jimmy Holden,11775,11787,PERSON,1
74,five-year-olds,11804,11818,DATE,1
75,Brennan 's,12355,12365,ORG,1
76,"out,“Hello",12514,12524,ORG,1
77,Brennan,12540,12547,PERSON,1
78,"back,“Hello",12684,12695,PRODUCT,1
79,Brennan,12764,12771,PERSON,1
80,second,12923,12929,ORDINAL,1
81,Brennan,12987,12994,PERSON,1
82,Brennan,13075,13082,PERSON,1
83,blooey,13183,13189,PERSON,1
84,Two,13225,13228,CARDINAL,1
85,Brennan,13240,13247,PERSON,1
86,"to,“and",13279,13286,ORG,1
87,Holdens,13465,13472,ORG,1
88,Brennan,13585,13592,PERSON,1
89,Paul Brennan 's,13709,13724,PERSON,1
90,Paul Brennan,13943,13955,PERSON,1
91,a few seconds,13976,13989,TIME,1
92,third,14065,14070,ORDINAL,1
93,Jimmy Holden,14195,14207,PERSON,1
94,Jimmy Holden,14555,14567,PERSON,1
95,Jimmy,14927,14932,PERSON,1
96,Jimmy,15057,15062,PERSON,1
97,"him,”said Brennan",15149,15166,PERSON,1
98,Jimmy,15183,15188,ORG,1
99,Brennan,15325,15332,PERSON,1
100,"it,”said",15373,15381,PERSON,1
101,Jimmy Holden,15545,15557,PERSON,1
102,Brennan,15559,15566,PERSON,1
103,Jimmy,15637,15642,PRODUCT,1
104,Jimmy,15658,15663,PERSON,1
105,Brennan,15707,15714,PERSON,1
106,Paul Brennan,15990,16002,PERSON,1
107,Jimmy Holden,16140,16152,PERSON,1
108,two,16358,16361,CARDINAL,1
109,Jimmy,16438,16443,PERSON,1
110,Jimmy Holden,16629,16641,PERSON,1
111,Paul Brennan 's,16700,16715,PERSON,1
112,Jimmy,16732,16737,PERSON,1
113,Paul Brennan 's,16759,16774,PERSON,1
114,Jimmy,16803,16808,PERSON,1
115,Brennan,16849,16856,PERSON,1
116,Brennan,16905,16912,PERSON,1
117,Jimmy Holden,17135,17147,PERSON,1
118,ten hours,17172,17181,TIME,1
119,James Quincy Holden,17554,17573,PERSON,1
120,Jimmy Holden,17723,17735,PERSON,1
121,the Jungle Book,18008,18023,WORK_OF_ART,1
122,the Spitz Planetarium,18048,18069,ORG,1
123,first,18487,18492,ORDINAL,1
124,Jimmy Holden 's,18890,18905,PERSON,1
125,Paul Brennan,18995,19007,PERSON,1
126,Jack,19115,19119,PERSON,1
127,Paul Brennan,19182,19194,PERSON,1
128,District,19228,19236,LOC,1
129,James Quincy Holden,19301,19320,PERSON,1
130,Jimmy,19411,19416,PERSON,1
131,Jimmy Holden,19578,19590,PERSON,1
132,Paul Brennan,19834,19846,PERSON,1
133,one,19868,19871,CARDINAL,1
134,the Holden Estate,19904,19921,ORG,1
135,Jimmy Holden,20019,20031,PERSON,1
136,only one,20279,20287,CARDINAL,1
137,one,20329,20332,CARDINAL,1
138,Paul Brennan,20344,20356,PERSON,1
139,all the long years,20421,20439,DATE,1
140,Brennan,20491,20498,PERSON,1
141,his years,20594,20603,DATE,1
142,Jimmy Holden,20605,20617,PERSON,1
143,three,20831,20836,CARDINAL,1
144,Holdens,20837,20844,ORG,1
145,Paul Brennan,20856,20868,PERSON,1
146,Paul Brennan 's,21018,21033,PERSON,1
147,Jimmy Holden 's,21090,21105,PRODUCT,1
148,Paul Brennan,21649,21661,PERSON,1
149,James Quincy Holden,21718,21737,PERSON,1
150,five-year-old,21807,21820,DATE,1
151,forty-one inches,21831,21847,QUANTITY,1
152,thirty-nine pounds,21865,21883,QUANTITY,1
153,two,21913,21916,CARDINAL,1
154,five-pound,21935,21945,QUANTITY,1
