,name,start_pos,end_pos,tag,score
0,GEORGE WATCHED,1,15,WORK_OF_ART,1
1,SYLVIA,16,22,PERSON,1
2,only one,138,146,CARDINAL,1
3,two,150,153,CARDINAL,1
4,Sylvia,166,172,PERSON,1
5,Lambert,473,480,PERSON,1
6,Lambert,577,584,PERSON,1
7,Sylvia,1177,1183,PERSON,1
8,George,1305,1311,PERSON,1
9,"Only,”George",1316,1328,ORG,1
10,Georgie,1604,1611,PERSON,1
11,George,1782,1788,PERSON,1
12,The afternoon,1979,1992,TIME,1
13,a few months ago,2141,2157,DATE,1
14,Oakmont,2205,2212,ORG,1
15,Old Planter,2218,2229,ORG,1
16,George,2280,2286,PERSON,1
17,weekly,2617,2623,DATE,1
18,the great house,2629,2644,FAC,1
19,briar,2853,2858,ORG,1
20,"trouble,”he",2982,2993,PERSON,1
21,George,3001,3007,PERSON,1
22,"have,”he",3227,3235,ORG,1
23,one,3287,3290,CARDINAL,1
24,Sylvia,3371,3377,PERSON,1
25,Sylvia,3457,3463,PERSON,1
26,"have,”George",3481,3493,ORG,1
27,minute,3624,3630,TIME,1
28,Georgie,3903,3910,PERSON,1
29,"Depends,”George",3954,3969,ORG,1
30,George squared,4210,4224,PERSON,1
31,Planter,4302,4309,PERSON,1
32,Morton,4399,4405,PERSON,1
33,George,4409,4415,PERSON,1
34,Sylvia,4674,4680,PERSON,1
35,Morton,4740,4746,PERSON,1
36,George,4804,4810,PERSON,1
37,Old Planter,4815,4826,WORK_OF_ART,1
38,Georgie,4880,4887,PERSON,1
39,"opened,”he",5064,5074,PERSON,1
40,Sylvia,5190,5196,PERSON,1
41,"No,”she",5381,5388,PERSON,1
42,some day,5446,5454,DATE,1
43,Sylvia,5773,5779,PERSON,1
44,George,5789,5795,PERSON,1
45,"money,”he",5952,5961,PERSON,1
46,Young Morton!,6068,6081,WORK_OF_ART,1
47,Morton,6095,6101,PERSON,1
48,"Lambert,”she",6116,6128,PERSON,1
49,George,6151,6157,PERSON,1
50,Sylvia,6174,6180,PERSON,1
51,Ma,6250,6252,PERSON,1
52,Morton,6387,6393,PERSON,1
53,Morton,6401,6407,PERSON,1
54,"George,”she",6433,6444,PERSON,1
55,Lambert,6486,6493,PERSON,1
56,Lambert Planter,6907,6922,PERSON,1
57,Sylvia,7045,7051,PERSON,1
58,George,7102,7108,PERSON,1
59,George,7124,7130,PERSON,1
60,Lambert Planter,7218,7233,ORG,1
61,Sylvia,7334,7340,PERSON,1
62,Lambert,7385,7392,PERSON,1
63,two,7444,7447,CARDINAL,1
64,first,7498,7503,ORDINAL,1
65,Sylvia,7516,7522,PERSON,1
66,Lambert,7656,7663,PERSON,1
67,Morton,7877,7883,PERSON,1
68,Lambert,7887,7894,PERSON,1
69,George,7928,7934,PERSON,1
70,George,8105,8111,PERSON,1
71,Sylvia,8201,8207,PERSON,1
72,Lambert Planter,8246,8261,PERSON,1
73,this afternoon,8407,8421,TIME,1
74,Morton,8627,8633,PERSON,1
75,George 's chin,8683,8697,PERSON,1
76,Lambert,8819,8826,PERSON,1
77,George,8844,8850,PERSON,1
78,Sylvia,8967,8973,PERSON,1
79,Lambert,9008,9015,PERSON,1
80,George,9029,9035,PERSON,1
81,two,9039,9042,CARDINAL,1
82,one,9061,9064,CARDINAL,1
83,one,9112,9115,CARDINAL,1
84,Lambert,9122,9129,PERSON,1
85,George,9167,9173,PERSON,1
86,Lambert,9249,9256,PERSON,1
87,George,9309,9315,PERSON,1
