,name,start_pos,end_pos,tag,score
0,a hot day,300,309,DATE,1
1,Steve Rush,723,733,PERSON,1
2,Bob Jarvis,738,748,PERSON,1
3,Jarvis,1205,1211,PERSON,1
4,twenty,1348,1354,CARDINAL,1
5,Rush,1429,1433,GPE,1
6,Bob Jarvis,1437,1447,PERSON,1
7,a day,1569,1574,DATE,1
8,Steve,1601,1606,PERSON,1
9,Steve Rush,1784,1794,PERSON,1
10,one,1979,1982,CARDINAL,1
11,Steelburgh,2053,2063,LOC,1
12,the Iron and Steel Police,2189,2214,ORG,1
13,the accident department,2267,2290,ORG,1
14,Steve,2301,2306,PERSON,1
15,Navy,2518,2522,ORG,1
16,Steve,2678,2683,PERSON,1
17,card!”demanded,2808,2822,ORG,1
18,The Iron and Steel Police,2974,2999,ORG,1
19,Steve,3085,3090,PERSON,1
20,daily,3267,3272,DATE,1
21,several weeks,3278,3291,DATE,1
22,Steve,3553,3558,PERSON,1
23,twenty-four,3609,3620,CARDINAL,1
24,three,3862,3867,CARDINAL,1
25,Steve,4052,4057,PERSON,1
26,Ye,4088,4090,PERSON,1
27,one,4536,4539,CARDINAL,1
28,one,4608,4611,CARDINAL,1
29,"it,”muttered Steve",4623,4641,ORG,1
30,the Iron and Steel Police,4854,4879,ORG,1
31,two,5231,5234,CARDINAL,1
32,Steve,5739,5744,PERSON,1
33,twenty-four,5782,5793,CARDINAL,1
34,Steve,5957,5962,PERSON,1
35,half,6027,6031,CARDINAL,1
36,Rush,6252,6256,PERSON,1
37,half a dozen,6305,6317,CARDINAL,1
38,Burned?”questioned Steve,6471,6495,PERSON,1
39,first,6740,6745,ORDINAL,1
40,Steve,7101,7106,PERSON,1
41,only a few minutes,7296,7314,TIME,1
42,Steve,7357,7362,PERSON,1
43,first,7439,7444,ORDINAL,1
44,one,7638,7641,CARDINAL,1
45,Rush,7793,7797,PERSON,1
46,first,8285,8290,ORDINAL,1
47,Bill Foley,8665,8675,PERSON,1
48,first,8899,8904,ORDINAL,1
49,daily,9047,9052,DATE,1
50,first,9097,9102,ORDINAL,1
51,Foley,9217,9222,PERSON,1
52,Two,9311,9314,CARDINAL,1
53,first,9380,9385,ORDINAL,1
54,Steve,9722,9727,PERSON,1
55,Foley,10019,10024,PERSON,1
56,"home,”he",10199,10207,PERSON,1
57,Four,10281,10285,CARDINAL,1
58,two,10370,10373,CARDINAL,1
59,first,10504,10509,ORDINAL,1
60,Steve,10629,10634,PERSON,1
61,Steve,11269,11274,PERSON,1
62,one,11278,11281,CARDINAL,1
63,Steve Rush,11480,11490,PERSON,1
64,Bob Jarvis,11495,11505,PERSON,1
65,THE IRON BOYS IN THE MINES,11539,11565,WORK_OF_ART,1
66,Jack Iron,11662,11671,PERSON,1
67,first,11891,11896,ORDINAL,1
68,years,12027,12032,DATE,1
69,THE IRON BOYS AS FOREMEN,12309,12333,WORK_OF_ART,1
70,Steve Rush,12336,12346,PERSON,1
71,Bob Jarvis,12351,12361,PERSON,1
72,the Iron Boys,13297,13310,PERSON,1
73,second,13410,13416,ORDINAL,1
74,THE IRON BOYS ON THE GREAT LAKES,13531,13563,WORK_OF_ART,1
75,first,13777,13782,ORDINAL,1
76,the stoke hole,13958,13972,LOC,1
77,Steve Rush,14051,14061,PERSON,1
78,the Great Lakes,14139,14154,LOC,1
79,earth,14264,14269,LOC,1
80,Keating,14515,14522,PERSON,1
81,first,14886,14891,ORDINAL,1
82,night,15172,15177,TIME,1
83,Keating,15242,15249,PERSON,1
84,the Iron Boys,15286,15299,PERSON,1
85,Bob,15452,15455,PERSON,1
86,Steve,15460,15465,PERSON,1
87,Steve Rush,15677,15687,PERSON,1
88,Bob Jarvis,15692,15702,PERSON,1
89,Steve,15708,15713,PERSON,1
90,The Iron Boys,16131,16144,PERSON,1
91,Steve,16270,16275,PERSON,1
92,"to,”requested Rush",16863,16881,PERSON,1
93,Steve,17026,17031,PERSON,1
94,Steve,17113,17118,PERSON,1
95,Ignatz,17203,17209,PERSON,1
96,Polish,17279,17285,NORP,1
97,Steve,17296,17301,PERSON,1
98,Brodsky,17464,17471,PERSON,1
99,morrow,17632,17638,DATE,1
100,Ignatz,17671,17677,PERSON,1
101,first,18045,18050,ORDINAL,1
102,second,18206,18212,ORDINAL,1
103,Ignatz,18220,18226,PERSON,1
104,Steve,18329,18334,PERSON,1
105,Polish,18375,18381,NORP,1
106,the Iron Boy,18747,18759,FAC,1
107,Steve,18824,18829,PERSON,1
108,seven,19223,19228,CARDINAL,1
109,Bill Foley,19230,19240,PERSON,1
110,the accident department,19261,19284,ORG,1
111,Steve,19392,19397,PERSON,1
112,Bob Jarvis,19480,19490,PERSON,1
113,Steve,19554,19559,PERSON,1
114,Bob,19583,19586,PERSON,1
115,Bob,19720,19723,PERSON,1
116,Steve,19765,19770,PERSON,1
117,Rush,19862,19866,PERSON,1
118,The Iron Boy,19870,19882,PERSON,1
119,"Keating,”apologized Steve",19986,20011,PERSON,1
120,Rush 's,20244,20251,WORK_OF_ART,1
121,Rush,20400,20404,PERSON,1
122,Keating,20500,20507,PERSON,1
123,Steve Rush,20801,20811,PERSON,1
124,Keating,21739,21746,PERSON,1
125,first,22018,22023,ORDINAL,1
126,Jarvis,22421,22427,PERSON,1
127,the past two or three years,22636,22663,DATE,1
128,Keating,22669,22676,PERSON,1
129,Will Jarvis,22728,22739,PERSON,1
130,Keating,23143,23150,PERSON,1
131,only one,23161,23169,CARDINAL,1
132,years,23260,23265,DATE,1
133,Keating,23696,23703,PERSON,1
134,Steve Rush,23876,23886,PERSON,1
135,Keating,23900,23907,PERSON,1
136,the Iron Boy,24004,24016,ORG,1
137,Carrhart,24090,24098,PERSON,1
138,two,24149,24152,CARDINAL,1
139,Keating,24175,24182,PERSON,1
140,twelve dollars,24429,24443,MONEY,1
141,first,24584,24589,ORDINAL,1
142,many years,24720,24730,DATE,1
143,more than a hundred dollars,24997,25024,MONEY,1
144,twelve dollars,25156,25170,MONEY,1
145,weekly,25171,25177,DATE,1
146,twenty-five dollars,25223,25242,MONEY,1
147,twelve,25253,25259,CARDINAL,1
148,as far as dollars,25285,25302,MONEY,1
149,one,25361,25364,CARDINAL,1
150,the Board of Directors,26039,26061,ORG,1
151,two-thirds,26079,26089,CARDINAL,1
152,Keating,26728,26735,PERSON,1
153,Wait a moment,27194,27207,WORK_OF_ART,1
154,Keating,27308,27315,PERSON,1
155,Keating,27546,27553,PERSON,1
156,Steve,27652,27657,PERSON,1
157,pitmen,28081,28087,NORP,1
158,Keating,28335,28342,PERSON,1
159,morning,28443,28450,TIME,1
160,seven,28591,28596,CARDINAL,1
161,Foley,28598,28603,PERSON,1
162,Steve,28649,28654,PERSON,1
163,Foley,28668,28673,PERSON,1
164,that day,28740,28748,DATE,1
165,Rush,28754,28758,ORG,1
166,Bob Jarvis,28945,28955,PERSON,1
167,Steve,28988,28993,PERSON,1
168,Bob,29032,29035,PERSON,1
169,twelve dollars,29135,29149,MONEY,1
170,the following morning,29201,29222,TIME,1
171,two,29227,29230,CARDINAL,1
172,seven,29279,29284,CARDINAL,1
173,Bill Foley,29293,29303,PERSON,1
174,seven,29484,29489,CARDINAL,1
175,Foley,29499,29504,PERSON,1
176,Foley,29857,29862,PERSON,1
177,Foley,29931,29936,PERSON,1
178,pitman,29945,29951,PERSON,1
179,Pole,29958,29962,LOC,1
180,Watski Kalinski,29969,29984,PERSON,1
181,Foley,30323,30328,PERSON,1
182,two,30358,30361,CARDINAL,1
183,seven,30377,30382,CARDINAL,1
184,Watski,30414,30420,PERSON,1
185,Watski,30696,30702,PERSON,1
186,Foley,30759,30764,PERSON,1
187,this morning,30780,30792,TIME,1
188,later in the day,30838,30854,TIME,1
189,Watski,30888,30894,PERSON,1
190,Bob,30929,30932,PERSON,1
191,Steve,30937,30942,PERSON,1
192,name?”he,31135,31143,PERSON,1
193,Rush,31155,31159,WORK_OF_ART,1
194,Watski,31163,31169,PERSON,1
195,Rush,31232,31236,PERSON,1
196,Steve,31512,31517,PERSON,1
197,Kalinski,31571,31579,PERSON,1
198,Bob Jarvis,31750,31760,PERSON,1
199,Watski,31862,31868,PERSON,1
200,Jarvis,31976,31982,PERSON,1
201,Bob,32016,32019,PERSON,1
202,Steve,32124,32129,PERSON,1
203,Pole,32268,32272,LOC,1
204,a few minutes later with two,32305,32333,TIME,1
205,"do,”demanded Steve",32526,32544,PERSON,1
206,Bob,32742,32745,PERSON,1
207,Watski,32747,32753,PERSON,1
208,Steve,32843,32848,PERSON,1
209,Bob,32969,32972,PERSON,1
210,Watski,33128,33134,PERSON,1
211,Jarvis,33152,33158,PERSON,1
212,more than two,33216,33229,CARDINAL,1
213,some fifteen feet,33273,33290,QUANTITY,1
214,Bob,33347,33350,PERSON,1
215,Steve,33508,33513,PERSON,1
216,Bob,33523,33526,PERSON,1
217,Watski,33614,33620,ORG,1
218,Steve,33795,33800,PERSON,1
219,Bob,33925,33928,PERSON,1
220,Steve,34081,34086,PERSON,1
221,Jarvis,34230,34236,PERSON,1
222,Bob,34384,34387,PERSON,1
223,Foley,34500,34505,PERSON,1
224,Steve,34656,34661,PERSON,1
225,Kalinski,34808,34816,PERSON,1
226,"This time,”added Rush",34820,34841,WORK_OF_ART,1
227,Foley,35090,35095,PERSON,1
228,Foley,35302,35307,PERSON,1
229,Watski Kalinski,35515,35530,PERSON,1
230,"me,”growled Bob",35615,35630,PERSON,1
231,Kalinski,35953,35961,PERSON,1
232,Steve,36023,36028,PERSON,1
233,Watski,36167,36173,PERSON,1
234,the next minute,36266,36281,TIME,1
235,Bob Jarvis,36449,36459,PERSON,1
236,Steve,36557,36562,PERSON,1
237,Rush,36566,36570,PERSON,1
238,Watski,36712,36718,PERSON,1
239,Pole,36943,36947,LOC,1
240,Steve,36999,37004,PERSON,1
241,Kalinski,37041,37049,PERSON,1
242,Bob,37088,37091,PERSON,1
243,Watski,37163,37169,PERSON,1
244,Pole,37395,37399,LOC,1
245,Kalinski,37493,37501,PERSON,1
246,Bob,37766,37769,PERSON,1
247,“He,37770,37773,PERSON,1
248,only half,37816,37825,CARDINAL,1
249,Bob,37932,37935,PERSON,1
250,Watski,38195,38201,PERSON,1
251,Steve,38220,38225,PERSON,1
252,Foley,38448,38453,PERSON,1
253,Kalinski,38653,38661,PERSON,1
254,Foley,38813,38818,PERSON,1
255,Foley,38913,38918,PERSON,1
256,one,38990,38993,CARDINAL,1
257,Kalinski,39221,39229,PERSON,1
258,Steve,39321,39326,PERSON,1
259,Bob,39378,39381,PERSON,1
260,Watski,39448,39454,PERSON,1
261,Kalinski,39591,39599,PERSON,1
262,Watski,39723,39729,ORG,1
263,Steve,39789,39794,PERSON,1
264,Rush,39850,39854,GPE,1
265,Watski Kalinski,39932,39947,PERSON,1
266,The Iron Boy 's,39997,40012,ORG,1
267,Pole,40080,40084,LOC,1
268,Foley,40087,40092,PERSON,1
269,Leggo,40182,40187,PERSON,1
270,Leggo,40199,40204,PERSON,1
271,Rush,40526,40530,PERSON,1
272,Kalinski,40568,40576,PERSON,1
273,Bill Foley,40623,40633,PERSON,1
274,Rush,40719,40723,PERSON,1
275,Foley,40825,40830,PERSON,1
276,Jarvis,40944,40950,PERSON,1
277,Bob,40967,40970,PERSON,1
278,Foley,40991,40996,PERSON,1
279,one,41220,41223,CARDINAL,1
280,Jarvis,41244,41250,PERSON,1
281,Foley,41253,41258,PERSON,1
282,the Iron Boy,41268,41280,FAC,1
283,Jarvis,41515,41521,PERSON,1
284,one,41691,41694,CARDINAL,1
285,Bill,41703,41707,PERSON,1
286,"Bob,”warned Rush",41810,41826,PERSON,1
287,Bob,41829,41832,PERSON,1
288,Kalinski,42044,42052,PERSON,1
289,Steve,42121,42126,PERSON,1
290,Pole,42133,42137,LOC,1
291,Kalinski,42210,42218,GPE,1
292,s. Steve,42220,42228,PERSON,1
293,Rush,42327,42331,ORG,1
294,first,42363,42368,ORDINAL,1
295,Pole,42373,42377,LOC,1
296,Steve Rush,42582,42592,PERSON,1
297,Kalinski,42662,42670,PERSON,1
298,two days,42840,42848,DATE,1
299,Foley,42866,42871,PERSON,1
300,Bill Foley,43571,43581,PERSON,1
301,Bob,43636,43639,PERSON,1
302,Steve,43642,43647,PERSON,1
303,Jarvis,43667,43673,PERSON,1
304,two,43846,43849,CARDINAL,1
305,Kalinski,43893,43901,PERSON,1
306,Foley,43935,43940,PERSON,1
307,Bob,44225,44228,PERSON,1
308,Jarvis,44557,44563,PERSON,1
309,Steve,44632,44637,PERSON,1
310,Bob,44693,44696,PERSON,1
311,Kalinski,44772,44780,PERSON,1
312,"up,”snarled",45037,45048,ORG,1
313,Steve,45277,45282,PERSON,1
314,Watski,45523,45529,PERSON,1
315,Steve,45730,45735,PERSON,1
316,Pole,45887,45891,LOC,1
317,Bob,45945,45948,PERSON,1
318,Jarvis,46157,46163,PERSON,1
319,Bob,46440,46443,PERSON,1
320,Jarvis,46608,46614,PERSON,1
321,Jarvis,46793,46799,PERSON,1
322,Kalinski,46825,46833,PERSON,1
323,two,46859,46862,CARDINAL,1
324,lummoxes,46868,46876,PERSON,1
325,number eight,46926,46938,CARDINAL,1
326,Bob,47041,47044,PERSON,1
327,Watski,47067,47073,PERSON,1
328,week,47187,47191,DATE,1
329,Jarvis,47313,47319,PERSON,1
330,Kalinski,47381,47389,PERSON,1
331,Jarvis,47442,47448,PERSON,1
332,Bob,47771,47774,PERSON,1
333,half,47792,47796,CARDINAL,1
334,Jarvis,47850,47856,PERSON,1
335,Kalinski,47950,47958,PERSON,1
336,Bob,48032,48035,PERSON,1
337,Bob,48168,48171,PERSON,1
338,Steve,48302,48307,PERSON,1
339,there?”he,48394,48403,CARDINAL,1
340,"Watering the plants,”scoffed Jarvis",48415,48450,WORK_OF_ART,1
341,Kalinski,48603,48611,PERSON,1
342,Bob,48727,48730,PERSON,1
343,eight,48790,48795,CARDINAL,1
344,Jarvis,49319,49325,PERSON,1
345,Jarvis,49595,49601,PERSON,1
346,first,49649,49654,ORDINAL,1
347,Steve,49745,49750,PERSON,1
348,Bob,50012,50015,PERSON,1
349,two,50247,50250,CARDINAL,1
350,Bob,50257,50260,PERSON,1
351,one,50386,50389,CARDINAL,1
352,Steve,50451,50456,PERSON,1
353,Puff,50499,50503,ORG,1
354,Jarvis,50578,50584,PERSON,1
355,Bob Jarvis 's,50697,50710,PERSON,1
356,Bob Jarvis,51066,51076,PERSON,1
357,Kalinski,51272,51280,PERSON,1
358,Jarvis,51338,51344,PERSON,1
359,Steve Rush,51998,52008,PERSON,1
360,Steve,52105,52110,PERSON,1
361,seven,52141,52146,CARDINAL,1
362,half,52651,52655,CARDINAL,1
363,"me,”thought the lad",52737,52756,PERSON,1
364,Steve,53234,53239,PERSON,1
365,seven,53673,53678,CARDINAL,1
366,m fa-fast,53850,53859,PERSON,1
367,Ignatz Brodsky,53897,53911,PERSON,1
368,Steve,54018,54023,PERSON,1
369,Ignatz,54057,54063,PERSON,1
370,that morning,54073,54085,TIME,1
371,the Iron Boys,54217,54230,WORK_OF_ART,1
372,Ignatz,54240,54246,PERSON,1
373,Steve,54289,54294,PERSON,1
374,Bob Jarvis,54455,54465,PERSON,1
375,Brodsky,54549,54556,PERSON,1
376,Steve,54659,54664,PERSON,1
377,second,54706,54712,ORDINAL,1
378,somebody!”exclaimed Ignatz,54732,54758,PERSON,1
379,Kalinski,54799,54807,PERSON,1
380,first,54891,54896,ORDINAL,1
381,Pole,54905,54909,LOC,1
382,Watski,54986,54992,PERSON,1
383,Brodsky,55600,55607,ORG,1
384,two,55666,55669,CARDINAL,1
385,Steve,55757,55762,PERSON,1
386,The Iron Boy,55768,55780,PERSON,1
