,name,start_pos,end_pos,tag,score
0,Americans,42,51,NORP,1
1,Spanish,96,103,NORP,1
2,Spaniards,152,161,NORP,1
3,William Dean Howells,391,411,PERSON,1
4,one,443,446,CARDINAL,1
5,America,560,567,GPE,1
6,Senor Armando Palacio Valdes,741,769,WORK_OF_ART,1
7,La Alegria del Capitan Ribot,772,800,WORK_OF_ART,1
8,Howells,821,828,PERSON,1
9,Valencia,992,1000,GPE,1
10,one,1002,1005,CARDINAL,1
11,earth,1013,1018,LOC,1
12,the spot ages ago,1090,1107,DATE,1
13,Mediterranean,1178,1191,LOC,1
14,Valdes,1341,1347,PERSON,1
15,one,1630,1633,CARDINAL,1
16,Senor Valdes,1839,1851,PERSON,1
17,French,1984,1990,NORP,1
18,A Married Woman,2041,2056,WORK_OF_ART,1
19,Cristina Marti,2178,2192,PERSON,1
20,one,2195,2198,CARDINAL,1
21,Senor Valdes,2265,2277,PERSON,1
22,La Fe,2437,2442,WORK_OF_ART,1
23,Valdes,2729,2735,PERSON,1
24,catholic,2852,2860,NORP,1
25,Howells,3201,3208,PERSON,1
26,Spaniard,3274,3282,NORP,1
27,American,3328,3336,NORP,1
28,Howells,3697,3704,PERSON,1
29,La Alegria del Capitan,3708,3730,WORK_OF_ART,1
30,Ribot,3731,3736,PERSON,1
31,Spain,3844,3849,GPE,1
32,picturesqueness,4033,4048,GPE,1
33,Valencia,4091,4099,GPE,1
34,Capitan Ribot,4107,4120,PERSON,1
35,Barcelona,4160,4169,GPE,1
36,Hamburg,4174,4181,GPE,1
37,Marti,4219,4224,PERSON,1
38,Ribot,4250,4255,PERSON,1
39,two,4264,4267,CARDINAL,1
40,Anglo,4503,4508,NORP,1
41,Russian,4531,4538,NORP,1
42,Scandinavian,4547,4559,NORP,1
43,Howells,4883,4890,PERSON,1
44,Senor Valdes,4922,4934,PERSON,1
45,English,5031,5038,LANGUAGE,1
46,SYLVESTER BAXTER,5108,5124,PERSON,1
47,Malaga,5130,5136,GPE,1
48,Vigo,5171,5175,GPE,1
49,Bilbao,5191,5197,GPE,1
50,more than one,5238,5251,CARDINAL,1
51,a Senora Ramona,5421,5436,PERSON,1
52,El Cometa,5484,5493,ORG,1
53,Gijon,5520,5525,GPE,1
54,Urano,5587,5592,ORG,1
55,more than one,5870,5883,CARDINAL,1
56,9th,5912,5915,ORDINAL,1
57,February,5919,5927,DATE,1
58,eleven in the morning,5932,5953,TIME,1
59,the hour,6124,6132,TIME,1
60,nearly all night,6486,6502,TIME,1
61,Senora Ramona 's,6577,6593,PERSON,1
62,about ten o'clock,6701,6718,TIME,1
63,Urano,6774,6779,ORG,1
64,four,6808,6812,CARDINAL,1
65,two,7269,7272,CARDINAL,1
66,El Cometa,7290,7299,ORG,1
67,only three or four,7372,7390,CARDINAL,1
68,Senora Ramona,7538,7551,PERSON,1
69,half after ten,7586,7600,TIME,1
70,Dame Ramona,8338,8349,PERSON,1
71,yesterday,8433,8442,DATE,1
72,Don Julian,8444,8454,PERSON,1
73,yesterday,8490,8499,DATE,1
74,yesterday,8504,8513,DATE,1
75,Dame Ramona,8608,8619,PERSON,1
76,three or four,8809,8822,CARDINAL,1
77,One,8899,8902,CARDINAL,1
78,Dame Ramona,8942,8953,PERSON,1
79,Don,9392,9395,PERSON,1
80,Dame Ramona,9414,9425,PERSON,1
81,yesterday,9469,9478,DATE,1
82,Dame Ramona,10442,10453,PERSON,1
83,two,10932,10935,CARDINAL,1
84,first,11518,11523,ORDINAL,1
85,four,12072,12076,CARDINAL,1
86,one,12661,12664,CARDINAL,1
87,a few days,12765,12775,DATE,1
88,Gijon,12779,12784,GPE,1
89,Iberia,14239,14245,GPE,1
90,the night,14496,14505,TIME,1
91,Dona Amparo,14523,14534,PERSON,1
92,Dona Cristina,14654,14667,PERSON,1
93,Dona Cristina,14912,14925,PERSON,1
94,an elegant morning,14974,14992,TIME,1
95,half,15040,15044,CARDINAL,1
96,bad!”she,15431,15439,ORG,1
97,"Mamma,”she called,“here",15637,15660,PERSON,1
98,Urano,15712,15717,ORG,1
99,a tablespoonful,16159,16174,QUANTITY,1
100,Dona Cristina,16305,16318,PERSON,1
101,Dona Cristina,16531,16544,PERSON,1
102,"mamma,”she",16643,16653,GPE,1
103,Dona Cristina,16830,16843,PERSON,1
104,Cristina,17210,17218,PERSON,1
105,Dona Amparo,17342,17353,PERSON,1
106,day,17822,17825,DATE,1
107,one,17829,17832,CARDINAL,1
108,Dona Cristina,18088,18101,PERSON,1
109,Captain,18244,18251,ORG,1
110,some day,18461,18469,DATE,1
111,a half-dozen,18579,18591,CARDINAL,1
112,years,18794,18799,DATE,1
113,Asturians,19459,19468,NORP,1
114,Valencianas,19592,19603,ORG,1
115,Alicante,19688,19696,GPE,1
116,Valencian,19728,19737,LANGUAGE,1
117,Gijon,19841,19846,GPE,1
118,only nine days,19847,19861,DATE,1
119,years,19952,19957,DATE,1
120,earth,20351,20356,LOC,1
121,North,20505,20510,LOC,1
122,Andalusia,20529,20538,GPE,1
123,the heat of summer,20858,20876,DATE,1
124,the year,20890,20898,DATE,1
125,earth,20964,20969,LOC,1
126,Nature,21116,21122,ORG,1
127,Valencian,21173,21182,NORP,1
128,Dona Cristina,21200,21213,PERSON,1
129,Valencian,21694,21703,NORP,1
130,Dona Cristina,21739,21752,PERSON,1
131,America,21965,21972,GPE,1
132,Barcelona,22022,22031,GPE,1
133,Hamburg,22036,22043,GPE,1
134,several days,22074,22086,DATE,1
135,day,22159,22162,DATE,1
136,yesterday,22170,22179,DATE,1
137,Gijon,22241,22246,GPE,1
138,the day,22282,22289,DATE,1
139,some days,22319,22328,DATE,1
140,Madrid,22332,22338,GPE,1
141,this day,22852,22860,DATE,1
142,first,23177,23182,ORDINAL,1
143,Emilio Marti,23521,23533,PERSON,1
144,Castell,23588,23595,PERSON,1
145,Marti,23600,23605,PERSON,1
146,Liverpool,23629,23638,GPE,1
147,only two years,23755,23769,DATE,1
148,Valencia,23898,23906,GPE,1
149,winter,23949,23955,DATE,1
150,Calle del Mar,23969,23982,GPE,1
151,summer,23991,23997,DATE,1
152,Cabanal,24021,24028,GPE,1
153,Castell,24053,24060,PERSON,1
154,Marti,24065,24070,PERSON,1
155,one,24156,24159,CARDINAL,1
156,Dona Amparo,24311,24322,PERSON,1
157,the day,24523,24530,DATE,1
158,Dona Cristina,24545,24558,PERSON,1
159,The next day,24910,24922,DATE,1
160,Dona Cristina,25010,25023,PERSON,1
161,Dona Amparo,25260,25271,PERSON,1
