,name,start_pos,end_pos,tag,score
0,ARTHUR M. WINFIELD,3,21,PERSON,1
1,THE PUTNAM HALL CADETS,34,56,WORK_OF_ART,1
2,THE PUTNAM HALL RIVALS,60,82,WORK_OF_ART,1
3,THE ROVER BOYS SERIES,86,107,WORK_OF_ART,1
4,fourth,191,197,ORDINAL,1
5,Putnam Hall Series,242,260,WORK_OF_ART,1
6,Rover Boys Series,386,403,WORK_OF_ART,1
7,Putnam Hall Military Academy,453,481,ORG,1
8,three,519,524,CARDINAL,1
9,Rover,525,530,ORG,1
10,The Putnam Hall Cadets,586,608,WORK_OF_ART,1
11,Captain Putnam,625,639,ORG,1
12,Jack Ruddy,701,711,PERSON,1
13,Pepper Ditmore,713,727,PERSON,1
14,second,843,849,ORDINAL,1
15,The Putnam Hall Rivals,868,890,WORK_OF_ART,1
16,third,1042,1047,ORDINAL,1
17,The Putnam Hall Champions,1057,1082,WORK_OF_ART,1
18,Jack,1093,1097,PERSON,1
19,Pepper,1102,1108,PERSON,1
20,Jack,1230,1234,PERSON,1
21,Josiah Crabtree,1405,1420,PERSON,1
22,Hall,1431,1435,FAC,1
23,Crabtree,1458,1466,ORG,1
24,Cuddle,1494,1500,PERSON,1
25,Arthur M. Winfield,1844,1862,PERSON,1
26,Good!”cried Pepper Ditmore,1917,1943,PERSON,1
27,Jack,1979,1983,PERSON,1
28,half a dozen,2001,2013,CARDINAL,1
29,a dozen,2073,2080,CARDINAL,1
30,it?”answered,2104,2116,ORG,1
31,Jack Ruddy,2123,2133,PERSON,1
32,Pep,2154,2157,ORG,1
33,one,2164,2167,CARDINAL,1
34,the Putnam Hall,2248,2263,FAC,1
35,Andy Snow!”cried Pepper,2387,2410,PERSON,1
36,Paul Singleton,2581,2595,PERSON,1
37,Irish,2699,2704,NORP,1
38,sally,2811,2816,PERSON,1
39,Joseph Hogan,2822,2834,PERSON,1
40,Paul,2893,2897,PERSON,1
41,the Military Academy,3080,3100,ORG,1
42,Rawling,3154,3161,PERSON,1
43,Jack Ruddy,3189,3199,PERSON,1
44,first,3317,3322,ORDINAL,1
45,Fred Century,3408,3420,PERSON,1
46,first,3525,3530,ORDINAL,1
47,Dale Blackmore,3766,3780,PERSON,1
48,Putnam Hall,3801,3812,ORG,1
49,"eh,”said Dale",3918,3931,PERSON,1
50,One,3984,3987,CARDINAL,1
51,Jack Ruddy,4068,4078,PERSON,1
52,it?”questioned,4090,4104,ORG,1
53,Reff Ritter,4124,4135,WORK_OF_ART,1
54,Andy Snow,4336,4345,PERSON,1
55,Paul Singleton,4350,4364,PERSON,1
56,"Jack,”remarked Hogan",4422,4442,PERSON,1
57,half,4450,4454,CARDINAL,1
58,Perhaps Reff Ritter,4602,4621,WORK_OF_ART,1
59,Jack,4647,4651,PERSON,1
60,Dale,4758,4762,PERSON,1
61,Gus Coulter,4802,4813,PERSON,1
62,Nick Paxton,4815,4826,PERSON,1
63,Billy Sabine,4828,4840,PERSON,1
64,Coulter,4858,4865,PERSON,1
65,Jack,4932,4936,PERSON,1
66,"Bart Conners,”said Pepper",4946,4971,PERSON,1
67,"Reff Ritter now,”whispered Andy",5028,5059,ORG,1
68,Coulter,5139,5146,PERSON,1
69,Reff!”sang,5170,5180,PERSON,1
70,Dave Kearney,5202,5214,PERSON,1
71,Reff Ritter,5315,5326,PERSON,1
72,Gus Coulter,5425,5436,PERSON,1
73,Ruddy,5490,5495,PERSON,1
74,Conners?”questioned Andy Snow,5508,5537,PERSON,1
75,Reff Ritter,5559,5570,ORG,1
76,"lately,”was Pepper 's",5700,5721,PERSON,1
77,Reff Ritter,5775,5786,ORG,1
78,Reff,6072,6076,GPE,1
79,Jack,6115,6119,PERSON,1
80,Bart,6124,6128,PERSON,1
81,Gus,6168,6171,PERSON,1
82,Coulter,6209,6216,PERSON,1
83,Reff Ritter,6326,6337,PERSON,1
84,Gus,6444,6447,PERSON,1
85,Nick Paxton,6452,6463,PERSON,1
86,Coulter,6525,6532,PERSON,1
87,Andy Snow,6576,6585,PERSON,1
88,Joe Nelson,6712,6722,PERSON,1
89,“Yesterday Captain Putnam,6749,6774,PERSON,1
90,Reff,6819,6823,GPE,1
91,Ritter,6954,6960,PERSON,1
92,Pep?”asked,6989,6999,PERSON,1
93,Latin,7119,7124,NORP,1
94,Ritter,7198,7204,PERSON,1
95,Fred Century,7304,7316,PERSON,1
96,Reff Ritter,7332,7343,PERSON,1
97,Jack Ruddy,7411,7421,PERSON,1
98,Putnam Hall,7583,7594,ORG,1
99,Jack Ruddy,7837,7847,PERSON,1
100,Bart Conners,7942,7954,PERSON,1
101,Henry Lee,7973,7982,PERSON,1
102,Battalion attention!”commanded,7986,8016,ORG,1
103,Jack,8023,8027,PERSON,1
104,Putnam Hall Series,8270,8288,WORK_OF_ART,1
105,Putnam Hall Military Academy,8395,8423,ORG,1
106,Cayuga Lake,8484,8495,LOC,1
107,New York State,8500,8514,GPE,1
108,Victor Putnam,8540,8553,PERSON,1
109,days,8587,8591,DATE,1
110,the far West,8640,8652,LOC,1
111,West Point,8684,8694,LOC,1
112,half a dozen,9080,9092,CARDINAL,1
113,Captain Putnam,9170,9184,ORG,1
114,Jack Ruddy,9203,9213,PERSON,1
115,Pepper Ditmore,9218,9232,PERSON,1
116,New York State,9278,9292,GPE,1
117,Jack,9294,9298,PERSON,1
118,two,9329,9332,CARDINAL,1
119,Jack,9491,9495,PERSON,1
120,Pepper,9500,9506,ORG,1
121,first,9507,9512,ORDINAL,1
122,The Putnam Hall Cadets,9593,9615,WORK_OF_ART,1
123,Jack,9819,9823,PERSON,1
124,Henry Lee,9859,9868,PERSON,1
125,Bart Conners,9895,9907,PERSON,1
126,B. Jack,9927,9934,PERSON,1
127,Pepper,9942,9948,ORG,1
128,Dan Baxter,10123,10133,PERSON,1
129,Coulter,10145,10152,PERSON,1
130,Baxter,10217,10223,PERSON,1
131,Jack,10256,10260,PERSON,1
132,Jack,10332,10336,PERSON,1
133,Andy Snow,10377,10386,PERSON,1
134,Dale Blackmore,10468,10482,PERSON,1
135,Hogan,10502,10507,PERSON,1
136,Irish,10515,10520,NORP,1
137,Stuffer Singleton,10554,10571,PERSON,1
138,Joe Nelson,10616,10626,PERSON,1
139,Hall,10649,10653,PERSON,1
140,Jack,10673,10677,PERSON,1
