,name,start_pos,end_pos,tag,score
0,first,8,13,ORDINAL,1
1,second,147,153,ORDINAL,1
2,Roman,310,315,NORP,1
3,seventeen,397,406,CARDINAL,1
4,withers,420,427,PERSON,1
5,Ulus,571,575,PERSON,1
6,Jove,758,762,ORG,1
7,Antlers,795,802,PERSON,1
8,Norwegian,852,861,NORP,1
9,this time of year,870,887,DATE,1
10,eight,904,909,CARDINAL,1
11,September nights,1142,1158,DATE,1
12,one,1700,1703,CARDINAL,1
13,fords,2104,2109,ORG,1
14,Ulus,2331,2335,ORG,1
15,Norsk,2361,2366,GPE,1
16,Some eight miles,2441,2457,QUANTITY,1
17,two,2515,2518,CARDINAL,1
18,first,2567,2572,ORDINAL,1
19,valley,2577,2583,LOC,1
20,two,2671,2674,CARDINAL,1
21,two-mile,2700,2708,QUANTITY,1
22,two thousand feet,2792,2809,QUANTITY,1
23,more than half,2904,2918,CARDINAL,1
24,thirty seconds,3409,3423,TIME,1
25,Ulus I,3646,3652,PERSON,1
26,till morning,3793,3805,TIME,1
27,Jove,3870,3874,ORG,1
28,one,3881,3884,CARDINAL,1
29,Ulus,3936,3940,PERSON,1
30,seven feet square,4155,4172,QUANTITY,1
31,five feet,4190,4199,QUANTITY,1
32,about half,4241,4251,CARDINAL,1
33,three,4388,4393,CARDINAL,1
34,Four,4491,4495,CARDINAL,1
35,the stor bock,4553,4566,WORK_OF_ART,1
36,Se,4568,4570,PERSON,1
37,hunter,4884,4890,PERSON,1
38,hound,4895,4900,PERSON,1
39,Se,4978,4980,PERSON,1
40,first,5228,5233,ORDINAL,1
41,two,5410,5413,CARDINAL,1
42,Se champed,5784,5794,PERSON,1
43,that evening,6027,6039,TIME,1
44,Norsk,6086,6091,GPE,1
45,Ulus,6151,6155,PERSON,1
46,Sassenach,6192,6201,PERSON,1
47,Ulus,6603,6607,PERSON,1
48,One,6773,6776,CARDINAL,1
49,two,6968,6971,CARDINAL,1
50,Repletion,7041,7050,PERSON,1
51,Se,7240,7242,PERSON,1
52,the night,7438,7447,TIME,1
53,Ulus,7795,7799,PERSON,1
54,Bjorn,7878,7883,PERSON,1
55,Martini,7939,7946,LOC,1
56,Norway,8039,8045,GPE,1
57,Ulus,8109,8113,PERSON,1
58,Se,8140,8142,PERSON,1
59,hound,8168,8173,PERSON,1
60,bjorn,8202,8207,PERSON,1
61,the night,8668,8677,TIME,1
62,the lake shore,8823,8837,LOC,1
63,Ulus,8989,8993,PERSON,1
64,Martini,9098,9105,PRODUCT,1
65,first,9631,9636,ORDINAL,1
66,Ulus,9686,9690,PERSON,1
67,Nei bjorn,9701,9710,PERSON,1
68,Finne,10109,10114,WORK_OF_ART,1
69,Laplander,10177,10186,ORG,1
70,one,10269,10272,CARDINAL,1
71,Norsk,10465,10470,GPE,1
72,Hallo,10665,10670,WORK_OF_ART,1
73,Englishman,10675,10685,NORP,1
74,p'raps,10944,10950,ORG,1
75,quartette,11536,11545,PERSON,1
76,us,11549,11551,GPE,1
77,the saeter hut,11565,11579,ORG,1
78,Englishman,11989,11999,NORP,1
79,hoopoo,12034,12040,PERSON,1
80,one,12117,12120,CARDINAL,1
81,norrard,12372,12379,LOC,1
82,culs-de-sac,12576,12587,FAC,1
83,lee,12736,12739,PERSON,1
84,Northern Norway,12969,12984,LOC,1
85,about two-and-thirty,14394,14414,CARDINAL,1
86,three-days,14987,14997,DATE,1
87,nearly an hour,15321,15335,TIME,1
88,overnight,15585,15594,TIME,1
89,eight-hundred ton,15674,15691,QUANTITY,1
90,"Then,“Slidey Methuen",15880,15900,ORG,1
91,only eight years,16103,16119,DATE,1
92,"it,“got",16230,16237,ORG,1
93,Michael Cospatric,16316,16333,PERSON,1
94,Cambridge,16431,16440,GPE,1
95,Cospatric of C,16485,16499,ORG,1
96,the old days,16611,16623,DATE,1
97,the same year,16667,16680,DATE,1
98,Cospatric,16812,16821,ORG,1
99,one,16958,16961,CARDINAL,1
100,fifty-two,16976,16985,CARDINAL,1
101,four,17042,17046,CARDINAL,1
102,first,17065,17070,ORDINAL,1
103,October,17071,17078,DATE,1
104,eight,17109,17114,CARDINAL,1
105,Rolandi 's,17216,17226,ORG,1
106,second,17378,17384,ORDINAL,1
107,October,17385,17392,DATE,1
108,Cam,17416,17419,ORG,1
109,five,17512,17516,CARDINAL,1
110,three,17696,17701,CARDINAL,1
111,the beginning of his second Easter,17750,17784,DATE,1
112,Johnians,18328,18336,PERSON,1
113,Trinity,18345,18352,ORG,1
114,Hall,18361,18365,ORG,1
