,name,start_pos,end_pos,tag,score
0,Henry Whitman,0,13,PERSON,1
1,April afternoon,52,67,TIME,1
2,Henry,466,471,PERSON,1
3,his years,899,908,DATE,1
4,a cent,963,969,MONEY,1
5,the past ten years,1010,1028,DATE,1
6,Sylvia,1044,1050,PERSON,1
7,six weeks,1107,1116,DATE,1
8,two dollars,1153,1164,MONEY,1
9,two,1413,1416,CARDINAL,1
10,Henry,1783,1788,PERSON,1
11,carpenter,1889,1898,PERSON,1
12,twenty-odd years,1957,1973,DATE,1
13,Sylvia,2532,2538,PERSON,1
14,Sylvia,2699,2705,PERSON,1
15,Horace Allen,2750,2762,PERSON,1
16,East Westland,2831,2844,GPE,1
17,Henry,2946,2951,PERSON,1
18,Sylvia,3310,3316,PERSON,1
19,the winter,3370,3380,DATE,1
20,the extra hours,3406,3421,TIME,1
21,Sylvia,3630,3636,PERSON,1
22,first,3759,3764,ORDINAL,1
23,two,3967,3970,CARDINAL,1
24,Henry,4045,4050,PERSON,1
25,Henry,4093,4098,PERSON,1
26,one,4137,4140,CARDINAL,1
27,Henry,4226,4231,PERSON,1
28,Henry,4464,4469,PERSON,1
29,"right,”he",4565,4574,PERSON,1
30,Sylvia,4620,4626,PERSON,1
31,Henry Whitman,4722,4735,PERSON,1
32,Henry,5081,5086,PERSON,1
33,Horace,5259,5265,PERSON,1
34,Henry,5360,5365,PERSON,1
35,Horace,5492,5498,PERSON,1
36,Henry,5681,5686,PERSON,1
37,Horace Allen,5731,5743,PERSON,1
38,hours,5802,5807,TIME,1
39,school-hours,5891,5903,TIME,1
40,Henry,5909,5914,PERSON,1
41,golf!“I,5921,5928,PERSON,1
42,"work,”he",5946,5954,PERSON,1
43,Horace,5979,5985,PERSON,1
44,Horace,5988,5994,PERSON,1
45,"do,”Henry",6045,6054,PERSON,1
46,Alford,6156,6162,PERSON,1
47,Guy Lawson,6214,6224,PERSON,1
48,Horace,6415,6421,PERSON,1
49,Henry,6444,6449,PERSON,1
50,Horace,6522,6528,PERSON,1
51,Sylvia,6658,6664,PERSON,1
52,Henry,6860,6865,PERSON,1
53,nearly forty years,7100,7118,DATE,1
54,New England,7166,7177,LOC,1
55,cobbler'shYpppHeNshop,7251,7272,NORP,1
56,three,7311,7316,CARDINAL,1
57,Henry,7403,7408,PERSON,1
58,Sylvia,7413,7419,PERSON,1
