,name,start_pos,end_pos,tag,score
0,Frontispiece,71,83,ORG,1
1,261,94,97,CARDINAL,1
2,THE SEA MONARCH,111,126,WORK_OF_ART,1
3,THE FLYING SUBMARINE” ETC,130,155,WORK_OF_ART,1
4,SANS PEUR ET SANS,158,175,ORG,1
5,CHARLES NORMAN,219,233,PERSON,1
6,half-past eight,257,272,DATE,1
7,May morning,278,289,TIME,1
8,Spithead,386,394,ORG,1
9,H. M.,449,454,PERSON,1
10,Frome,478,483,PRODUCT,1
11,Portsmouth,522,532,GPE,1
12,the Isle of Wight,570,587,GPE,1
13,Boyne Buoy,604,614,WORK_OF_ART,1
14,Douglas Drake,710,723,PERSON,1
15,Paul Fielding,757,770,PERSON,1
16,Frome,809,814,ORG,1
17,night,832,837,TIME,1
18,the Medmery Bank,849,865,ORG,1
19,hours,923,928,TIME,1
20,Calder,1028,1034,PERSON,1
21,George,1441,1447,PERSON,1
22,Southsea Castle,1500,1515,FAC,1
23,Cardyke?”asked,1785,1799,PERSON,1
24,Friday,1956,1962,DATE,1
25,"so,”rejoined Drake",1974,1992,PERSON,1
26,the Sixth Division,2025,2043,ORG,1
27,Douglas Drake,2084,2097,PERSON,1
28,under thirty years of age,2107,2132,DATE,1
29,Drake,2788,2793,PERSON,1
30,Drake,3113,3118,PERSON,1
31,Paul Fielding,3343,3356,PERSON,1
32,Drake,3629,3634,PERSON,1
33,Frome,3726,3731,ORG,1
34,Arnold Cardyke,3889,3903,PERSON,1
35,sixteen,3992,3999,CARDINAL,1
36,one,4159,4162,CARDINAL,1
37,Cardykes,4202,4210,PERSON,1
38,the Royal Navy,4231,4245,ORG,1
39,King William III,4307,4323,PERSON,1
40,Frome,4374,4379,ORG,1
41,One,4464,4467,CARDINAL,1
42,a two years,4557,4568,DATE,1
43,the Pacific Station,4585,4604,ORG,1
44,the First Dartmouth Team,4719,4743,ORG,1
45,Fifth,4838,4843,ORDINAL,1
46,Sixth,4848,4853,ORDINAL,1
47,Destroyer Flotillas,4867,4886,PRODUCT,1
48,six weeks,5147,5156,DATE,1
49,Arnold Cardyke,5195,5209,PERSON,1
50,Frome,5262,5267,ORG,1
51,New River,5303,5312,LOC,1
52,120,5329,5332,CARDINAL,1
53,two,5588,5591,CARDINAL,1
54,eleven-pounder,5592,5606,QUANTITY,1
55,210 degs,5672,5680,QUANTITY,1
56,10 degs,5749,5756,QUANTITY,1
57,barely six inches,5832,5849,QUANTITY,1
58,two,6056,6059,CARDINAL,1
59,two,6411,6414,CARDINAL,1
60,seven-pounder,6415,6428,QUANTITY,1
61,Maxim,6460,6465,FAC,1
62,twenty feet,6541,6552,QUANTITY,1
63,two 21,6577,6583,DATE,1
64,Whitehead,6622,6631,PERSON,1
65,five miles,6659,6669,QUANTITY,1
66,hatchways,6754,6763,PERSON,1
67,eleven-pounder,6943,6957,QUANTITY,1
68,Frome,6978,6983,ORG,1
