,name,start_pos,end_pos,tag,score
0,Trademark Registered,29,49,ORG,1
1,Benny,53,58,PERSON,1
2,Coyote,77,83,PERSON,1
3,Trademark Registered,118,138,ORG,1
4,Benny Badger,153,165,PERSON,1
5,Benny Badger,473,485,PERSON,1
6,Benny,540,545,PERSON,1
7,Benny,698,703,PERSON,1
8,Benny,834,839,PERSON,1
9,Benny Badger,993,1005,PERSON,1
10,Benny,1042,1047,PERSON,1
11,more than one,1533,1546,CARDINAL,1
12,Benny Badger,1611,1623,PERSON,1
13,Benny,1788,1793,PERSON,1
14,Benny Badger,2070,2082,PERSON,1
15,Benny Badger,2227,2239,PERSON,1
16,Benny,2332,2337,PERSON,1
17,Benny,2490,2495,PERSON,1
18,Benny,2605,2610,PERSON,1
19,Benny Badger,2661,2673,PERSON,1
20,night,2684,2689,TIME,1
21,Benny,3199,3204,PERSON,1
22,Benny Badger,3252,3264,PERSON,1
23,Benny,3386,3391,PERSON,1
24,one,3904,3907,CARDINAL,1
25,summer,4095,4101,DATE,1
26,Benny Badger,4181,4193,PERSON,1
27,one,4418,4421,CARDINAL,1
28,Benny,4553,4558,PERSON,1
29,one,4631,4634,CARDINAL,1
30,Benny,4728,4733,PERSON,1
31,Benny Badger,4883,4895,PERSON,1
32,Ground Squirrel,5148,5163,PERSON,1
33,Benny,5177,5182,PERSON,1
34,Benny,5197,5202,PERSON,1
35,that night,5273,5283,TIME,1
36,Benny,5496,5501,PERSON,1
37,this evening,5518,5530,TIME,1
38,earth,5670,5675,LOC,1
39,Benny Badger,5939,5951,PERSON,1
40,Benny Badger,6391,6403,PERSON,1
41,Benny Badger,6523,6535,PERSON,1
42,Benny,6741,6746,PERSON,1
43,Benny Badger,6910,6922,PERSON,1
44,Benny Badger,7096,7108,PERSON,1
45,Benny Badger,7415,7427,PERSON,1
46,Benny Badger,7677,7689,PERSON,1
47,Benny Badger 's,8192,8207,PERSON,1
48,the night,8343,8352,TIME,1
49,Benny Badger,8482,8494,PERSON,1
50,Coyote,8851,8857,PERSON,1
51,Benny Badger,8933,8945,PERSON,1
52,“He,8979,8982,PERSON,1
53,Benny Badger,9033,9045,PERSON,1
54,Coyote,9241,9247,PERSON,1
55,Coyote,9292,9298,PERSON,1
56,Benny Badger,9394,9406,PERSON,1
57,Benny,9505,9510,PERSON,1
58,Benny,9583,9588,PERSON,1
59,Ground Squirrel,9705,9720,PERSON,1
60,Benny Badger 's,9757,9772,PERSON,1
61,Benny,9877,9882,PERSON,1
62,Benny Badger,9920,9932,PERSON,1
63,Coyote,10191,10197,PERSON,1
64,Benny Badger,10251,10263,PERSON,1
65,Coyote,10295,10301,PERSON,1
66,Benny,10313,10318,PERSON,1
67,Coyote,10351,10357,PERSON,1
68,Coyote,10459,10465,PERSON,1
69,a fine night,10476,10488,TIME,1
70,Benny Badger,10504,10516,PERSON,1
71,"digging,”he",10630,10641,PERSON,1
72,Coyote,10687,10693,PERSON,1
73,Coyote,10768,10774,PERSON,1
74,Benny,10898,10903,PERSON,1
75,Coyote,10964,10970,PERSON,1
76,Benny Badger,11282,11294,PERSON,1
77,Coyote,11373,11379,PERSON,1
78,Benny,11400,11405,PERSON,1
79,Coyote,11451,11457,PERSON,1
80,Benny,11475,11480,PERSON,1
81,Benny,11530,11535,PERSON,1
82,Coyote,11577,11583,PERSON,1
83,"Besides,”Mr",11635,11646,PERSON,1
84,Coyote,11648,11654,PERSON,1
85,Benny Badger,11825,11837,PERSON,1
86,Coyote,11859,11865,PERSON,1
87,Sun,11937,11940,PERSON,1
88,Moon,11990,11994,PERSON,1
89,Wind,12058,12062,PERSON,1
90,west,12102,12106,LOC,1
91,morning,12167,12174,TIME,1
92,that?”Mr,13098,13106,PERSON,1
93,Coyote,13108,13114,PERSON,1
94,Benny Badger,13178,13190,PERSON,1
95,Coyote,13197,13203,PERSON,1
96,"should,”he",13296,13306,PERSON,1
97,Benny Badger,13365,13377,PERSON,1
98,Coyote,13537,13543,PERSON,1
99,Coyote,13767,13773,PERSON,1
100,Coyote,13819,13825,PERSON,1
101,Benny Badger,13867,13879,PERSON,1
102,Coyote,13914,13920,PERSON,1
103,Coyote,13969,13975,PERSON,1
104,Coyote,14000,14006,PERSON,1
105,Benny Badger 's,14135,14150,PERSON,1
106,Ground Squirrels,14242,14258,ORG,1
107,Benny Badger,14287,14299,PERSON,1
108,Coyote,14408,14414,PERSON,1
109,"anyhow,”he",14481,14491,PERSON,1
110,Benny,14550,14555,PERSON,1
111,Benny Badger,14702,14714,PERSON,1
112,Benny,14752,14757,PERSON,1
113,Badger,14796,14802,PERSON,1
114,Coyote,14825,14831,PERSON,1
115,Benny,14900,14905,PERSON,1
116,Coyote,14948,14954,PERSON,1
117,Benny Badger,14966,14978,PERSON,1
118,"happened,”he",15154,15166,PERSON,1
119,Coyote,15176,15182,PERSON,1
120,Benny Badger,15334,15346,PERSON,1
121,the Ground Squirrel 's,15415,15437,LOC,1
122,door?”he,15443,15451,PERSON,1
123,Benny Badger,15531,15543,PERSON,1
124,Coyote,15564,15570,PERSON,1
125,sing?”he,15660,15668,PERSON,1
126,Coyote,15713,15719,PERSON,1
127,the Ground Squirrel,16311,16330,LOC,1
128,Coyote,16367,16373,PERSON,1
129,Benny Badger 's,16511,16526,PERSON,1
130,"plain,”he",16541,16550,PERSON,1
131,every night,16605,16616,TIME,1
132,Ground Squirrels,16659,16675,FAC,1
133,Coyote,16683,16689,PERSON,1
134,Benny Badger,16752,16764,PERSON,1
135,Coyote,16865,16871,PERSON,1
136,Benny,16910,16915,PERSON,1
137,Coyote,16983,16989,PERSON,1
138,Benny,17046,17051,PERSON,1
139,a half dozen,17146,17158,CARDINAL,1
140,Coyote,17245,17251,PERSON,1
141,Benny Badger 's,17296,17311,PERSON,1
142,Benny Badger,17384,17396,PERSON,1
143,Coyote,17456,17462,PERSON,1
144,Badger,17652,17658,ORG,1
145,six,17758,17761,CARDINAL,1
146,half a mile,17785,17796,QUANTITY,1
147,Coyote,17809,17815,PERSON,1
148,Benny Badger 's,18052,18067,PERSON,1
149,Coyote,18120,18126,PERSON,1
150,Benny,18150,18155,PERSON,1
151,Benny,18255,18260,PERSON,1
152,Benny Badger,18302,18314,PERSON,1
153,one,18361,18364,CARDINAL,1
154,Coyote,18372,18378,PERSON,1
155,seven,18466,18471,CARDINAL,1
156,Coyote,18589,18595,PERSON,1
157,a hundred,18756,18765,CARDINAL,1
158,maybe a thousand,18778,18794,CARDINAL,1
159,a mile,18827,18833,QUANTITY,1
160,Coyote,18913,18919,PERSON,1
161,"now,”he",18981,18988,ORG,1
162,six,19008,19011,CARDINAL,1
163,forget!”he,19099,19109,PERSON,1
164,Benny Badger 's,19144,19159,PERSON,1
165,morrow night,19204,19216,TIME,1
166,Benny Badger,19254,19266,PERSON,1
167,Benny,19413,19418,PERSON,1
168,Coyote,19479,19485,PERSON,1
169,six,19501,19504,CARDINAL,1
170,The next evening,19536,19552,TIME,1
171,dusk,19562,19566,TIME,1
172,Benny Badger,19568,19580,PERSON,1
173,Ground Squirrels,19852,19868,ORG,1
174,Coyote,19906,19912,PERSON,1
175,Coyote,19982,19988,PERSON,1
176,Benny Badger,20061,20073,PERSON,1
177,Coyote,20152,20158,PERSON,1
178,Coyote,20223,20229,PERSON,1
179,a few minutes,20264,20277,TIME,1
180,Benny Badger,20379,20391,PERSON,1
181,Coyote,20553,20559,PERSON,1
182,two,20602,20605,CARDINAL,1
183,Benny,20666,20671,PERSON,1
184,"then,”Mr",20729,20737,ORG,1
185,Coyote,20739,20745,PERSON,1
186,Benny Badger,20758,20770,PERSON,1
187,the Ground Squirrels,20947,20967,ORG,1
188,Coyote,21032,21038,PERSON,1
189,Benny Badger,21149,21161,PERSON,1
190,Coyote,21231,21237,PERSON,1
191,Badger,21467,21473,ORG,1
192,"you,”Mr",21532,21539,PERSON,1
193,Coyote,21541,21547,PERSON,1
194,Coyote,21718,21724,PERSON,1
195,Badger,21827,21833,ORG,1
196,Coyote,21955,21961,PERSON,1
197,Badger,22009,22015,ORG,1
198,Coyote,22135,22141,PERSON,1
199,six,22383,22386,CARDINAL,1
200,Benny Badger,22399,22411,PERSON,1
201,Coyote,22475,22481,PERSON,1
202,that night,22501,22511,TIME,1
203,Benny,22522,22527,PERSON,1
204,Coyote,22599,22605,PERSON,1
205,Benny Badger,22656,22668,PERSON,1
206,only a day,22778,22788,DATE,1
207,two,22792,22795,CARDINAL,1
