,name,start_pos,end_pos,tag,score
0,St. Cuthbert 's,15,30,WORK_OF_ART,1
1,The Undertow,34,46,WORK_OF_ART,1
2,The Dawn at Shanty Bay,50,72,WORK_OF_ART,1
3,ELIZABETH ELLIS KNOX KNOWLES,90,118,PERSON,1
4,The Wine-Press Alone,310,330,ORG,1
5,Love,336,340,WORK_OF_ART,1
6,VIII,441,445,WORK_OF_ART,1
7,A Belated Enquirer X. Sheltering Shadows XI,474,517,PERSON,1
8,Thought XII,528,539,WORK_OF_ART,1
9,David,646,651,PERSON,1
10,XVII,665,669,PERSON,1
11,Friendship,671,681,ORG,1
12,Breakers Ahead XXIII,799,819,WORK_OF_ART,1
13,The Victor 's Spoils XXV,845,869,WORK_OF_ART,1
14,The Fair Sweet Morn Awakes,906,932,EVENT,1
15,Midnight XXIX,981,994,TIME,1
16,David Swept the Field XXX,1000,1025,PERSON,1
17,The Trough of the Wave XXXII,1061,1089,PERSON,1
18,Harvey,1091,1097,PERSON,1
19,Plain Living and High Thinking XXXIV,1126,1162,WORK_OF_ART,1
20,The Overflowing Hour XXXV,1164,1189,WORK_OF_ART,1
21,Into His House of Wine,1192,1214,WORK_OF_ART,1
22,XXXVI,1216,1221,ORG,1
23,XXXVII,1245,1251,PRODUCT,1
24,The Conqueror 's Home-Going XXXVIII,1253,1288,WORK_OF_ART,1
25,Shadows,1302,1309,PRODUCT,1
26,two,1418,1421,CARDINAL,1
27,Harvey,1460,1466,PERSON,1
28,Jessie,1485,1491,PERSON,1
29,Simmons,1518,1525,PERSON,1
30,a few minutes,1846,1859,TIME,1
31,Ned,2025,2028,PERSON,1
32,this night,2030,2040,TIME,1
33,father?”as,2188,2198,CARDINAL,1
34,the happy days,3264,3278,DATE,1
35,Those vanished days,3456,3475,DATE,1
36,Edward Simmons,3543,3557,PERSON,1
37,first,3558,3563,ORDINAL,1
38,her hour,3596,3604,TIME,1
39,Edward Simmons,4082,4096,PERSON,1
40,Ned,4099,4102,PERSON,1
41,less than a year,4143,4159,DATE,1
42,a year,4263,4269,DATE,1
43,first,4362,4367,ORDINAL,1
44,Eden,4420,4424,FAC,1
45,"a little, month",4805,4820,DATE,1
46,month,4824,4829,DATE,1
47,Harvey,4880,4886,PERSON,1
48,Ned,5149,5152,PERSON,1
49,Annie,5204,5209,PERSON,1
50,first,5331,5336,ORDINAL,1
51,night,5398,5403,TIME,1
52,one,5589,5592,CARDINAL,1
53,two,5596,5599,CARDINAL,1
54,the long midnight hours,6137,6160,TIME,1
55,that of happier days,6661,6681,DATE,1
56,the night,7060,7069,TIME,1
57,first,7236,7241,ORDINAL,1
58,"m hungry,”he",8023,8035,PERSON,1
59,Ned,8222,8225,PERSON,1
60,day,8328,8331,DATE,1
61,one,8406,8409,CARDINAL,1
62,"Ned,”she",8512,8520,PERSON,1
63,Ned,8640,8643,PERSON,1
64,saved?”he,9242,9251,PERSON,1
65,about three hundred,9386,9405,CARDINAL,1
66,"Ned,”she",9407,9415,ORG,1
67,nearly five,9447,9458,CARDINAL,1
68,"Ned,”she",9657,9665,PERSON,1
69,"right,”he",10008,10017,PERSON,1
70,“There ai n't goin ’,10062,10082,PERSON,1
71,quarrellin,10093,10103,GPE,1
72,Annie,10261,10266,PERSON,1
73,"baby,”as",10310,10318,PERSON,1
74,two,10375,10378,CARDINAL,1
75,"right,”he",10518,10527,PERSON,1
76,Ned,10739,10742,PERSON,1
77,"Ned,”she",10977,10985,ORG,1
78,"un,”he",11141,11147,PERSON,1
79,"Ned,”she",11335,11343,ORG,1
80,Harvey,11443,11449,PERSON,1
81,"un,”he",11596,11602,PERSON,1
82,Ned,11707,11710,PERSON,1
83,"n't,”her",11717,11725,PERSON,1
84,"good God, Ned",11743,11756,WORK_OF_ART,1
85,one,12083,12086,CARDINAL,1
86,the fall,12443,12451,DATE,1
87,"un,”he",12546,12552,PERSON,1
88,half,12865,12869,CARDINAL,1
89,two,13403,13406,CARDINAL,1
90,first,14396,14401,ORDINAL,1
91,one,14599,14602,CARDINAL,1
92,an eternity ago,14822,14837,DATE,1
93,Conqueror,15105,15114,PRODUCT,1
94,about half an hour later,15194,15218,TIME,1
95,first,15417,15422,ORDINAL,1
96,the night,15656,15665,TIME,1
97,one,16111,16114,CARDINAL,1
98,"Ned,”she",16178,16186,PERSON,1
99,Ned,16303,16306,PERSON,1
100,Ned,16379,16382,PERSON,1
101,Harvey,16426,16432,PERSON,1
102,Jessie,16437,16443,PERSON,1
103,Ned,16471,16474,PERSON,1
104,Simmons,16886,16893,PERSON,1
105,half,16934,16938,CARDINAL,1
106,Hutchins,17002,17010,PERSON,1
107,two,17102,17105,CARDINAL,1
108,leastways,17461,17470,ORG,1
109,feelin,17596,17602,PERSON,1
110,two,17677,17680,CARDINAL,1
111,playin,17700,17706,PERSON,1
112,spade,18011,18016,PERSON,1
113,earth,18090,18095,LOC,1
114,Glenallen,18152,18161,ORG,1
115,one early morning,18298,18315,TIME,1
116,Glenallen,18363,18372,PERSON,1
117,villagehood,18455,18466,NORP,1
118,Simmons,18670,18677,PERSON,1
119,two,18728,18731,CARDINAL,1
120,daily,18910,18915,DATE,1
121,the early days,19294,19308,DATE,1
122,Glenallen,19431,19440,PERSON,1
123,s. Few,20009,20015,WORK_OF_ART,1
124,one,20103,20106,CARDINAL,1
125,Harvey,20182,20188,PERSON,1
126,Jessie,20193,20199,PERSON,1
127,earth,21080,21085,LOC,1
128,Glenallen,21138,21147,PERSON,1
129,the years,21369,21378,DATE,1
130,leastways,21566,21575,PERSON,1
131,nine or ten,21665,21676,DATE,1
132,Borland,21684,21691,PERSON,1
133,first,21713,21718,ORDINAL,1
134,fittin,22385,22391,PERSON,1
135,Harvey,22511,22517,PERSON,1
136,Borland,22558,22565,PERSON,1
137,Martha,22774,22780,PERSON,1
138,Borland,22899,22906,PERSON,1
139,Harvey,23177,23183,PERSON,1
140,Borland,23222,23229,PERSON,1
141,two,23301,23304,CARDINAL,1
142,three,23317,23322,CARDINAL,1
143,Borland,23471,23478,PERSON,1
144,weekly,23516,23522,DATE,1
145,one,23914,23917,CARDINAL,1
146,"wonderful,”he",23951,23964,CARDINAL,1
147,the day,24004,24011,DATE,1
148,Branchton,24351,24360,PRODUCT,1
149,half,24603,24607,CARDINAL,1
150,Cecil Craig 's,25056,25070,PERSON,1
151,half,25144,25148,CARDINAL,1
152,two,25484,25487,CARDINAL,1
153,Cecil,25632,25637,PERSON,1
154,Harvey Simmons,26111,26125,PERSON,1
155,"him,”her",26203,26211,PERSON,1
156,fieldward,26238,26247,PERSON,1
157,Madeline,26616,26624,PERSON,1
158,Julia,26716,26721,PERSON,1
159,Borland,27115,27122,PERSON,1
160,Cecil,27237,27242,PERSON,1
161,Church,27278,27284,ORG,1
162,Cecil,27557,27562,PERSON,1
163,Cecil,27673,27678,PERSON,1
164,"me,”replied",28046,28057,ORG,1
165,Cecil,28130,28135,PERSON,1
166,Cecil,28162,28167,PERSON,1
