,name,start_pos,end_pos,tag,score
0,ten dollars,17,28,MONEY,1
1,The dozen or so,114,129,CARDINAL,1
2,Abe Morris 's,163,176,PERSON,1
3,first,265,270,ORDINAL,1
4,second,309,315,ORDINAL,1
5,two,611,614,CARDINAL,1
6,Jim Duff,694,702,PERSON,1
7,Arizona,799,806,GPE,1
8,Jim Duff,1188,1196,PERSON,1
9,Arizona,1307,1314,GPE,1
10,Arizona,1460,1467,GPE,1
11,Jim Duff,1504,1512,PERSON,1
12,three,1606,1611,CARDINAL,1
13,years,1739,1744,DATE,1
14,his forties,1759,1770,DATE,1
15,Duff,1772,1776,PERSON,1
16,Duff,1977,1981,PERSON,1
17,second,2078,2084,ORDINAL,1
18,thousands,2144,2153,CARDINAL,1
19,second,2180,2186,ORDINAL,1
20,Jim Duff,2216,2224,PERSON,1
21,Clarence Farnsworth,2245,2264,PERSON,1
22,twenty-five years of age,2272,2296,DATE,1
23,Paloma,2349,2355,GPE,1
24,Arizona,2357,2364,GPE,1
25,Clarence,2403,2411,PERSON,1
26,Farnsworth,2489,2499,ORG,1
27,Clare,2532,2537,PERSON,1
28,Clarence,2663,2671,PERSON,1
29,one,2688,2691,CARDINAL,1
30,the Mansion House,2752,2769,FAC,1
31,Jim Duff,2933,2941,PERSON,1
32,“He,2942,2945,PERSON,1
33,Jim Duff,3152,3160,PERSON,1
34,one,3211,3214,CARDINAL,1
35,Duff,3373,3377,PERSON,1
36,Buzz-zz!”The,3381,3393,WORK_OF_ART,1
37,Arizona,3488,3495,GPE,1
38,Farnsworth,3573,3583,PERSON,1
39,Clarence,3655,3663,PERSON,1
40,twenty,3773,3779,CARDINAL,1
41,Duff,3799,3803,PERSON,1
42,Duff,3877,3881,PERSON,1
43,one,3921,3924,CARDINAL,1
44,Farnsworth,3972,3982,PERSON,1
45,"I am,”replied Clarence",4022,4044,PERSON,1
46,Jim Duff,4066,4074,PERSON,1
47,one,4201,4204,CARDINAL,1
48,Duff,4295,4299,PERSON,1
49,Clarence,4321,4329,PERSON,1
50,Duff,4364,4368,PERSON,1
51,first,4407,4412,ORDINAL,1
52,Duff,4451,4455,PERSON,1
53,Clarence,4795,4803,PERSON,1
54,Jim Duff,4829,4837,PERSON,1
55,Clarence Farnsworth,4929,4948,PERSON,1
56,Farnsworth,5089,5099,PERSON,1
57,Jim Duff,5418,5426,PERSON,1
58,Farnsworth,5515,5525,PERSON,1
59,"do,”declared Jim Duff",5555,5576,PERSON,1
60,Farnsworth,5596,5606,PERSON,1
61,New Mexico,5662,5672,GPE,1
62,years,5983,5988,DATE,1
63,Farnsworth,6203,6213,PERSON,1
64,a mile,6492,6498,QUANTITY,1
65,first,6580,6585,ORDINAL,1
66,earth,6799,6804,LOC,1
67,Clarence,6959,6967,PERSON,1
68,Duff,7063,7067,PERSON,1
69,one,7080,7083,CARDINAL,1
70,Duff,7178,7182,PERSON,1
71,one,7199,7202,CARDINAL,1
72,Reade,7246,7251,PERSON,1
73,Hazelton,7256,7264,PERSON,1
74,Farnsworth,7319,7329,PERSON,1
75,Jim Duff,7369,7377,PERSON,1
76,Farnsworth,7428,7438,PERSON,1
77,Duff,7464,7468,PERSON,1
78,Reade,7510,7515,PERSON,1
79,Hazelton,7520,7528,PERSON,1
80,Clarence,7669,7677,PERSON,1
81,one,7761,7764,CARDINAL,1
82,Colorado,7772,7780,GPE,1
83,two or three,8045,8057,CARDINAL,1
84,Clarence,8074,8082,PERSON,1
85,Duff,8129,8133,PERSON,1
86,Paloma,8230,8236,PERSON,1
87,Clarence,8364,8372,PERSON,1
88,three miles,8594,8605,QUANTITY,1
89,millions of dollars,8623,8642,MONEY,1
90,two,8891,8894,CARDINAL,1
91,Duff,8988,8992,PERSON,1
92,first,9054,9059,ORDINAL,1
93,four days ago,9175,9188,DATE,1
94,two hundred and fifty thousand dollars,9281,9319,CARDINAL,1
95,Pooh!”jeered Duff,9324,9341,PERSON,1
96,Farnsworth,9375,9385,PERSON,1
97,Chicago,9594,9601,GPE,1
98,the Colthwaite Construction Company,9623,9658,ORG,1
99,the next hundred years,9971,9993,DATE,1
100,Colthwaite,9999,10009,NORP,1
101,two hundred and fifty thousand dollars,10096,10134,CARDINAL,1
102,the Colthwaite Company,10160,10182,ORG,1
103,Arizona,10394,10401,GPE,1
104,Humph!”agreed Jim Duff,10512,10534,PERSON,1
105,one,10682,10685,CARDINAL,1
106,Clarence,10845,10853,PERSON,1
107,Duff,10933,10937,PERSON,1
108,the Mansion House?”inquired the gambler,11038,11077,FAC,1
109,Duff,11287,11291,PERSON,1
110,engineers!”chucked Duff,11388,11411,PERSON,1
111,two,11467,11470,CARDINAL,1
112,Arizona,11931,11938,GPE,1
113,Army,12009,12013,ORG,1
114,two,12077,12080,CARDINAL,1
115,Jim Duff,12298,12306,PERSON,1
116,Reade,12350,12355,PERSON,1
117,Hazelton,12360,12368,PERSON,1
118,one,12469,12472,CARDINAL,1
119,Paloma,12492,12498,ORG,1
120,Jim Duff,12548,12556,PERSON,1
121,the Mansion House,12617,12634,FAC,1
122,Tom Reade,12709,12718,PERSON,1
123,Harry Hazelton,12723,12737,PERSON,1
124,two,12825,12828,CARDINAL,1
125,Tom,12922,12925,PERSON,1
126,Harry,12930,12935,PERSON,1
127,Gridley,13001,13008,GPE,1
128,Tom,13010,13013,PERSON,1
129,Harry,13018,13023,PERSON,1
130,Dick &,13098,13104,ORG,1
131,Tom Reade,13125,13134,PERSON,1
132,Harry Hazelton,13139,13153,PERSON,1
133,Dick Prescott,13161,13174,PERSON,1
134,Dave Darrin,13176,13187,PERSON,1
135,Greg Holmes,13189,13200,PERSON,1
136,Dan Dalzell,13205,13216,PERSON,1
137,first,13240,13245,ORDINAL,1
138,the “Grammar School Boys Series,13249,13280,ORG,1
139,the “High School Boys Series,13295,13323,ORG,1
140,the “High School Boys Series,13346,13374,ORG,1
141,Dick Prescott,13402,13415,PERSON,1
142,Greg Holmes,13420,13431,PERSON,1
143,the “West Point Series,13444,13466,LOC,1
144,Dave Darrin,13491,13502,PERSON,1
145,Dan Dalzell,13507,13518,PERSON,1
146,the “Annapolis Series,13558,13579,EVENT,1
147,The Young Engineers,13624,13643,WORK_OF_ART,1
148,Colorado,13647,13655,GPE,1
