,name,start_pos,end_pos,tag,score
0,Tom,7,10,PERSON,1
1,Hazelton,45,53,PERSON,1
2,Tom Reade,132,141,PERSON,1
3,Rockies,213,220,LOC,1
4,Hazelton,281,289,PERSON,1
5,Tom,374,377,PERSON,1
6,Harry,507,512,PERSON,1
7,Wild West,587,596,LOC,1
8,Tom,695,698,PERSON,1
9,Harry,703,708,PERSON,1
10,about eighteen,808,822,CARDINAL,1
11,the past three hours,957,977,TIME,1
12,Harry,983,988,PERSON,1
13,Tom,1111,1114,PERSON,1
14,Binghamton,1143,1153,GPE,1
15,two,1348,1351,CARDINAL,1
16,Harry Hazelton,1395,1409,PERSON,1
17,many days,1502,1511,DATE,1
18,west,1524,1528,LOC,1
19,Montana,1619,1626,GPE,1
20,Bad Pete,1640,1648,ORG,1
21,Tom Reade,1665,1674,PERSON,1
22,Peter,1700,1705,PERSON,1
23,Colorado,1911,1919,GPE,1
24,Harry,1972,1977,PERSON,1
25,Tom Reade,2067,2076,PERSON,1
26,Harry Hazelton,2239,2253,PERSON,1
27,Bad Pete,2284,2292,ORG,1
28,"n't,”smiled Tom",2326,2341,PERSON,1
29,Bad Pete,2367,2375,ORG,1
30,Pete,2387,2391,PERSON,1
31,Pete,2653,2657,PERSON,1
32,about two hundred and fifty feet,2668,2700,CARDINAL,1
33,nine hundred feet,3098,3115,QUANTITY,1
34,the Snake River,3203,3218,LOC,1
35,July,3227,3231,DATE,1
36,a mile,3279,3285,QUANTITY,1
37,valley,3331,3337,LOC,1
38,two,3371,3374,CARDINAL,1
39,this season,3399,3410,DATE,1
40,summer,3481,3487,DATE,1
41,it?”asked Tom,3570,3583,PERSON,1
42,Harry,3586,3591,PERSON,1
43,Pete,3704,3708,PERSON,1
44,S. B. & L.,3877,3887,ORG,1
45,Hazelton,3972,3980,PERSON,1
46,Pete,3991,3995,PERSON,1
47,Tom,4028,4031,PERSON,1
48,Sh-h-h!”begged Harry,4117,4137,PERSON,1
49,S. B. & L. field camp,4291,4312,ORG,1
50,Peter Bad,4321,4330,PERSON,1
51,Colorado,4436,4444,GPE,1
52,Bad Pete,4672,4680,ORG,1
53,today!”shivered Harry,4926,4947,PERSON,1
54,Reade,5137,5142,PERSON,1
55,S. B. & L.',5214,5225,ORG,1
56,Pete,5292,5296,PERSON,1
57,"me,”warned Pete",5470,5485,ORG,1
58,Pete,5660,5664,PERSON,1
59,two,5836,5839,CARDINAL,1
60,Cub,5993,5996,ORG,1
61,Rich men 's sons,6090,6106,WORK_OF_ART,1
62,first,6186,6191,ORDINAL,1
63,Reade,6250,6255,PERSON,1
64,Colorado,6377,6385,GPE,1
65,Pete,6393,6397,PERSON,1
66,Huh!”he,6435,6442,ORG,1
67,Tom,6523,6526,PERSON,1
68,one,6581,6584,CARDINAL,1
69,Bad Pete,6592,6600,ORG,1
70,tenderfeet,6757,6767,LOC,1
71,Colorado,6804,6812,GPE,1
72,Pardner,6833,6840,ORG,1
73,Ye,6952,6954,PERSON,1
74,Bandy,6966,6971,PERSON,1
75,Colorado,7005,7013,GPE,1
76,Ye,7021,7023,PERSON,1
