,name,start_pos,end_pos,tag,score
0,Ken Ward,0,8,PERSON,1
1,many days,44,53,DATE,1
2,State,260,265,ORG,1
3,summer,314,320,DATE,1
4,Arizona,324,331,GPE,1
5,more than four thousand,451,474,CARDINAL,1
6,Ken,503,506,PERSON,1
7,one,552,555,CARDINAL,1
8,nearly one hundred,763,781,CARDINAL,1
9,one,850,853,CARDINAL,1
10,Ken,1016,1019,PERSON,1
11,One day,1519,1526,DATE,1
12,two,1604,1607,CARDINAL,1
13,"ear,“How",1721,1729,NORP,1
14,Another day,1779,1790,DATE,1
15,"Here,”he",1952,1960,PERSON,1
16,"sharply,“are",1967,1979,ORG,1
17,Ken,2024,2027,PERSON,1
18,Ken,2125,2128,PERSON,1
19,Ken,2242,2245,PERSON,1
20,Ken,2539,2542,PERSON,1
21,Ken,2674,2677,PERSON,1
22,two weeks,2788,2797,DATE,1
23,Sophs,2909,2914,PERSON,1
24,second,3144,3150,ORDINAL,1
25,Ken,3162,3165,PERSON,1
26,two,3197,3200,CARDINAL,1
27,Sophs,3295,3300,GPE,1
28,Ken,3373,3376,PERSON,1
29,one,3381,3384,CARDINAL,1
30,Carlton Hall,3511,3523,FAC,1
31,Ken,3645,3648,PERSON,1
32,Ken,3777,3780,PERSON,1
33,Ken,4249,4252,PERSON,1
34,sixteenth,4316,4325,ORDINAL,1
35,that day,4382,4390,DATE,1
36,Ken Ward,4396,4404,PERSON,1
37,Ken,4752,4755,PERSON,1
38,a free hour in the afternoon,4805,4833,TIME,1
39,Carlton Club,4942,4954,ORG,1
40,One afternoon,5006,5019,TIME,1
41,this hour,5023,5032,TIME,1
42,Ken,5033,5036,PERSON,1
43,Ken,5257,5260,PERSON,1
44,Ken,5647,5650,PERSON,1
45,Ken,5810,5813,PERSON,1
46,Ken,6006,6009,PERSON,1
47,one,6554,6557,CARDINAL,1
48,Ken,6639,6642,PERSON,1
49,the fifth row,6710,6723,DATE,1
50,four,6809,6813,CARDINAL,1
51,fifth,6897,6902,ORDINAL,1
52,fifth,6941,6946,ORDINAL,1
53,the first row,7081,7094,DATE,1
54,fourth,7116,7122,ORDINAL,1
55,Ken,7200,7203,PERSON,1
56,Ken,7516,7519,PERSON,1
57,Ken,7660,7663,PERSON,1
58,Sophs,7726,7731,NORP,1
59,Freshie,7872,7879,NORP,1
60,four,8080,8084,CARDINAL,1
61,the topmost row,8140,8155,DATE,1
62,Sophs,8226,8231,NORP,1
63,Ken,8388,8391,PERSON,1
64,united strength,8469,8484,ORG,1
65,second,8720,8726,ORDINAL,1
66,fifth,8743,8748,ORDINAL,1
67,Ken,9063,9066,PERSON,1
68,fourth,9272,9278,ORDINAL,1
69,Ken,9316,9319,PERSON,1
70,Ken,9368,9371,PERSON,1
71,Ken,9572,9575,PERSON,1
72,two,9638,9641,CARDINAL,1
73,Half,9810,9814,CARDINAL,1
74,Ken,9818,9821,PERSON,1
75,one,9855,9858,CARDINAL,1
76,Ken,9888,9891,PERSON,1
77,one,9916,9919,CARDINAL,1
78,Ken,10074,10077,PERSON,1
79,second,10177,10183,ORDINAL,1
80,third,10211,10216,ORDINAL,1
81,two,10391,10394,CARDINAL,1
82,Ken,10465,10468,PERSON,1
83,Ken,10577,10580,PERSON,1
84,Ken,10633,10636,PERSON,1
85,one,11382,11385,CARDINAL,1
86,Ken,11427,11430,PERSON,1
87,first,11595,11600,ORDINAL,1
88,first,11635,11640,ORDINAL,1
89,Ken Ward,11661,11669,PERSON,1
90,Ken,12044,12047,PERSON,1
91,first,12145,12150,ORDINAL,1
92,five,12192,12196,CARDINAL,1
93,Ken,12230,12233,PERSON,1
94,Sophs,12340,12345,PERSON,1
95,Ken,12417,12420,PERSON,1
96,one,12497,12500,CARDINAL,1
97,Ken,12666,12669,PERSON,1
98,a week,12686,12692,DATE,1
99,Sophs,13040,13045,NORP,1
100,only two,13078,13086,CARDINAL,1
101,three,13090,13095,CARDINAL,1
102,Ken,13145,13148,PERSON,1
103,Ken,13350,13353,PERSON,1
104,one,13468,13471,CARDINAL,1
105,weeks,13697,13702,DATE,1
106,Ken Ward,13703,13711,PERSON,1
107,The days,14070,14078,DATE,1
108,the weeks,14091,14100,DATE,1
109,months,14106,14112,DATE,1
110,Ken,14122,14125,PERSON,1
111,the Christmas holidays,14277,14299,DATE,1
112,Ward,14552,14556,PERSON,1
113,Ken,14623,14626,PERSON,1
114,Ken,14796,14799,PERSON,1
115,Sophs,14939,14944,LANGUAGE,1
116,Christmas day,14950,14963,DATE,1
117,Carlton Hall,14975,14987,FAC,1
118,some pleasant hours,15094,15113,TIME,1
119,Ken,15561,15564,PERSON,1
120,first,15592,15597,ORDINAL,1
121,Ken,15823,15826,PERSON,1
122,the last season 's,15853,15871,DATE,1
123,Dale,15972,15976,PERSON,1
124,Ken,16035,16038,PERSON,1
125,Ken,16083,16086,PERSON,1
126,Dale,16108,16112,PERSON,1
127,Murray,16145,16151,PERSON,1
128,Arthurs,16181,16188,PERSON,1
129,Christmas,16291,16300,DATE,1
130,Sophs,16589,16594,GPE,1
131,One,17102,17105,CARDINAL,1
132,Saturday,17106,17114,DATE,1
133,January,17118,17125,DATE,1
134,Ken,17126,17129,PERSON,1
135,Saturdays,17204,17213,DATE,1
136,a short day,17230,17241,DATE,1
137,Ken,17492,17495,PERSON,1
138,Ken,17539,17542,PERSON,1
139,dodge,17673,17678,ORG,1
140,Indian,17815,17821,NORP,1
141,Freshie,17920,17927,NORP,1
