,name,start_pos,end_pos,tag,score
0,Thomas Jefferson Brown,44,66,PERSON,1
1,ten years,72,81,DATE,1
2,a dozen or so,174,187,CARDINAL,1
3,Brown,276,281,PERSON,1
4,Tack Thomas Jefferson,300,321,PERSON,1
5,Thomas Jefferson,413,429,PERSON,1
6,Brown,440,445,PERSON,1
7,two,567,570,CARDINAL,1
8,three,588,593,CARDINAL,1
9,Thomas Jefferson Brown,802,824,PERSON,1
10,Thomas Jefferson,841,857,PERSON,1
11,Brown,870,875,PERSON,1
12,one,885,888,CARDINAL,1
13,earth,989,994,LOC,1
14,Thomas Jefferson Brown,1519,1541,PERSON,1
15,Thomas Jefferson Brown,1985,2007,PERSON,1
16,Thomas Jefferson,2049,2065,PERSON,1
17,Thomas Jefferson Brown,2072,2094,PERSON,1
18,all day,2314,2321,DATE,1
19,twenty-five dollars,2438,2457,MONEY,1
20,Chinese,2599,2606,NORP,1
21,California,2653,2663,GPE,1
22,Thomas Jefferson,2684,2700,PERSON,1
23,Thomas Jefferson Brown,2728,2750,PERSON,1
24,the Southern Pacific,2788,2808,LOC,1
25,"three, days",2828,2839,DATE,1
26,less than two weeks,2840,2859,DATE,1
27,three,3012,3017,CARDINAL,1
28,ten,3096,3099,CARDINAL,1
29,more than a month,3108,3125,DATE,1
30,a cent,3180,3186,MONEY,1
31,ne'erhYpppHeNdohYpppHeNwell,3208,3235,ORG,1
32,Thomas Jefferson,3236,3252,PERSON,1
33,three days,3286,3296,DATE,1
34,seven,3425,3430,CARDINAL,1
35,Thomas Jefferson,3594,3610,PERSON,1
36,fifty a week,3788,3800,DATE,1
37,a dozen weeks,3830,3843,DATE,1
38,six hundred dollars,3914,3933,MONEY,1
39,The next week,3937,3950,DATE,1
40,Thomas Jefferson,4006,4022,PERSON,1
41,Thomas Jefferson,4115,4131,PERSON,1
42,Thomas Jefferson Brown,4620,4642,PERSON,1
43,half,4843,4847,CARDINAL,1
44,II,4859,4861,ORG,1
45,Thomas Jefferson,4907,4923,PERSON,1
46,Portland,4939,4947,GPE,1
47,the minute,5079,5089,TIME,1
48,Tucker,5112,5118,PERSON,1
49,Just a week later,5219,5236,DATE,1
50,Thomas Jefferson,5243,5259,PERSON,1
51,Bobby,5360,5365,PERSON,1
52,first,5379,5384,ORDINAL,1
53,half,5504,5508,CARDINAL,1
54,me?”I,5701,5706,ORG,1
55,Thomas Jefferson,5714,5730,PERSON,1
56,Thomas Jefferson 's,5902,5921,PERSON,1
57,three,5922,5927,CARDINAL,1
58,winter,5957,5963,DATE,1
59,Bobby,6060,6065,PERSON,1
60,forty-eight hours,6090,6107,TIME,1
61,Thomas Jefferson,6115,6131,PERSON,1
62,first,6138,6143,ORDINAL,1
63,Sleeping Sealer,6179,6194,WORK_OF_ART,1
64,a hundred years,6331,6346,DATE,1
65,three,6381,6386,CARDINAL,1
66,first,6396,6401,ORDINAL,1
67,the morning,6438,6449,TIME,1
68,Germany,6582,6589,GPE,1
69,England,6605,6612,GPE,1
70,the United States,6622,6639,GPE,1
71,Congress,6679,6687,ORG,1
72,Half,6853,6857,CARDINAL,1
73,half,6993,6997,CARDINAL,1
74,Thomas Jefferson Brown,7030,7052,PERSON,1
75,Thomas Jefferson,7058,7074,PERSON,1
76,three months,7102,7114,DATE,1
77,the Spicer Islands,7124,7142,LOC,1
78,Southampton Land,7170,7186,LOC,1
79,Thomas Jefferson,7188,7204,PERSON,1
80,Six weeks later,7354,7369,DATE,1
81,Roes Welcome Sound,7388,7406,PRODUCT,1
82,Hudson Strait,7436,7449,LOC,1
83,winter,7457,7463,DATE,1
84,Thomas Jefferson,7539,7555,PERSON,1
85,one day,7607,7614,DATE,1
86,Bobby,7618,7623,PERSON,1
87,Thomas Jefferson,7815,7831,PERSON,1
88,Point Fullerton,7868,7883,FAC,1
89,eight hundred miles,7890,7909,QUANTITY,1
90,Eskimo,7951,7957,NORP,1
91,the Royal Northwest Mounted,7990,8017,LOC,1
92,the day,8033,8040,DATE,1
93,Bobby,8094,8099,PERSON,1
94,the next day,8198,8210,DATE,1
95,three months,8246,8258,DATE,1
96,that hour,8294,8303,TIME,1
97,Thomas Jefferson,8357,8373,PERSON,1
98,Thomas Jefferson Brown,8384,8406,PERSON,1
99,first,8453,8458,ORDINAL,1
100,an inch or two taller,8524,8545,QUANTITY,1
101,Point Fullerton,8844,8859,LOC,1
102,Thomas Jefferson,8928,8944,PERSON,1
103,five,9003,9007,CARDINAL,1
104,"Bobby,”he",9152,9161,ORG,1
105,one day,9167,9174,DATE,1
106,Bobby,9346,9351,PERSON,1
107,III,9505,9508,ORG,1
108,Fort Churchill,9545,9559,FAC,1
109,summer,9572,9578,DATE,1
110,York Factory,9594,9606,ORG,1
111,one,9629,9632,CARDINAL,1
112,those summer days,9636,9653,DATE,1
113,Thomas Jefferson,9732,9748,PERSON,1
114,Thomas Jefferson Brown,9764,9786,PERSON,1
115,Lady Isobel,9795,9806,PERSON,1
116,Lord Meton,9879,9889,PERSON,1
117,Thomas Jefferson Brown,9895,9917,PERSON,1
118,first,9943,9948,ORDINAL,1
119,Lady Isobel 's,10039,10053,PERSON,1
120,the days,10393,10401,DATE,1
121,Capitol,10411,10418,FAC,1
122,Thomas Jefferson Brown,10488,10510,PERSON,1
123,Lady Isobel 's,10619,10633,PERSON,1
124,Meton,10652,10657,PERSON,1
125,two hundred pounds,10715,10733,QUANTITY,1
126,duff,10737,10741,PERSON,1
127,Tom”,10748,10752,WORK_OF_ART,1
128,a month,10794,10801,DATE,1
129,Meton,10906,10911,PERSON,1
130,Lady Isobel,10969,10980,PERSON,1
131,Thomas Jefferson Brown,11060,11082,PERSON,1
132,"Bobby,”he",11087,11096,ORG,1
133,One day,11219,11226,DATE,1
134,Lady Isobel,11249,11260,PERSON,1
135,York,11279,11283,GPE,1
136,Thomas Jefferson Brown,11544,11566,PERSON,1
137,that day,11707,11715,DATE,1
138,sunshiny day,11807,11819,DATE,1
139,three,11829,11834,CARDINAL,1
140,Meton,11842,11847,PERSON,1
141,Lady Isobel,11849,11860,PERSON,1
142,Thomas Jefferson Brown,11866,11888,PERSON,1
143,Harrison 's Island,11935,11953,LOC,1
144,a dozen miles,11955,11968,QUANTITY,1
145,Hudson Bay,12045,12055,LOC,1
146,Four miles,12123,12133,QUANTITY,1
147,Thomas Jefferson Brown,12236,12258,PERSON,1
148,Lady Isobel 's,12445,12459,PERSON,1
149,Thomas Jefferson Brown,12541,12563,PERSON,1
150,Thomas Jefferson Brown,12644,12666,PERSON,1
151,Lady Isobel,12715,12726,PERSON,1
152,"afraid,”he",12828,12838,ORG,1
153,Lady Isobel,12944,12955,PERSON,1
154,Thomas Jefferson Brown,12991,13013,PERSON,1
155,two,13104,13107,CARDINAL,1
156,Meton,13244,13249,PERSON,1
157,Lady Isobel,13321,13332,PERSON,1
158,Meton,13390,13395,PERSON,1
159,Thomas Jefferson Brown ',13460,13484,PERSON,1
160,A few minutes later,13604,13623,TIME,1
161,Meton,13796,13801,PERSON,1
162,Thomas Jefferson Brown,13824,13846,PERSON,1
163,Thomas Jefferson Brown,14150,14172,PERSON,1
164,Lady Isobel,14222,14233,PERSON,1
165,two,14421,14424,CARDINAL,1
166,the day,14537,14544,DATE,1
167,York,14577,14581,GPE,1
168,Lady Isobel,14669,14680,PERSON,1
169,Meton,14696,14701,PERSON,1
170,"afraid,”she",14876,14887,ORG,1
171,"you,”she",15163,15171,PERSON,1
172,Thomas Jefferson Brown,15251,15273,PERSON,1
173,Harrison 's Island,15470,15488,LOC,1
174,Meton,15510,15515,PERSON,1
175,Thomas Jefferson Brown,15630,15652,PERSON,1
176,Meton,15735,15740,PERSON,1
177,Good Lord,15765,15774,WORK_OF_ART,1
178,Thomas Jefferson,15818,15834,PERSON,1
179,Lady Isobel 's,15961,15975,PERSON,1
180,half,15991,15995,CARDINAL,1
181,two,16111,16114,CARDINAL,1
182,two,16121,16124,CARDINAL,1
183,four miles,16166,16176,QUANTITY,1
184,Hudson Bay,16301,16311,LOC,1
185,Isobel,16378,16384,PERSON,1
186,Lady Isobel 's,16564,16578,PERSON,1
187,Thomas Jefferson Brown,16599,16621,PERSON,1
188,three,16638,16643,CARDINAL,1
189,one,16781,16784,CARDINAL,1
190,four miles,17000,17010,QUANTITY,1
191,Thomas Jefferson Brown,17023,17045,PERSON,1
192,thousand,17115,17123,CARDINAL,1
193,Lady Isobel,17411,17422,PERSON,1
194,Thomas Jefferson Brown,17445,17467,PERSON,1
195,Meton,17483,17488,PERSON,1
196,Stick,17492,17497,FAC,1
197,IV,17546,17548,ORG,1
198,four miles,17584,17594,QUANTITY,1
199,Thomas Jefferson Brown,17676,17698,PERSON,1
200,Lady Isobel 's,17766,17780,PERSON,1
201,Tom,17951,17954,PERSON,1
202,it!”she,17969,17976,PERSON,1
203,hundred,17988,17995,CARDINAL,1
204,Thomas Jefferson Brown,18184,18206,PERSON,1
205,Another mile,18753,18765,QUANTITY,1
206,Tom!”she,18767,18775,ORG,1
207,another mile,18787,18799,QUANTITY,1
208,Lady Isobel,19044,19055,PERSON,1
209,Meton,19203,19208,PERSON,1
210,A few minutes later,19230,19249,TIME,1
211,Thomas Jefferson Brown,19251,19273,PERSON,1
212,Meton,19378,19383,PERSON,1
213,Lady Isobel,19391,19402,PERSON,1
214,York Factory,19562,19574,ORG,1
215,Thomas Jefferson Brown,19603,19625,PERSON,1
216,Meton,19669,19674,PERSON,1
217,cm,19842,19844,PERSON,1
218,Isobel,19884,19890,PERSON,1
219,Thomas Jefferson Brown,19937,19959,PERSON,1
220,London,20038,20044,GPE,1
221,One,20062,20065,CARDINAL,1
222,Isobel,20070,20076,PERSON,1
223,Thomas Jefferson Brown,20120,20142,PERSON,1
224,Bobby,20157,20162,PERSON,1
225,second,20234,20240,ORDINAL,1
226,Bobby,20247,20252,PERSON,1
227,Two weeks later,20390,20405,DATE,1
