,name,start_pos,end_pos,tag,score
0,Leopold von Sacher-Masoch,0,25,PERSON,1
1,Lemberg,38,45,GPE,1
2,Austrian,47,55,NORP,1
3,Galicia,56,63,GPE,1
4,"January 27, 1836",68,84,DATE,1
5,Prague,114,120,GPE,1
6,Graz,125,129,GPE,1
7,1857,138,142,DATE,1
8,a number of years,306,323,DATE,1
9,Auf der Hohe,360,372,ORG,1
10,Leipzig,377,384,GPE,1
11,Paris,407,412,GPE,1
12,last years,458,468,DATE,1
13,Lindheim,481,489,PERSON,1
14,Hesse,493,498,GPE,1
15,Germany,500,507,GPE,1
16,"March 9, 1895",526,539,DATE,1
17,1873,544,548,DATE,1
18,Aurora von Rumelin,560,578,PERSON,1
19,Wanda von Dunajew,632,649,PERSON,1
20,1906,824,828,DATE,1
21,Sacher-Masoch 's,898,914,ORG,1
22,Balzac,1474,1480,PERSON,1
23,Comedie Humaine,1484,1499,PERSON,1
24,six,1534,1537,CARDINAL,1
25,"Love, Property, Money",1575,1596,WORK_OF_ART,1
26,six,1674,1677,CARDINAL,1
27,first,1875,1880,ORDINAL,1
28,two,1881,1884,CARDINAL,1
29,Love and Property,1892,1909,ORG,1
30,Venus,1991,1996,LOC,1
31,fifth,2016,2021,ORDINAL,1
32,Love,2037,2041,WORK_OF_ART,1
33,Sacher-Masoch 's,2056,2072,ORG,1
34,Galicia,2258,2265,GPE,1
35,Sacher-Masoch,2839,2852,ORG,1
36,Sacher-Masoch,3283,3296,PERSON,1
37,Sacher,3573,3579,PERSON,1
38,Montaigne,3708,3717,PERSON,1
39,Sacher-Masoch,4052,4065,ORG,1
40,Über den Wert der Kritik,4324,4348,PERSON,1
41,Jean Jacques Rousseau,4560,4581,PERSON,1
42,Prévost,4629,4636,PERSON,1
43,Manon l'Escault,4640,4655,PERSON,1
44,Zola,4692,4696,PERSON,1
45,Thomas Otway 's,4709,4724,PERSON,1
46,Venice,4725,4731,PERSON,1
47,Albert Juhelle 's,4746,4763,PERSON,1
48,Les Pecheurs,4764,4776,FAC,1
49,Dostojevski,4790,4801,ORG,1
50,the present day,4911,4926,DATE,1
51,Laurent Tailhade,5213,5229,PERSON,1
52,Platres et Marbres,5262,5280,ORG,1
53,Toutefois,5336,5345,PERSON,1
54,les Hellènes,5347,5359,PERSON,1
55,dans,5361,5365,ORG,1
56,leurs cités de lumière,5367,5389,ORG,1
57,de douceur et d'harmonie,5391,5415,PERSON,1
58,avaient une indulgence,5417,5439,FAC,1
59,peut nommer scientifique pour les troubles amoureux de l'esprit,5446,5509,FAC,1
60,proie,5554,5559,GPE,1
61,idée orientale et fataliste ),5588,5617,ORG,1
62,du moins ils,5619,5631,FAC,1
63,que l'amour est une sorte d'envoûtement,5641,5680,FAC,1
64,"tard, le christianisme enveloppa les âmes de ténèbres",5751,5804,ORG,1
65,Ce fut la grande nuite,5806,5828,PERSON,1
66,L'Église condamna tout ce qui lui,5830,5863,PERSON,1
67,neuf ou,5870,5877,PERSON,1
68,les dogmes,5892,5902,ORG,1
69,le monde,5930,5938,FAC,1
70,Sacher,5961,5967,PERSON,1
71,one,6002,6005,CARDINAL,1
72,Vulgate,7031,7038,PRODUCT,1
73,Judith,7040,7046,GPE,1
74,xvi,7048,7051,GPE,1
75,7,7053,7054,CARDINAL,1
76,Renaissance,7108,7119,ORG,1
77,Venus,7134,7139,PRODUCT,1
78,half,7175,7179,CARDINAL,1
79,Cleopatra,7263,7272,PERSON,1
80,two weeks,7769,7778,DATE,1
81,un,8142,8144,ORG,1
82,Germanic,8196,8204,NORP,1
83,German,8226,8232,NORP,1
84,North,8290,8295,LOC,1
85,third,8481,8486,ORDINAL,1
86,first,8708,8713,ORDINAL,1
87,two thousand years,9147,9165,DATE,1
88,Greece,10527,10533,GPE,1
89,Rome,10751,10755,GPE,1
90,every hour,10888,10898,TIME,1
91,Christian,10979,10988,NORP,1
92,Pompeii,11075,11082,GPE,1
93,only one,11544,11552,CARDINAL,1
94,one,11562,11565,CARDINAL,1
95,two,11676,11679,CARDINAL,1
96,I.,11861,11863,NORP,1
97,Madame,12047,12053,WORK_OF_ART,1
98,thousands of years,12571,12589,DATE,1
99,Helen,13037,13042,PERSON,1
100,Delilah,13047,13054,PERSON,1
