,name,start_pos,end_pos,tag,score
0,Salvation Army,4,18,ORG,1
1,Christ,421,427,ORG,1
2,Saviour,441,448,PERSON,1
3,Saviour,664,671,PERSON,1
4,first,1033,1038,ORDINAL,1
5,BRAMWELL BOOTH,1306,1320,ORG,1
6,LONDON,1322,1328,GPE,1
7,"January, 1909",1330,1343,DATE,1
8,The Salvation Army,1492,1510,ORG,1
9,Brengle,1691,1698,PERSON,1
10,the Holy Spirit,1871,1886,WORK_OF_ART,1
11,the Holy Ghost,2460,2474,FAC,1
12,His Kingdom on earth,2549,2569,GPE,1
13,daily,2655,2660,DATE,1
14,the Holy Spirit,2873,2888,WORK_OF_ART,1
15,one,3376,3379,CARDINAL,1
16,Comforter,3419,3428,PERSON,1
17,BRAMWELL BOOTH,4960,4974,ORG,1
18,LONDON,4976,4982,GPE,1
19,"January, 1909",4984,4997,DATE,1
20,the Holy Ghost,5035,5049,FAC,1
21,evening,5092,5099,TIME,1
22,Passover,5134,5142,NORP,1
23,Jesus,5150,5155,PERSON,1
24,Jesus,5620,5625,PERSON,1
25,David,5834,5839,PERSON,1
26,Pilate,5901,5907,PERSON,1
27,Roman,5922,5927,NORP,1
28,Israel,5961,5967,GPE,1
29,David,5980,5985,PERSON,1
30,Kingdom,6148,6155,GPE,1
31,Defence,6311,6318,ORG,1
32,Comforter,7027,7036,PERSON,1
33,John xiv,7077,7085,PERSON,1
34,15,7087,7089,DATE,1
35,16,7091,7093,DATE,1
36,Comforter,7355,7364,PERSON,1
37,Comforter,7411,7420,PERSON,1
38,Jesus,7555,7560,PERSON,1
39,Jesus,7632,7637,PERSON,1
40,the Blessed One,7732,7747,PRODUCT,1
41,John,7786,7790,PERSON,1
42,Greek,7807,7812,NORP,1
43,English,7856,7863,LANGUAGE,1
44,Comforter,7925,7934,PERSON,1
45,Jesus,8018,8023,PERSON,1
46,i John ii,8027,8036,PERSON,1
47,Jesus Christ,8104,8116,PERSON,1
48,Jesus,8140,8145,PERSON,1
49,Comforter,8307,8316,PERSON,1
50,Guide,8396,8401,ORG,1
51,Strengthener,8403,8415,PERSON,1
52,Jesus,8420,8425,PERSON,1
53,Comforter,8776,8785,PERSON,1
54,Eph,8892,8895,PERSON,1
55,iii,8897,8900,PERSON,1
56,Jesus,8949,8954,PERSON,1
57,Matthew xxviii,8980,8994,PERSON,1
58,19,8996,8998,DATE,1
59,20,9000,9002,DATE,1
60,Jesus,9084,9089,PERSON,1
61,John xiv,9109,9117,PERSON,1
62,26,9119,9121,DATE,1
63,John xvi,9220,9228,PERSON,1
64,John xvi,9471,9479,PERSON,1
65,Comforter,9613,9622,PERSON,1
66,Strengthener,9626,9638,PERSON,1
67,Jesus,9651,9656,PERSON,1
68,Comforter,10453,10462,PERSON,1
69,Church,10719,10725,ORG,1
70,Antioch,10738,10745,GPE,1
71,the Holy Ghost,10823,10837,ORG,1
72,Separate Me Barnabas,10844,10864,PERSON,1
73,Saul,10869,10873,PERSON,1
74,the Holy Ghost,11034,11048,FAC,1
75,Seleucia,11064,11072,ORG,1
76,xiii,11081,11085,PERSON,1
77,1,11087,11088,CARDINAL,1
78,the Holy Ghost,11143,11157,FAC,1
79,Asia,11180,11184,LOC,1
80,Bithynia,11222,11230,GPE,1
81,Cornelius,11314,11323,PERSON,1
82,Roman,11329,11334,NORP,1
83,Peter,11359,11364,PERSON,1
84,Spirit,11371,11377,ORG,1
85,three,11401,11406,CARDINAL,1
86,Bible,11895,11900,WORK_OF_ART,1
87,first,11917,11922,ORDINAL,1
88,four,11937,11941,CARDINAL,1
89,Gospels and the Acts of the Apostles,11942,11978,WORK_OF_ART,1
90,the Holy Spirit,12017,12032,WORK_OF_ART,1
91,Jesus Christ,12093,12105,PERSON,1
92,Gospels,12113,12120,PERSON,1
93,the Holy Spirit,12192,12207,WORK_OF_ART,1
94,Jesus,12284,12289,PERSON,1
95,the three years,12297,12312,DATE,1
96,Spirit,12387,12393,PRODUCT,1
97,Pentecost,12400,12409,DATE,1
98,Trinity,12522,12529,ORG,1
99,Bible,12725,12730,WORK_OF_ART,1
100,three,12837,12842,CARDINAL,1
101,Son,12876,12879,PERSON,1
102,Holy Ghost,12885,12895,WORK_OF_ART,1
103,Paul,12910,12914,PERSON,1
104,Corinthians,12937,12948,NORP,1
105,Jesus Christ,12995,13007,PERSON,1
106,the Holy Ghost,13051,13065,FAC,1
107,2,13091,13092,CARDINAL,1
108,Jesus,13149,13154,PERSON,1
109,Comforter,13231,13240,PERSON,1
110,John xiv,13267,13275,PERSON,1
111,17,13281,13283,DATE,1
112,three,13296,13301,CARDINAL,1
113,Son,13351,13354,PERSON,1
114,The Holy Spirit,13401,13416,WORK_OF_ART,1
115,another Comforter,13421,13438,WORK_OF_ART,1
116,second,13443,13449,ORDINAL,1
117,Comforter,13450,13459,PERSON,1
118,first,13475,13480,ORDINAL,1
119,Jesus,13490,13495,PERSON,1
120,three,13858,13863,CARDINAL,1
121,one,13875,13878,CARDINAL,1
122,Jesus,14606,14611,PERSON,1
123,thousands,14686,14695,CARDINAL,1
124,Trinity,15119,15126,ORG,1
125,the Holy Ghost,15538,15552,ORG,1
126,the day of Pentecost,15566,15586,DATE,1
127,Peter,15677,15682,PERSON,1
128,the last days,15799,15812,DATE,1
129,the Holy Ghost,15996,16010,FAC,1
130,the High Priest and Council,16108,16135,ORG,1
131,Jesus,16206,16211,PERSON,1
132,the Holy Ghost,16239,16253,FAC,1
133,the Holy Ghost,16461,16475,FAC,1
134,Paul,16548,16552,PERSON,1
135,Spirit,16619,16625,ORG,1
136,the Holy Ghost,16794,16808,FAC,1
137,12,16832,16834,CARDINAL,1
138,John Wesley,16911,16922,PERSON,1
139,Three-One,16953,16962,CARDINAL,1
140,Christian,16995,17004,NORP,1
141,Christian,17077,17086,NORP,1
142,the Marquis de Renty,17101,17121,ORG,1
143,Christian,17351,17360,NORP,1
144,Christian,17634,17643,NORP,1
145,first,17682,17687,ORDINAL,1
146,one,17693,17696,CARDINAL,1
147,twenty,17700,17706,CARDINAL,1
148,several weeks,17906,17919,DATE,1
149,night,18029,18034,TIME,1
150,the Holy Ghost,18073,18087,FAC,1
151,sweet day,18104,18113,DATE,1
152,"January 9th, 1885",18123,18140,DATE,1
153,Jesus,18472,18477,PERSON,1
154,Martha,18481,18487,PERSON,1
155,Jesus Christ,18700,18712,PERSON,1
156,one day,18854,18861,DATE,1
157,John,18948,18952,PERSON,1
158,the Holy Ghost,19121,19135,FAC,1
159,the Holy Ghost,19325,19339,ORG,1
