,name,start_pos,end_pos,tag,score
0,ALEXANDER LEIGHTON,28,46,PERSON,1
1,VII,98,101,PRODUCT,1
2,Riccon Hall,165,176,ORG,1
3,years,183,188,DATE,1
4,years,193,198,DATE,1
5,Judith,203,209,PERSON,1
6,Wooler Haugh,255,267,PERSON,1
7,Coldstream Bridge,288,305,ORG,1
8,Flodden Hill,311,323,PERSON,1
9,one,344,347,CARDINAL,1
10,Tweedside,424,433,PERSON,1
11,More than three hundred years,490,519,DATE,1
12,Borders,821,828,ORG,1
13,winter,896,902,DATE,1
14,Kirk Yetholm,942,954,PERSON,1
15,Rothbury,956,964,GPE,1
16,Horncliff,966,975,PERSON,1
17,Spittal,977,984,ORG,1
18,Tweedmouth,990,1000,PERSON,1
19,Horncliff,1047,1056,PERSON,1
20,muir,1091,1095,PERSON,1
21,Spittal,1154,1161,ORG,1
22,Rothbury,1171,1179,GPE,1
23,Kirk Yetholm,1184,1196,PERSON,1
24,late years,1224,1234,DATE,1
25,Tweedmouth,1253,1263,PERSON,1
26,the winter season,1282,1299,DATE,1
27,Faa,1459,1462,ORG,1
28,Gordon,1471,1477,PERSON,1
29,"Bailie, Blyth,",1479,1493,ORG,1
30,Winter,1507,1513,DATE,1
31,smiths,1623,1629,PERSON,1
32,first,1797,1802,ORDINAL,1
33,Britain,1811,1818,GPE,1
34,Kirk Yetholm,1823,1835,PERSON,1
35,Borders,1885,1892,ORG,1
36,Tinkler Row,1954,1965,WORK_OF_ART,1
37,nineteen,1971,1979,CARDINAL,1
38,nineteen years,1986,2000,DATE,1
39,first,2156,2161,ORDINAL,1
40,Queen Elizabeth,2281,2296,PERSON,1
41,Harry,2312,2317,PERSON,1
42,loyterers,2338,2347,PERSON,1
43,European,2633,2641,NORP,1
44,British,2658,2665,NORP,1
45,Asiatic,2748,2755,NORP,1
46,Jew,2834,2837,NORP,1
47,Israel,2967,2973,GPE,1
48,Jews,2986,2990,NORP,1
49,Egyptians,3238,3247,NORP,1
50,Egypt,3328,3333,GPE,1
51,Egyptians,3574,3583,NORP,1
52,Egyptians,3755,3764,NORP,1
53,Egyptians,3897,3906,NORP,1
54,Hindostan,4074,4083,GPE,1
55,Indians,4133,4140,NORP,1
56,Pariars,4149,4156,GPE,1
57,gipsy,4242,4247,NORP,1
58,British,4824,4831,NORP,1
59,Indian,4926,4932,NORP,1
60,Suders,4942,4948,GPE,1
61,Hindostan,4952,4961,GPE,1
62,1,4964,4965,CARDINAL,1
63,Hindostanee,4976,4987,PERSON,1
64,English,4989,4996,LANGUAGE,1
65,Bebee Beebe,4999,5010,PERSON,1
66,Mutchee Muchee Fish,5020,5039,PERSON,1
67,Can Kan,5041,5048,PERSON,1
68,Gur Ghur A House,5058,5074,PERSON,1
69,Riah Raye,5076,5085,PERSON,1
70,Dai,5094,5097,PERSON,1
71,Mass Mas Food,5112,5125,ORG,1
72,Nack Nak,5127,5135,PERSON,1
73,Loon Loon Salt,5146,5160,PERSON,1
74,Europe,5218,5224,LOC,1
75,India,5264,5269,GPE,1
76,Suders,5308,5314,GPE,1
77,smiths,5548,5554,PERSON,1
78,Suders,5929,5935,PERSON,1
79,thousands,5951,5960,CARDINAL,1
80,India,5966,5971,GPE,1
81,1408,6018,6022,CARDINAL,1
82,first,6065,6070,ORDINAL,1
83,Europe,6100,6106,LOC,1
84,Egyptians,6130,6139,NORP,1
85,Egypt,6205,6210,GPE,1
86,Judith the gipsy,6516,6532,PERSON,1
87,One,6565,6568,CARDINAL,1
88,Borders,6613,6620,ORG,1
89,the beginning of the last century,6625,6658,DATE,1
90,Lussha Fleckie,6664,6678,PERSON,1
91,Faa,6740,6743,PERSON,1
92,Kirk Yetholm,6758,6770,PERSON,1
93,Lussha,6821,6827,PERSON,1
94,one day,6925,6932,DATE,1
95,a third,6972,6979,CARDINAL,1
96,piper,6992,6997,PERSON,1
97,fisher,7087,7093,PERSON,1
98,Mariam,7137,7143,PERSON,1
99,Judith,7177,7183,PERSON,1
100,Roxburgh,7248,7256,PERSON,1
101,Northumberland,7261,7275,GPE,1
102,the Gipsy Beauty,7279,7295,EVENT,1
103,the Beautiful Gipsy,7300,7319,GPE,1
104,Lussha Fleckie,7830,7844,PERSON,1
105,Judith,8283,8289,PERSON,1
106,sybilline,8350,8359,PERSON,1
107,the age of fifteen,8419,8437,DATE,1
108,Northumberland,8510,8524,GPE,1
109,early in summer,9050,9065,DATE,1
110,about forty,9071,9082,CARDINAL,1
111,Faa,9090,9093,ORG,1
112,the Eildon Hills,9127,9143,FAC,1
113,A few minutes,9145,9158,TIME,1
114,between two,9391,9402,CARDINAL,1
115,the brandy cup,9546,9560,EVENT,1
116,Lussha Fleckie,9582,9596,PERSON,1
117,Northumbrian,9609,9621,NORP,1
118,Tripp,9738,9743,PERSON,1
119,Judith,9774,9780,ORG,1
120,A foot,9935,9941,QUANTITY,1
121,Gemmel Graeme,10114,10127,PERSON,1
122,Gemmel,10171,10177,PERSON,1
123,twenty,10197,10203,CARDINAL,1
124,one,10209,10212,CARDINAL,1
125,Lussha Fleckie,10374,10388,PERSON,1
126,Borders,10630,10637,ORG,1
127,Faas,10685,10689,PERSON,1
128,Judith,11292,11298,PERSON,1
129,two years,11303,11312,DATE,1
130,Gemmel Graeme,11326,11339,PERSON,1
131,Judith,11607,11613,PERSON,1
132,landrail,12200,12208,PERSON,1
133,evening,12221,12228,TIME,1
134,Judith,12245,12251,PERSON,1
135,Gemmel,12256,12262,PERSON,1
136,Judith werena,12585,12598,PERSON,1
137,Ye,12643,12645,PERSON,1
138,een ye,12837,12843,PERSON,1
139,bonnier,12848,12855,ORG,1
140,sel,12904,12907,ORG,1
141,Judith,13141,13147,PERSON,1
142,Gemmel,13312,13318,PERSON,1
143,Gemmel,13619,13625,PERSON,1
144,Gemmel,13795,13801,PERSON,1
145,Judith,13830,13836,PERSON,1
146,Judith,13984,13990,PERSON,1
147,Gemmel,13995,14001,PERSON,1
148,Walter,14027,14033,PERSON,1
149,Riccon,14053,14059,PERSON,1
150,Eildons,14082,14089,PRODUCT,1
151,a few yards,14292,14303,QUANTITY,1
152,first,14338,14343,ORDINAL,1
153,Judith,14406,14412,PERSON,1
154,Gemmel Graeme,14525,14538,PERSON,1
155,Judith,14620,14626,PERSON,1
156,Riccon,14699,14705,EVENT,1
157,Troth,14767,14772,PERSON,1
158,Walter,14790,14796,PERSON,1
159,Riccon,14812,14818,PERSON,1
160,een haena,15004,15013,PERSON,1
161,"Sir,”retorted Gemmel",15052,15072,PERSON,1
162,dinna ye,15167,15175,PERSON,1
163,Awa,15221,15224,PERSON,1
164,ye,15364,15366,PERSON,1
165,ye,15396,15398,PERSON,1
166,earth,15410,15415,LOC,1
167,Gemmel Graeme,15462,15475,PERSON,1
168,Walter,15556,15562,PERSON,1
169,wi,15693,15695,PERSON,1
170,Gemmel,15783,15789,PERSON,1
171,Gemmel,15866,15872,PERSON,1
172,Lussha,15889,15895,PERSON,1
173,ye gie,15925,15931,PERSON,1
174,Foul fa ’ ye,15946,15958,PERSON,1
175,ye,15960,15962,PERSON,1
176,aff,15995,15998,ORG,1
177,Gae,16071,16074,PERSON,1
178,Judith,16076,16082,PERSON,1
179,Gemmel,16121,16127,PERSON,1
180,Walter,16157,16163,PERSON,1
181,Judith,16316,16322,ORG,1
182,Riccon,16381,16387,EVENT,1
183,Gemmel,16453,16459,PERSON,1
184,Lussha,16512,16518,PERSON,1
185,Walter,16523,16529,PERSON,1
186,Judith,16595,16601,PERSON,1
187,Walter,16732,16738,PERSON,1
188,Riccon,16751,16757,PERSON,1
189,Judith,16777,16783,PERSON,1
190,Gemmel Graeme,16791,16804,PERSON,1
191,Riccon oot,16913,16923,PERSON,1
192,"the dance,“for Gemmel",17019,17040,FAC,1
193,Lussha,17157,17163,GPE,1
194,Walter,17334,17340,PERSON,1
195,Judith 's,17393,17402,ORG,1
196,Gemmel,17522,17528,PERSON,1
197,Walter,17572,17578,PERSON,1
198,a few minutes,17633,17646,TIME,1
199,Gemmel,17665,17671,PERSON,1
200,Judith,17696,17702,PERSON,1
201,Riccon,17780,17786,ORG,1
202,Melrose,17866,17873,GPE,1
203,Mark ye weel,17960,17972,PERSON,1
204,Riccon Ha ’,18076,18087,ORG,1
205,Walter,18159,18165,PERSON,1
206,Judith,18234,18240,PERSON,1
207,Lussha Fleckie,18281,18295,PERSON,1
208,Gemmel Graeme,18300,18313,PERSON,1
209,Lussha,18541,18547,ORG,1
210,Gemmel,18852,18858,PERSON,1
211,Judith,18987,18993,PERSON,1
212,the following day,19238,19255,DATE,1
213,Riccon,19284,19290,PERSON,1
214,Judith,19364,19370,PERSON,1
215,Kelso,19433,19438,GPE,1
216,Tweed,19496,19501,PERSON,1
217,Kelso,19542,19547,PERSON,1
218,Walter,19556,19562,PERSON,1
219,Judith,19686,19692,PERSON,1
220,the previous day,19832,19848,DATE,1
221,one,20064,20067,CARDINAL,1
222,Judith 's,20071,20080,ORG,1
223,eighteen,20127,20135,DATE,1
224,women!”he,20338,20347,PERSON,1
225,one,20440,20443,CARDINAL,1
226,Judith,20621,20627,PERSON,1
227,Gemmel,20711,20717,PERSON,1
228,first,20821,20826,ORDINAL,1
229,Riccon,20882,20888,EVENT,1
230,Gemmel,20976,20982,PERSON,1
231,Riccon Hall,21033,21044,ORG,1
232,first,21081,21086,ORDINAL,1
233,Geneva,21216,21222,GPE,1
234,Hark,21459,21463,WORK_OF_ART,1
235,"hark!”said he,“how",21466,21484,PERSON,1
236,Walter,21698,21704,PERSON,1
237,Judith,21720,21726,PERSON,1
238,one evening,21878,21889,TIME,1
239,Twisel Bridge,21951,21964,FAC,1
240,laird,21988,21993,PERSON,1
241,Judith,22008,22014,PERSON,1
242,Walter,22136,22142,PERSON,1
243,Judith,22178,22184,PERSON,1
244,Lussha,22395,22401,PERSON,1
245,ye,22442,22444,PERSON,1
246,ye,22491,22493,PERSON,1
247,2,22659,22660,CARDINAL,1
248,Walter,22664,22670,PERSON,1
249,Lussha,22702,22708,PERSON,1
250,Judith,22771,22777,PERSON,1
251,Gemmel,22914,22920,PERSON,1
252,Gemmel,22926,22932,PERSON,1
253,Walter,22948,22954,PERSON,1
254,Judith,23018,23024,PERSON,1
255,Lussha,23148,23154,PERSON,1
256,Gemmel Graeme,23257,23270,PERSON,1
257,ye dinna,23287,23295,PERSON,1
258,Walter,23324,23330,PERSON,1
259,Tweedside,23517,23526,PERSON,1
260,Dinna,23528,23533,GPE,1
261,July,23576,23580,DATE,1
262,Riccon,23598,23604,PERSON,1
263,three minutes,23625,23638,TIME,1
264,Gemmel Graeme,23645,23658,PERSON,1
265,Judith,23922,23928,PERSON,1
266,Gemmel,23948,23954,PERSON,1
267,yersel,24038,24044,PERSON,1
268,ye,24049,24051,PERSON,1
269,ye hae naething,24293,24308,PERSON,1
